,Name,About
132,Ariela Sofer,
108,Arthur (Art) Pyster,
146,Özlem Uzuner,
76,Ben Seiyon Lee,
121,Bernard Schmidt,
105,Bernd-Peter Paris,"   Professor in the Department of Electrical and Computer Engineering: research and teaching in the area of communications systems, specializing in wireless systems.Specialties: Modeling, design, and analysis of communication systems, with an  emphasis on wireless systems; digital signal processing; communications networks.Professor in the Department of Electrical and Computer Engineering: research and teaching in the area of communications systems, specializing in wireless systems.Specialties: Modeling, design, and analysis of communication systems, with an  emphasis on wireless systems; digital signal processing; communications networks. FeaturedFeatured     LinkLink  Simulation of Wireless Communication SystemsSimulation of Wireless Communication SystemsSlideShareSlideShareAn introduction to modeling and simulation of wireless communications using MATLAB.An introduction to modeling and simulation of wireless communications using MATLAB.   "
44,Bo Han,
82,Bo Liu,"   Passionate and detail-orientated international program coordinator with 10+ years of working experience in higher education, including extensive knowledge related to the college search process, university academic programs, services and policies, broad and detailed understanding of admissions policies, procedures, and accepted admissions practices. Demonstrated use of digital marketing media for outreach purposes. Expanded MSU yield events from three cities to seven cities with 500+ participants.Passionate and detail-orientated international program coordinator with 10+ years of working experience in higher education, including extensive knowledge related to the college search process, university academic programs, services and policies, broad and detailed understanding of admissions policies, procedures, and accepted admissions practices. Demonstrated use of digital marketing media for outreach purposes. Expanded MSU yield events from three cities to seven cities with 500+ participants. "
57,Brett Hunter,
90,Brian Mark,
62,Brittany Johnson-Matthews,"   I am an Assistant Professor at George Mason University in the Department of Computer Science. Before joining George Mason, I was a postdoc at University of Massachusetts, Amherst working with Drs. Yuriy Brun and Alexandra Meliou in the LASER lab. I received my Bachelor's of Arts inComputer Science from College of Charleston in 2011 where I conducted undergraduate research under Dr. Jim Bowring in CIRDLES. I received my Ph.D. in Computer Science in 2017 from NC State University, where I worked with Drs. Emerson Murphy-Hill and Sarah Heckman in the Developer Liberation Front.My research interests are in human factors in software engineering, artificial intelligence, and software testing. More can be found on my website: http://brittjay.meI am an Assistant Professor at George Mason University in the Department of Computer Science. Before joining George Mason, I was a postdoc at University of Massachusetts, Amherst working with Drs. Yuriy Brun and Alexandra Meliou in the LASER lab. I received my Bachelor's of Arts inComputer Science from College of Charleston in 2011 where I conducted undergraduate research under Dr. Jim Bowring in CIRDLES. I received my Ph.D. in Computer Science in 2017 from NC State University, where I worked with Drs. Emerson Murphy-Hill and Sarah Heckman in the Developer Liberation Front.My research interests are in human factors in software engineering, artificial intelligence, and software testing.  More can be found on my website: http://brittjay.me "
140,Burak Tanyu,
100,Cameron Nowzari,   ------ 
35,Carlotta Domeniconi,
51,Caroline Hoemann,"   Specialties: tissue engineering, biomaterials, articular cartilage, histology, proteomics, mesenchymal stem cells, chitosan, preclinical models, innate immunitySpecialties: tissue engineering, biomaterials, articular cartilage, histology, proteomics, mesenchymal stem cells, chitosan, preclinical models, innate immunity FeaturedFeatured     DocumentDocument   BioEng AR final high spreads.pdfBioEng AR final high spreads.pdf Here is our Annual Report, from the Department of Bioengineering, George Mason University.Here is our Annual Report, from the Department of Bioengineering, George Mason University.   "
157,Charles White,"Engineering professor who is also an experienced R&D and Engineering Director. Experience in consumer goods, industrial materials and defense R&D. Strong research professional skilled in Innovation Management, Consumer Products, Modeling and Simulation, and Product Innovation. Technical focus areas of Mechanics, Materials and Manufacturing Processes."
169,Christine Alonzo Yee,
24,Chun-Hung Chen,"   Chun-Hung Chen received his Ph.D. degree from Harvard University in 1994. He is currently a Professor at George Mason University. Dr. Chen was an Assistant Professor at the University of Pennsylvania before joining GMU. He was also a professor at National Taiwan University (Electrical Eng. and Industrial Eng.) from 2011-14. Dr. Chen is best known for the Optimal Computing Budget Allocation (OCBA) method that he initially developed. OCBA aims to maximizes the overall efficiency of the entire simulation optimization process, and has been recognized as the state-of-the-art in simulation optimization field. Dr. Chen received several awards such as Best Paper Award from IEEE International Conference on Automation Science and Engineering, IEEE International Conference on Communications, IEEE International Conference on Robotics and Automation, “K.D. Tocher Medal” for the best paper in the Journal of Simulation, “National Thousand Talents Award” from China, and Eliahu I. Jury Award from Harvard University. Dr. Chen is an author of two books, including a best seller: “Stochastic Simulation Optimization: An Optimal Computing Budget Allocation”. Dr. Chen has served on the editorial boards of IEEE Transactions on Automatic Control, IEEE Transactions on Automation Science and Engineering, IIE Transactions, Asia-Pacific Journal of Operational Research, Journal of Simulation Modeling Practice and Theory, International Journal of Simulation and Process Modeling, and Journal of Traffic and Transportation Engineering. He is an IEEE Fellow.Chun-Hung Chen received his Ph.D. degree from Harvard University in 1994. He is currently a Professor at George Mason University. Dr. Chen was an Assistant Professor at the University of Pennsylvania before joining GMU. He was also a professor at National Taiwan University (Electrical Eng. and Industrial Eng.) from 2011-14. Dr. Chen is best known for the Optimal Computing Budget Allocation (OCBA) method that he initially developed. OCBA aims to maximizes the overall efficiency of the entire simulation optimization process, and has been recognized as the state-of-the-art in simulation optimization field. Dr. Chen received several awards such as Best Paper Award from IEEE International Conference on Automation Science and Engineering, IEEE International Conference on Communications, IEEE International Conference on Robotics and Automation, “K.D. Tocher Medal” for the best paper in the Journal of Simulation, “National Thousand Talents Award” from China, and Eliahu I. Jury Award from Harvard University. Dr. Chen is an author of two books, including a best seller: “Stochastic Simulation Optimization: An Optimal Computing Budget Allocation”. Dr. Chen has served on the editorial boards of IEEE Transactions on Automatic Control, IEEE Transactions on Automation Science and Engineering, IIE Transactions, Asia-Pacific Journal of Operational Research, Journal of Simulation Modeling Practice and Theory, International Journal of Simulation and Process Modeling, and Journal of Traffic and Transportation Engineering. He is an IEEE Fellow. "
111,Colin Reagle,
15,Colleen Berg,
84,Craig Lorie,"   I have 10 years experience teaching undergraduate courses in Electrical and Computer Engineering.Most of the courses that I teach focus on computer engineering and computer programming.I teach first-year through fourth-year level courses.The courses include ""Digital Circuit Design"", ""Computer Organization"", and ""Embedded Systems"".I am knowledgeable about the hardware and software of computing systems.My first love has always been computer programming and computing systems.I have 10 years experience teaching undergraduate courses in Electrical and Computer Engineering.Most of the courses that I teach focus on computer engineering and computer programming.I teach first-year through fourth-year level courses.The courses include ""Digital Circuit Design"", ""Computer Organization"", and ""Embedded Systems"".I am knowledgeable about the hardware and software of computing systems.My first love has always been computer programming and computing systems. "
126,Daigo Shishika,"I am currently an assistant professor at George Mason University. Prior to joining GMU, I was post-doctoral researcher at the University of Pennsylvania, working with Prof. Vijay Kumar. My research interests are in autonomous systems, with a particular focus on multi-agent systems and bio-inspired robotics. Please find more information at my website: http://shishika.com/"
92,Damon McCoy,
113,Dana Richards,
13,daniel barbara,
94,daniel menasce,   expert witness on software patent infringementcomputer system performance evaluationautonomic computingcapacity planningcloud computingscalability analysisanalytic models of computer systemse-commercesoftware performance engineeringexpert witness on software patent infringementcomputer system performance evaluationautonomic computingcapacity planningcloud computingscalability analysisanalytic models of computer systemse-commercesoftware performance engineering 
43,Deborah Goodings,
152,Diana Wang,
58,Dimitrios Ioannou,
19,Doaa Bondok,
159,Duminda Wijesekera,
23,Ebrima Ceesay,"   One of my personal philosophies is to recognize everyone's humanity and uniqueness as we work together to build a better, more secure world. As one means to that end, I have spent nearly two decades of my life working as a cybersecurity expert, influencer, and innovative problem-solver. I believe in leveraging tech as a driving force to grow personal evolution and business profitability. I have managed millions of dollars in cybersecurity portfolios, delivering the highest-level IT strategy, implementation, support, resiliency, security, and data integrity. Further, I have designed and implemented national cybersecurity initiatives with the US Department of Homeland Security, Department of Defense, Office of the Director of National Intelligence, United States Air Force, National Reconnaissance Office, and the private sector to protect the cyber infrastructure of the United States, its’ allies, and citizens. EXPERTISEBig Data │Digital Forensics │Enterprise Architecture │Learning Algorithms │Intrusion Detection│ Risk Assessment │Machine Learning │Computer Forensics │Artificial Intelligence (AI) │System ArchitectureInformation Security: With mastery of GRC technologies, IT risk methodologies, Enterprise Architecture, SOA, learning algorithms, and disaster recovery, I developed the first Enterprise & Post Quantum Cyber Security Strategies at Capital One. At Leidos, I steered the establishment of mission governance and use of information as an asset and oversaw the technical implementation of Executive Order 12333 Section 2.3, the gathering of information by agencies within the IC.IT Transformation Strategy: Through Capital One, I serve as board advocate for the National Institute of Standards and Technology (NIST), National Cybersecurity Center of Excellence (NCCoE), Anti-Phishing Working Group (APWG), MIT and UC Berkeley boards. Additionally, I was the Principal Investigator for Noblis’ multiple data science and cybersecurity R&D initiatives and oversaw Noblis’ Cyber Center of Excellence (CoE) Cyber R&D portfolio. Thought Leadership: Eager to remain at the forefront of the IT conversation, I am an author, panelist, and dynamic speaker for cybersecurity advice and solutions. I have presented at the Computing and Communication Workshop and Conference, IEEE International IOT Electronics and Mechatronics Conference, and Conference on Information Sciences and Systems.Please contact me at ebrima@katiblab.com if you are interested in exploring how I can help your enterprise advance to the forefront of cybersecurity excellence.One of my personal philosophies is to recognize everyone's humanity and uniqueness as we work together to build a better, more secure world. As one means to that end, I have spent nearly two decades of my life working as a cybersecurity expert, influencer, and innovative problem-solver. I believe in leveraging tech as a driving force to grow personal evolution and business profitability. I have managed millions of dollars in cybersecurity portfolios, delivering the highest-level IT strategy, implementation, support, resiliency, security, and data integrity. Further, I have designed and implemented national cybersecurity initiatives with the US Department of Homeland Security, Department of Defense, Office of the Director of National Intelligence, United States Air Force, National Reconnaissance Office, and the private sector to protect the cyber infrastructure of the United States, its’ allies, and citizens. EXPERTISEBig Data │Digital Forensics │Enterprise Architecture │Learning Algorithms │Intrusion Detection│ Risk Assessment │Machine Learning │Computer Forensics │Artificial Intelligence (AI) │System ArchitectureInformation Security: With mastery of GRC technologies, IT risk methodologies, Enterprise Architecture, SOA, learning algorithms, and disaster recovery, I developed the first Enterprise & Post Quantum Cyber Security Strategies at Capital One. At Leidos, I steered the establishment of mission governance and use of information as an asset and oversaw the technical implementation of Executive Order 12333 Section 2.3, the gathering of information by agencies within the IC.IT Transformation Strategy: Through Capital One, I serve as board advocate for the National Institute of Standards and Technology (NIST), National Cybersecurity Center of Excellence (NCCoE), Anti-Phishing Working Group (APWG), MIT and UC Berkeley boards. Additionally, I was the Principal Investigator for Noblis’ multiple data science and cybersecurity R&D initiatives and oversaw Noblis’ Cyber Center of Excellence (CoE) Cyber R&D portfolio. Thought Leadership: Eager to remain at the forefront of the IT conversation, I am an author, panelist, and dynamic speaker for cybersecurity advice and solutions. I have presented at the Computing and Communication Workshop and Conference, IEEE International IOT Electronics and Mechatronics Conference, and Conference on Information Sciences and Systems.Please contact me at ebrima@katiblab.com if you are interested in exploring how I can help your enterprise advance to the forefront of cybersecurity excellence. "
56,Edward Huang,
95,Elise Miller-Hooks,
158,Elizabeth White,
89,Emanuela Marasco,"   I am an Assistant Professor in the Department of Information Science and Technology at George Mason University and a member of the Center for Secure Information Systems.  I am instructor of AIT courses ""Cyber Security Fundamentals"", ""Applied Machine Learning"" and ""Applied Biometric Technologies"". From February 2015 to July 2017 I was an Adjunct Professor and a Post-doctoral Researcher in Pattern Recognition and Biometrics at the University of North Carolina Charlotte UNC-C, Department of Computer Science, member of the Video and Image Analysis lab (VIAlab) at UNC-C.From February 2011 to January 2015 I was a post-doctoral Associate Researcher at Lane Department of Computer Science and Electrical Engineering, West Virginia University and at the Center for Identification Technology (CiTeR-NSF). From February 2011 to December 2012 I was a member of the i-probe lab supervised by Dr. Arun Ross. I received a five-year degree (Bachelor and M.Sc.) in computer engineering, in March 2006, and a PhD in Computer and Automation Engineering, in December 2010, both at the University of Naples Federico II (Italy) supervised by Prof. Carlo Sansone. My research involves fingerprint liveness detection, multi-biometrics, age / gender estimation from fingerprints, interoperability enhancement between fingerprint sensors, adaptive signal processing strategies for enhancing DNA profiles from degraded DNA samples and fingerprint de-identification for privacy enhancement. I was / am PI and co-PI of research projects funded by  NSF, DHS.Invited Talks: Computational Vision and Geometry Lab, Stanford University USA; EECS Department, University of California Berkeley USAI am an Assistant Professor in the Department of Information Science and Technology at George Mason University and a member of the Center for Secure Information Systems.  I am instructor of AIT courses ""Cyber Security Fundamentals"", ""Applied Machine Learning"" and ""Applied Biometric Technologies"". From February 2015 to July 2017 I was an Adjunct Professor and a Post-doctoral Researcher in Pattern Recognition and Biometrics at the University of North Carolina Charlotte UNC-C, Department of Computer Science, member of the Video and Image Analysis lab (VIAlab) at UNC-C.From February 2011 to January 2015 I was a post-doctoral Associate Researcher at Lane Department of Computer Science and Electrical Engineering, West Virginia University and at the Center for Identification Technology (CiTeR-NSF). From February 2011 to December 2012 I was a member of the i-probe lab supervised by Dr. Arun Ross. I received a five-year degree (Bachelor and M.Sc.) in computer engineering, in March 2006, and a PhD in Computer and Automation Engineering, in December 2010, both at the University of Naples Federico II (Italy) supervised by Prof. Carlo Sansone. My research involves fingerprint liveness detection, multi-biometrics, age / gender estimation from fingerprints, interoperability enhancement between fingerprint sensors, adaptive signal processing strategies for enhancing DNA profiles from degraded DNA samples and fingerprint de-identification for privacy enhancement. I was / am PI and co-PI of research projects funded by  NSF, DHS.Invited Talks: Computational Vision and Geometry Lab, Stanford University USA; EECS Department, University of California Berkeley USA FeaturedFeatured     LinkLink  Center for Secure Information SystemsCenter for Secure Information Systemscsis.gmu.educsis.gmu.eduInformation systems security is of increasing importance in government, military and commercial arenas. The Center for Secure Information Systems (CSIS) provides a dedicated environment to encourage the development of expertise in both the theoretical...Information systems security is of increasing importance in government, military and commercial arenas. The Center for Secure Information Systems (CSIS) provides a dedicated environment to encourage the development of expertise in both the theoretical...   "
103,Eric Osterweil,
70,Eugene Kim,"   I am currently an Assistant Professor in the Department of Bioengineering at George Mason University. My current interest is in Scholarship of Teaching and Learning (SoTL) research, specifically in active and team-based learning, engineering self-efficacy, and diversity, equity, and inclusion in STEM classrooms.  My goal is to provide students with the best possible education in the classroom and in research through evidence-based teaching practices. I also welcome new opportunities to combine my research expertise in synthetic biology and chemical engineering with student learning, e.g. summer research programs, discipline-based education research (DBER), etc. I received my PhD in Energy, Environmental & Chemical Engineering from Washington University in St. Louis in Summer 2020. My research thesis was on the development of protein-based adhesives using microbial hosts for the production of strong underwater adhesives and composite materials.I am currently an Assistant Professor in the Department of Bioengineering at George Mason University. My current interest is in Scholarship of Teaching and Learning (SoTL) research, specifically in active and team-based learning, engineering self-efficacy, and diversity, equity, and inclusion in STEM classrooms.  My goal is to provide students with the best possible education in the classroom and in research through evidence-based teaching practices. I also welcome new opportunities to combine my research expertise in synthetic biology and chemical engineering with student learning, e.g. summer research programs, discipline-based education research (DBER), etc. I received my PhD in Energy, Environmental & Chemical Engineering from Washington University in St. Louis in Summer 2020. My research thesis was on the development of protein-based adhesives using microbial hosts for the production of strong underwater adhesives and composite materials.                    "
71,Evgenios Kornaropoulos,
10,Foteini Baldimtsi,"   I am an assistant professor in the Computer Science Department at George Mason University. My research interests are in cryptography, security and data privacy with a special focus on electronic cash, blockchain technologies, and private authentication techniques.I received my Ph.D. from Brown University in May 2014 where I was supervised by Anna Lysyanskaya. During my time at Brown I was fortunate to spent a semester at Microsoft Research in Redmond, WA working in the Cryptography group with Melissa Chase and a summer at IBM Research in Zurich working as a member of the Cryptography and Security group. From 2014 to 2016 I was a postdoctoral researcher in the BU Security group at Boston University and also had a research affiliation with the Crypto.Sec group in University of Athens. I am an assistant professor in the Computer Science Department at George Mason University. My research interests are in cryptography, security and data privacy with a special focus on electronic cash, blockchain technologies, and private authentication techniques.I received my Ph.D. from Brown University in May 2014 where I was supervised by Anna Lysyanskaya. During my time at Brown I was fortunate to spent a semester at Microsoft Research in Redmond, WA working in the Cryptography group with Melissa Chase and a summer at IBM Research in Zurich working as a member of the Cryptography and Security group. From 2014 to 2016 I was a postdoctoral researcher in the BU Security group at Boston University and also had a research affiliation with the Crypto.Sec group in University of Athens.                     "
128,Gene Shuman,"Member of the GMU Information Sciences and Technology Department faculty, with 30+ years of public sector Information Technology experience, emphasizing application software development and project management. Previously led the consular system development and support division at the U.S. State Department to create and support globally used consular applications for passport, visa, and citizen services. Research and professional interests include data mining, machine learning, analytics, visualization, biomechanical applications, software engineering, and project management. Erdos number: 4."
48,George Hazelrigg,
141,Gheorghe Tecuci,
145,Girum Urgessa,
167,Grigory Yaroslavtsev,
37,Hadi El-Amine,
112,Hadi Rezazad,
99,Hamza Mughal,
40,Harry Foxwell,"   see http://cs.gmu.edu/~hfoxwellSpecialties: Cloud Computing, Big Data Analyticssee http://cs.gmu.edu/~hfoxwellSpecialties: Cloud Computing, Big Data Analytics "
154,Harry Wechsler,"Artificial Intelligence - R&D Highlights - Harry Wechsler (PhD) � Data Mining, Machine Learning, Computer Vision, and Pattern Recognition � Forensics and Surveillance � Smart Biometrics and Identity Management� Active Authentication and Anomaly Detection � Cyber Security, Denial and Deception � Interoperability, Data Fusion, and Performance Evaluation"
