,Name,Title,Descriptions,Date
2,Emanuela Marasco,A Survey on Anti-Spoofing Schemes for Fingerprints,,1-Jan-14
3,Emanuela Marasco,Automatic Enhancement of Interoperability between Fingerprint Optical Sensors,,1-Jan-14
4,Emanuela Marasco,Exploiting Quality and Texture-based Characteristics to Estimate Age and Gender through Fingerprint Images,,1-Jan-14
5,Emanuela Marasco,Fingerprint Liveness Detection based on Histograms of Invariant Gradients,,1-Jan-14
6,Emanuela Marasco,Removing Gender Signature from Fingerprints,,1-Jan-14
7,Emanuela Marasco,Impact of Biometric Data Quality on Rank-Level Fusion Schemes,,1-Jan-13
8,Emanuela Marasco,Minimizing the Impact of Low Interoperability between Optical Fingerprint Sensors,,1-Jan-13
9,Emanuela Marasco,On the Stability of Ranks to Low Image Quality in Biometric Identification Systems,,1-Jan-13
10,Emanuela Marasco,Combining Match Scores with Liveness Values in a Fingerprint Verification System,,1-Jan-12
11,Emanuela Marasco,Combining perspiration- and morphology-based static features for fingerprint liveness detection,,1-Jan-12
12,Emanuela Marasco,Detecting STR peaks in degraded DNA samples,,1-Jan-12
13,Emanuela Marasco,Increase the security of multibiometric systems by incorporating a spoofing detection algorithm in the fusion mechanism,,1-Jan-11
14,Emanuela Marasco,On the robustness of fingerprint liveness detection algorithms against new materials used for spoofing,,1-Jan-11
15,Emanuela Marasco,Predicting Identification Errors in a Multibiometric System based on Ranks and Scores,,1-Jan-10
16,Emanuela Marasco,Improving Fingerprint Interoperability by Integrating Wavelet Entropy and Binarized Statistical Image Features,"Assuming that a large recognition system based on fingerprints will allow one sensor type at its creation and throughout its lifetime is not realistic. The vendor diversity on the market accentuates the need to make these systems interoperable, i.e., able to compare fingerprints collected using different devices with comparable high accuracy.
In this paper, we propose a learning-based scheme for enhancing interoperability between optical fingerprint sensors. Different features (i.e. image quality, texture) and signal domains (space and frequency) are utilized to compensate for the variations in cross-sensor recognition performance of a commercial matcher.
Specifically, we consider Binarized Statistical Image Features (BSIF) and characteristics derived from the Discrete Wavelet Transform (DWT).
DWT is able to preserve spatial information of an image when performing frequency analysis while BSIF has shown to be an effective local descriptor for images with unusual characteristics. Experiments are carried out on a data set consisting of fingerprints obtained from 494 users acquired using four different optical devices. Results show a significant reduction in error rates compared to the baseline as well as improved performance compared to previous research.",The 15th International Conference of the Biometrics Special Interest Group BIOSIG 2016
0,Eric Osterweil,Client-side Name Collision Vulnerability in the New gTLD Era: A Systematic Study,"The recent unprecedented delegation of new generic top-level do- mains (gTLDs) has exacerbated an existing, but fallow, problem called name collisions. ... We analyze the causes, and  nd that the name collision problem broadly breaks common security as- sumptions made in today’s service client software. Leveraging the insights from our analysis, we propose multiple service software level solutions, which enables the victim services to actively de- fend against name collision attacks.",1-Nov-17
1,Eric Osterweil,MitM Attack by Name Collision: Cause Analysis and Vulnerability Assessment in the New gTLD Era,"Recently, Man in the Middle (MitM) attacks on web browsing have become easier than they have ever been before because of a problem called “Name Collision” and a protocol called the Web Proxy Auto-Discovery (WPAD) protocol. This name collision attack can cause all web traffic of an Internet user to be redirected to a MitM proxy automatically right after the launching of a standard browser. ... We discuss promising directions for remediation at the new gTLD registry, Autonomous System (AS), and end user levels, and use empirical data analysis to estimate and compare their effectiveness and deployment difficulties.",1-May-16
2,Eric Osterweil,The Shape and Size of Threats: Defining a Networked System's Attack Surface,"As more complex security services have been added to today’s Internet, it becomes increasingly difficult to quantify their vulnerability to compromise. The concept of “attack surface” has emerged in recent years as a measure of such vulnerabilities, however systematically quantifying the attack surfaces of networked systems remains an open challenge. In this work we propose a methodology
to both quantify the attack surface and visually represent semantically different components (or resources) of such systems by identifying their dependencies. To illustrate the efficacy of our methodology, we examine two real Internet standards (the X.509 CA verification system and DANE)
as case studies. We believe this work represents a first step towards systemically modeling dependencies of (and interdependencies between) networked systems, and shows the usability benefits from leveraging existing services. ",21-Oct-14
3,Eric Osterweil,Measuring IPv6 Adoption,"The Internet is on the verge of its first fundamentally-disruptive transition—one which will impose extensive change throughout the network. On February 3, 2011 the Internet Assigned Numbers Authority (IANA) allocated the last unallocated blocks of IPv4 address space to the five Regional Internet Registries (RIRs), accelerating pressure for migration to the next version of the Internet protocol, IPv6. This inflection point offers a unique opportunity to study the adoption of new technologies at an unprecedented scale. In this paper, we provide measurement of this significant transition. Unlike existing studies, which are limited to specific IPv6 characteristics or time scales, our goal is to create a comprehensive and longitudinal picture of IPv6 adoption. Using large, global-scale datasets, we assemble measurements encompassing the important aspects of adoption, including both new and previously-proposed measures. Spanning a period of almost ten years, these metrics include numerous notable adoption milestones, such as the recent World IPv6 Launch event in June of 2012 and the European RIR’s IPv4 address exhaustion in September of that year.",12-Aug-14
4,Eric Osterweil,Verifying Keys through Publicity and Communities of Trust: Quantifying Off-Axis Corroboration,"The DNS Security Extensions (DNSSEC) arguably make DNS the first core Internet system to be protected using public key cryptography. The success of DNSSEC not only protects the DNS, but has generated interest in using this secured global database for new services such as those proposed by the IETF DANE working group. However, continued success is only possible if several important operational issues can be addressed. For example, .gov and .arpa have already suffered misconfigurations where DNS continued to function properly, but DNSSEC failed (thus, orphaning their entire subtrees in DNSSEC). Internet-scale verification systems must tolerate this type of chaos, but what kind of verification can one derive for systems with dynamism like this? In this paper, we propose to achieve robust verification with a new theoretical model, called Public Data, which treats operational deployments as Communities of Trust (CoTs) and makes them the verification substrate. Using a realization of the above idea, called Vantages, we quantitatively show that using a reasonable DNSSEC deployment model and a typical choice of a CoT, an adversary would need to be able to have visibility into and perform on-path Man-in-the-Middle (MitM) attacks on arbitrary traffic into and out of up to 90 percent of the all of the Autonomous Systems (ASes) in the Internet before having even a 10 percent chance of spoofing a DNSKEY. Further, our limited deployment of Vantages has outperformed the verifiability of DNSSEC and has properly validated its data up to 99.5 percent of the time.",1-Feb-14
5,Eric Osterweil,Architectural Considerations of IP Anycast,This memo discusses architectural implications of IP anycast and provides some historical analysis of anycast use by various IETF protocols. ,16-Jan-14
6,Eric Osterweil,Dissecting Ghost Clicks: Ad Fraud Via Misdirected Human Clicks,"FBI's Operation Ghost Click, the largest cybercriminal takedown in history, recently took down an ad fraud infrastructure that affected 4 million users and made its owners 14 million USD over a period of four years. The attackers hijacked clicks and ad impressions on victim machines infected by a DNS changer malware to earn ad revenue fraudulently. We experimented with the attack infrastructure when it was in operation and present a detailed account of the attackers' modus operandi. We also study the impact of this attack on real-world users and find that 37 subscriber lines were impacted in our data set. Also, 20 ad networks and 257 legitimate Web content publishers lost ad revenue while the attackers earned revenue convincing a dozen other ad networks that their ads were served on websites with real visitors. Our work expands the understanding of modalities of ad fraud and could help guide appropriate defense strategies.",1-Dec-13
7,Eric Osterweil,"Behavior of DNS’ Top Talkers, a .com / .net View","This paper provides the first systematic study of DNS data taken from one of the 13 servers for the .com / .net registry. DNS’ generic Top Level Domains (gTLDs) such .com and .net serve resolvers from throughout the Internet and respond to billions of DNS queries every day. This study uses gTLD data to characterize the DNS resolver population and profile DNS query types. The results show a small and relatively stable set of resolvers (i.e. the top-talkers) constitute 90% of the overall traffic. The results provide a basis for understanding for this critical Internet service, insights on typical resolver behaviors and the use of IPv6 in DNS, and provides a foundation for further study of DNS behavior.",1-Mar-12
8,Eric Osterweil,Reducing the X.509 Attack Surface with DNSSEC's DANE,"For the last decade, perhaps the most commonly used type of end-user security has been the HTTP Secure (HTTPS) protocol employed by web browsers (which runs over the Secure Sockets Layer, SSL or its successor, TLS). In HTTPS, any service (such as a website) may create its own cryptographic certificate to secure its communication channel, and clients use this certificate to verify data from, and transmit data to the server. This model has helped to secure online banking transactions, eCommerce websites, social networking websites, and more. However, two inherent complications to this approach are that clients must have a secure way to learn the authentic certificate for each website before they begin using this protocol, and they must be able to determine if they can trust the named entity that the certificate belongs to. These complications are conflated in today’s security model, which is based on a list of prespecified trusted X.509 Certificate
Authorities (CAs) that every client must know a priori, and a very ad-hoc approach to determining which of this list of CAs will vouch for any keys discovered.

In this paper we first outline some of the fundamental problems that exist with today’s CA model, problems that arise from its conflation of the two inherent complications, and some of the implications and attack vectors that these problems present to the security of this model’s users. Then we introduce some of the relative benefits that can be gained from a new approach being standardized in the IETF called DNS-based Authentication of Named Entities (DANE), in which certificate credentials are verified by DNSSEC-enabled zones, rather than the CA model used today. We illustrate that
the DNSSEC-verification model reduces the attack surface that users currently inherit, and show that this model opens avenues that have previously remained elusive (such as a usable S/MIME verification infrastructure).",1-Mar-12
9,Eric Osterweil,The Great IPv4 Land Grab: Resource Certification for the IPv4 Grey Market,"The era of free IPv4 address allocations has ended and the grey market in IPv4 addresses is now emerging. This paper argues that one cannot and should not try to regulate who sells addresses and at what price, but one does need to provide some proof of ownership in the form of resource certification. In this paper we identify key requirements of resource certification, gained from both theoretical analysis and operational history. We further argue these requirements
can be achieved by making use of the existing reverse DNS hierarchy, enhanced with DNS Security. Our analysis compares reverse DNS entries and BGP routing tables and shows this is both feasible and achievable today; an essential requirement as the grey market is also emerging today and solutions are needed now, not years in the future.",1-Nov-11
10,Eric Osterweil,Operational Implications of the DNS Control Plane,,1-May-11
11,Eric Osterweil,Cross-Modal Vulnerabilities: An Illusive form of Hijacking,"Content, connection, and other types of hijacking are a common occurrence in todayÂ’s Internet. One can broadly classify various types of hijacks as being locally scoped to an administrative domain, or pushed externally; where one administrative domain (intentionally or unintentionally) hijacks users in other domains. Current work in identifying and reacting to various types of Internet hijacking has focused on the network control plane and has not included cross-modal hijacks that involve both the control plane and the data plane of the Internet. In this work we introduce the idea that cross-modal threats exist in the Internet and form a highly illusive, but serious threat. Further, we detail an actual instance of Internet-scale cross-modal hijacking whose behavior depends on both network control data and data plane such as the order in which users request connections. Based on anecdotal evidence gleaned from several websites, it appears that this hijack existed for many months (and possibly years) before its recent detection.",1-Mar-10
12,Eric Osterweil,Deploying Cryptography in Internet-Scale Systems: A Case Study on DNSSEC,"The DNS Security Extensions (DNSSEC) are among the first attempts to deploy cryptographic protections in an Internet-scale operational system. DNSSEC applies well-established public key cryptography to ensure data integrity and origin authenticity in the DNS system. While the cryptographic design of DNSSEC is sound and seemingly simple, its development has taken the IETF over a decade and several protocol revisions, and even today its deployment is still in the early stage of rolling out. In this paper, we provide the first systematic examination of the design, deployment, and operational challenges encountered by DNSSEC over the years. Our study reveals a fundamental gap between cryptographic designs and operational Internet systems. To be deployed in the global Internet, a cryptographic protocol must possess several critical properties including scalability, flexibility, incremental deployability, and ability to function in face of imperfect operations. We believe that the insights gained from this study can offer valuable inputs to future cryptographic designs for other Internet-scale systems.",1-Jan-10
13,Eric Osterweil,Deploying and Monitoring DNS Security (DNSSEC),"SecSpider is a DNSSEC monitoring system that helps identify operational errors in the DNSSEC deployment and discover unforeseen obstacles. It collects, verifies, and publishes the DNSSEC keys for DNSSEC-enabled zones, which enables operators of both authoritative zones and recursive resolvers to deploy DNSSEC immediately, and benefit from its cryptographic protections. In this paper we present the design and implementation of SecSpider as well as several general lessons that stem from its design and implementation.",1-Dec-09
14,Eric Osterweil,Interadministrative Challenges in Managing DNSKEYs,"Although the visible deployment of Domain Name System Security Extensions is growing at a tremendous rate, evidence suggests that managing cryptographic keys is deceptively complex. Here, the authors outline the problem of managing DNSKEYs and present a survey comparison of existing proposed solutions.",1-Sep-09
15,Eric Osterweil,Managing Trusted Keys in Internet-Scale Systems,,1-Jun-09
16,Eric Osterweil,Quantifying the Operational Status of the DNSSEC Deployment,"This paper examines the deployment of the DNS Security Extensions (DNSSEC), which add cryptographic protection to DNS, one of the core components in the Internet infrastructure. We analyze the data collected from the initial DNSSEC deployment which started over 2 years ago, and identify three critical metrics to gauge the deployment: availability, verifiability, and validity. Our results provide the first comprehensive look at DNSSEC’s deployment and reveal a number of challenges that were not anticipated in the design but have become evident in the deployment. First, obstacles such as middle-boxes (firewalls, NATs, etc.) that exist in today’s Internet infrastructure have proven to be problematic and have resulted in unforeseen availability problems. Second, the public-key delegation system of DNSSEC has not evolved as it was hoped and it currently leaves over 97% of DNSSEC zones isolated and unverifiable, unless some external key authentication mechanism is added. Furthermore, our results show that cryptographic verification is not equivalent to validation; a piece of verified data can still contain the wrong value. Finally, our results demonstrate the essential role of monitoring and measurement in the DNSSEC deployment. We believe that the observations and lessons from the DNSSEC deployment can provide insights into measuring future Internet-scale cryptographic systems.",10-Oct-08
17,Eric Osterweil,Limiting Replay Vulnerabilities in DNSSEC,"The DNS Security Extensions (DNSSEC) added public key cryptography to the DNS, but problems remain in selecting signature lifetimes. A zone’s master server distributes signatures to secondary servers. The signatures lifetimes should be long so that a secondary server can still operate if the master fails. However, DNSSEC lacks revocation. Signed data can be replayed until the signature expires and thus zones should select a short signature lifetime. Operators must choose between reduced robustness or long replay vulnerability windows.

This paper introduces a revised DNSSEC signature that allows secondary servers to operate even if the master has failed while simultaneously limiting replay windows to twice the TTL. Each secondary server constructs a hash chain and relays the hash chain anchor to the master server. The signature produced by the master server ensures the authenticity of the hash anchor and the DNS data. A secondary server includes both the signature and a hash chain value used by resolvers to limit signature replay. Our implementation shows the added costs are minimal compared to DNSSEC and ensures robustness against long-term master server failures. At the same time, we limit replay to twice the record TTL value.",1-Oct-08
18,Eric Osterweil,Observations from the DNSSEC Deployment,DNS Security Extensions have been developed to add cryptographic protection to the Internet name resolution service. In this paper we report the results from our monitoring effort with early DNSSEC deployment trials and the lessons learned.,1-Oct-07
19,Eric Osterweil,Zone State Revocation for DNSSEC,"DNS Security Extensions (DNSSEC) are designed to add cryptographic protection to the Internet’s name resolution service. However the current design lacks a key revocation mechanism. In this paper we present Zone State Revocation (ZSR), a lightweight and backward compatible enhancement to DNSSEC. ZSR enables zones to explicitly revoke keys using self-certifying certificates, and enables DNS name-servers to opportunistically inform distributed caching resolvers of key revocations via lightweight control messages. Further, ZSR allows resolvers to distinguish between legitimate key changes and potential attacks when authentication chains are broken. ZSR is designed to work well with global-scale DNS operations, where millions of caches may need to be informed of a revocation, and where time is critical.",1-Aug-07
0,Eugene Kim,Graphene oxide/mussel foot protein composites for high-strength and ultra-tough thin films,,5-Nov-20
1,Eugene Kim,Microbially Synthesized Repeats of Mussel Foot Protein Display Enhanced Underwater Adhesion,,27-Nov-18
0,Evgenios Kornaropoulos,Adversarial Examples for k-Nearest Neighbor Classifiers Based on Higher-Order Voronoi Diagrams,,35th Conference on Neural Information Processing Systems (NeurIPS'21)
1,Evgenios Kornaropoulos,Data Recovery on Encrypted Databases With k-Nearest Neighbor Query Leakage,,40th IEEE Symposium on Security and Privacy (Oakland'19)
2,Evgenios Kornaropoulos,Response-Hiding Encrypted Ranges: Revisiting Security via Parametrized Leakage-Abuse Attacks,,42th IEEE Symposium on Security and Privacy (Oakland'21)
3,Evgenios Kornaropoulos,The Price of Tailoring the Index to Your Data: Poisoning Attacks on Learned Index Structures,,48th ACM International Conference on Management of Data (SIGMOD'22)
4,Evgenios Kornaropoulos,The State of the Uniform: Attacks on Encrypted Databases Beyond the Uniform Query Distribution,,41st IEEE Symposium on Security and Privacy (Oakland'20)
0,Harry Foxwell,Creating Good Data: A Guide to Dataset Structure and Data Representation,"Create good data from the start, rather than fixing it after it is collected. By following the guidelines in this book, you will be able to conduct more effective analyses and produce timely presentations of research data.",30-Oct-20
0,Hemant Purohit,Gender-Based Violence in 140 Characters or Fewer: A #BigData Case Study of Twitter,"Humanitarian and public institutions are increasingly relying on data from social media sites to measure public attitude, and provide timely public engagement. Such engagement supports the exploration of public views on important social issues such as gender-based violence (GBV). In this study, we examine Big (Social) Data consisting of nearly fourteen million tweets collected from the Twitter platform over a period of ten months to analyze public opinion regarding GBV, highlighting the nature of tweeting practices by geographical location and gender. The exploitation of Big Data requires the techniques of Computational Social Science to mine insight from the corpus while accounting for the influence of both transient events and sociocultural factors. We reveal public awareness regarding GBV tolerance and suggest opportunities for intervention and the measurement of intervention effectiveness assisting both governmental and non-governmental organizations in policy development. [Highlight of FM Jan'16 issue]",1-Jan-16
1,Hemant Purohit,Intent Classification of Short-text Social Media,"Social media platforms facilitate the emergence of citizen communities that discuss real-world events, and generate/share content with a variety of intent ranging from social good (e.g., volunteering to help) to commercial interest (e.g., criticizing product features). Hence, mining intent from social data can aid in filtering social media to support organizations, such as an emergency management unit for resource planning. However, effective intent mining is inherently challenging due to ambiguity in interpretation, and sparsity of relevant behaviors in social data. In this research, we address the problem of multiclass classification of intent with a use-case of social data generated during crisis events. Our novel interdisciplinary method exploits a hybrid feature representation created by combining top-down processing using knowledge-guided patterns with bottom-up processing using a bag-of-tokens model. ",19-Dec-15
