,Doc_ID,Name_x,descriptions_x,titles,date,source,citations,Location,Name_y,descriptions_y,similar_area,area_score
114,114,karla hoffman,karla hoffman uses mathematical statistical modeling inform decision making worked variety government agencies corporations diverse problems planning scheduling buses disneyworld real time scheduling concrete trucks throughout northern virginia assigning crews flights major airline determining scoring process tax returns ranked audits determining placement sensors battlefield assignment radio channels dynamically military units wartime situations problems common large modeled using mathematics economics provide insights regarding likely outcomes making specific decisions currently hoffman working consultant federal communication commission incentive auction multi billion dollar auction air tv broadcasters sell back spectrum rights fcc sells recovered spectrum wireless industry world continues use wireless technologies communication internet things need continues radio waves allocated wireless use increases repurposing spectrum wireless required revolutionary auction design uses sophisticated mathematical optimization techniques assure success hoffman part team fcc performing tasks consists mostly graduates mason department systems engineering operations research,,,,,CEC Website,karla hoffman,karla hoffman use mathematical statistical modeling inform decision make work variety government agency corporation diverse problem planning scheduling bus disneyworld real time scheduling concrete truck throughout northern virginia assign crew flight major airline determine scoring process tax return rank audits determine placement sensor battlefield assignment radio channel dynamically military unit wartime situation problem common large model use mathematic economic provide insight regard likely outcome make specific decision currently hoffman work consultant federal communication commission incentive auction multi billion dollar auction air tv broadcaster sell back spectrum right fcc sell recover spectrum wireless industry world continue use wireless technology communication internet thing need continue radio wave allocate wireless use increase repurpose spectrum wireless require revolutionary auction design use sophisticated mathematical optimization technique assure success hoffman part team fcc perform task consist mostly graduates mason department systems engineering operation research,visual computing,0.2004916025441717
115,115,katherine russell,katherine russell received bs computer science 2007 university maryland university college ms computer science 2012 george mason university phd candidate computer science research areas include researching multiagent systems swarm intelligence multirobotics russell previously taught courses computer science department information systems published papers multirobotics swarm robotics reasoning using computational theory evidence member mason robocup team 2010 12 professional web developer,,,,,CEC Website,katherine russell,katherine russell receive bs computer science 2007 university maryland university college ms computer science 2012 george mason university phd candidate computer science research area include research multiagent system swarm intelligence multirobotic russell previously teach courses computer science department information system publish paper multirobotic swarm robotic reasoning use computational theory evidence member mason robocup team 2010 12 professional web developer,computational biomedicine,0.2217285210417449
115,115,katherine russell,katherine russell received bs computer science 2007 university maryland university college ms computer science 2012 george mason university phd candidate computer science research areas include researching multiagent systems swarm intelligence multirobotics russell previously taught courses computer science department information systems published papers multirobotics swarm robotics reasoning using computational theory evidence member mason robocup team 2010 12 professional web developer,,,,,CEC Website,katherine russell,katherine russell receive bs computer science 2007 university maryland university college ms computer science 2012 george mason university phd candidate computer science research area include research multiagent system swarm intelligence multirobotic russell previously teach courses computer science department information system publish paper multirobotic swarm robotic reasoning use computational theory evidence member mason robocup team 2010 12 professional web developer,software engineering,0.2047769643422287
146,146,martin slawski,given background statistics computer science martin slawski interested tackling problems arising interface two fields area nowadays often referred data science research slawski studies computationally tractable methods yield compact representation high dimensional data one recent focus involves randomized methods dimensionality reduction associated computational statistical trade offs slawski also enjoys working applications interdisciplinary teams particular problems involving biological data high throughput experiments research interests high dimensional statistical inference dimension reduction optimization methods data analysis statistical computational trade offs,,,,,CEC Website,martin slawski,give background statistic computer science martin slawski interested tackle problem arise interface two field area nowadays often refer data science research slawski study computationally tractable method yield compact representation high dimensional datum one recent focus involve randomized method dimensionality reduction associate computational statistical trade off slawski also enjoy working application interdisciplinary team particular problem involve biological datum high throughput experiment research interest high dimensional statistical inference dimension reduction optimization method datum analysis statistical computational trade off,bioinformatics biostatistics computational biology,0.2032242548312348
154,154,michael lyons,professor lyons instructor course coordinator undergraduate information security courses within information sciences technology department school computing george mason university research interests include c4i computer network security information security assurance cryptography information warfare,,,,,CEC Website,michael lyons,professor lyons instructor course coordinator undergraduate information security course within information sciences technology department school computing george mason university research interest include c4i computer network security information security assurance cryptography information warfare,artificial intelligence,0.2864459496157731
154,154,michael lyons,professor lyons instructor course coordinator undergraduate information security courses within information sciences technology department school computing george mason university research interests include c4i computer network security information security assurance cryptography information warfare,,,,,CEC Website,michael lyons,professor lyons instructor course coordinator undergraduate information security course within information sciences technology department school computing george mason university research interest include c4i computer network security information security assurance cryptography information warfare,data analytics,0.2090605025017727
157,157,mingrui liu,degrees ph computer science university iowa 2020,,,,,CEC Website,mingrui liu,degree ph computer science university iowa 2020,computational biomedicine,0.2105587219030789
186,186,robert handler,robert handler received phd mechanics university minnesota 1980 recently professor mechanical engineering texas university previous research mechanical engineer u naval research laboratory nrl washington c head fluid dynamics section remote sensing division throughout career dr handler actively involved study turbulent fluid flows main achievement area uncover fundamental structure turbulent flows near surfaces ships jet aircraft puzzling phenomenon drag reduction associated injection small amounts polymer turbulent flows liquids major focus work collaborators first simulate phenomenon using advanced computational methods knowledge might used future design optimal drag reducing agents resulting significant energy savings general dr handler gets greatest pleasure trying understand phenomena currently poorly understood counterintuitive along lines recently received nsf grant study puzzling phenomenon fluid turbulence appearing low speed flows caused fluid elasticity also gets great enjoyment teaching undergraduates strange behavior exhibited fluids motion,,,,,CEC Website,robert handler,robert handler receive phd mechanic university minnesota 1980 recently professor mechanical engineering texas university previous research mechanical engineer u naval research laboratory nrl washington c head fluid dynamic section remote sensing division throughout career dr handler actively involve study turbulent fluid flow main achievement area uncover fundamental structure turbulent flow near surface ship jet aircraft puzzle phenomenon drag reduction associate injection small amount polymer turbulent flow liquids major focus work collaborator first simulate phenomenon use advanced computational method knowledge might use future design optimal drag reduce agent result significant energy saving general dr handler gets great pleasure trying understand phenomenon currently poorly understand counterintuitive along line recently receive nsf grant study puzzle phenomenon fluid turbulence appear low speed flow cause fluid elasticity also get great enjoyment teaching undergraduate strange behavior exhibit fluid motion,computational fluid dynamics,0.2270832677615782
242,242,abolfazl safikhani,spatiotemporal variation demand transportation particularly taxis highly dynamic urban space metropolis new york city impacted various factors commuting weather road work closures disruptions transit services etc study endeavors explain user demand taxis space time proposing generalized spatiotemporal autoregressive star model deals high dimensionality model proposing use lassotype penalized methods tackling parameter estimation forecasting performance proposed models measured using outofsample mean squared prediction error mspe proposed models found outperform alternative models vector autoregressive var models proposed modeling framework easily interpretable parameter structure suitable,spatiotemporal modeling yellow taxi demands new york city using generalized star models,7/1/2020,spatiotemporal modeling yellow taxi demands new york city using generalized star models,37.0,Google Scholar,abolfazl safikhani,spatiotemporal variation demand transportation particularly taxis highly dynamic urban space metropolis new york city impact various factor commute weather road work closure disruption transit service etc study endeavor explain user demand taxis space time propose generalize spatiotemporal autoregressive star model deal high dimensionality model propose use lassotype penalize method tackle parameter estimation forecasting performance propose model measure use outofsample mean square prediction error mspe propose model find outperform alternative model vector autoregressive var model propose modeling framework easily interpretable parameter structure suitable,statistical modeling,0.2928195306397772
242,242,abolfazl safikhani,spatiotemporal variation demand transportation particularly taxis highly dynamic urban space metropolis new york city impacted various factors commuting weather road work closures disruptions transit services etc study endeavors explain user demand taxis space time proposing generalized spatiotemporal autoregressive star model deals high dimensionality model proposing use lassotype penalized methods tackling parameter estimation forecasting performance proposed models measured using outofsample mean squared prediction error mspe proposed models found outperform alternative models vector autoregressive var models proposed modeling framework easily interpretable parameter structure suitable,spatiotemporal modeling yellow taxi demands new york city using generalized star models,7/1/2020,spatiotemporal modeling yellow taxi demands new york city using generalized star models,37.0,Google Scholar,abolfazl safikhani,spatiotemporal variation demand transportation particularly taxis highly dynamic urban space metropolis new york city impact various factor commute weather road work closure disruption transit service etc study endeavor explain user demand taxis space time propose generalize spatiotemporal autoregressive star model deal high dimensionality model propose use lassotype penalize method tackle parameter estimation forecasting performance propose model measure use outofsample mean square prediction error mspe propose model find outperform alternative model vector autoregressive var model propose modeling framework easily interpretable parameter structure suitable,stochastic modeling,0.2928195306397772
248,248,abolfazl safikhani,identifying changebreak points multivariate time series represents canonical problem signal processing due numerous applications related anomaly detection problems underlying detection methodology heavily depends nature mechanism determining temporal dynamics data vector autoregressive models var constitute widely used model diverse areas including surveillance applications economicsfinance neuroscience work consider piecewise stationary var models exhibiting break points corresponding stationary segments wherein transition matrices govern models temporal evolution decomposed common lowrank component time evolving sparse ones assume number available time points smaller number model parameters hence operating high,multiple change points detection low rank sparse high dimensional vector autoregressive models,5/11/2020,multiple change points detection low rank sparse high dimensional vector autoregressive models,12.0,Google Scholar,abolfazl safikhani,identify changebreak point multivariate time series represent canonical problem signal processing due numerous application relate anomaly detection problem underlie detection methodology heavily depend nature mechanism determine temporal dynamic datum vector autoregressive model var constitute widely use model diverse area include surveillance application economicsfinance neuroscience work consider piecewise stationary var model exhibit break point correspond stationary segment wherein transition matrix govern model temporal evolution decompose common lowrank component time evolve sparse one assume number available time point small number model parameter hence operate high,statistical modeling,0.2995354811206622
248,248,abolfazl safikhani,identifying changebreak points multivariate time series represents canonical problem signal processing due numerous applications related anomaly detection problems underlying detection methodology heavily depends nature mechanism determining temporal dynamics data vector autoregressive models var constitute widely used model diverse areas including surveillance applications economicsfinance neuroscience work consider piecewise stationary var models exhibiting break points corresponding stationary segments wherein transition matrices govern models temporal evolution decomposed common lowrank component time evolving sparse ones assume number available time points smaller number model parameters hence operating high,multiple change points detection low rank sparse high dimensional vector autoregressive models,5/11/2020,multiple change points detection low rank sparse high dimensional vector autoregressive models,12.0,Google Scholar,abolfazl safikhani,identify changebreak point multivariate time series represent canonical problem signal processing due numerous application relate anomaly detection problem underlie detection methodology heavily depend nature mechanism determine temporal dynamic datum vector autoregressive model var constitute widely use model diverse area include surveillance application economicsfinance neuroscience work consider piecewise stationary var model exhibit break point correspond stationary segment wherein transition matrix govern model temporal evolution decompose common lowrank component time evolve sparse one assume number available time point small number model parameter hence operate high,stochastic modeling,0.2875540618758357
249,249,abolfazl safikhani,demand taxis varies time finding factors affect demand understanding dynamics taxi demand benefit different groups helps planners improve transportation systems also help drivers reduce empty vacant time paper focuses modeling analyzing taxi demand using demand transportation modes weather conditions started linear regression model combined time series models combined model called regression arma arma auto regressive moving average,taxi mobility modeling taxi demand using arma linear regression,1/1/2020,taxi mobility modeling taxi demand using arma linear regression,10.0,Google Scholar,abolfazl safikhani,demand taxis vary time find factor affect demand understanding dynamic taxi demand benefit different group help planner improve transportation system also help driver reduce empty vacant time paper focus model analyze taxi demand use demand transportation mode weather condition start linear regression model combine time series model combine model call regression arma arma auto regressive move average,statistical modeling,0.2104898767903622
249,249,abolfazl safikhani,demand taxis varies time finding factors affect demand understanding dynamics taxi demand benefit different groups helps planners improve transportation systems also help drivers reduce empty vacant time paper focuses modeling analyzing taxi demand using demand transportation modes weather conditions started linear regression model combined time series models combined model called regression arma arma auto regressive moving average,taxi mobility modeling taxi demand using arma linear regression,1/1/2020,taxi mobility modeling taxi demand using arma linear regression,10.0,Google Scholar,abolfazl safikhani,demand taxis vary time find factor affect demand understanding dynamic taxi demand benefit different group help planner improve transportation system also help driver reduce empty vacant time paper focus model analyze taxi demand use demand transportation mode weather condition start linear regression model combine time series model combine model call regression arma arma auto regressive move average,stochastic modeling,0.2104898767903622
254,254,abolfazl safikhani,fast transmission rate worldwide made virus important challenge year many mitigation policies imposed governments different regional levels country state county city stop spread virus quantifying effect mitigation strategies transmission recovery rates predicting rate new daily cases two crucial tasks paper propose modeling framework accounts policies also utilizes spatial temporal information characterize pattern progression specifically piecewise susceptibleinfectedrecovered sir model developed dates transmissionrecover rates change significantly defined model novel datadriven algorithm designed locate break points using ideas fused lasso thresholding order enhance forecasting power describe additional temporal dependence among daily number cases model coupled spatial smoothing covariates vector autoregressive var model proposed model applied several us states counties results confirm effect early detecting break points close events model performed satisfactorily shortterm forecasts number new daily cases regional levels utilizing estimated spatiotemporal covariance structures finally theoretical results empirical performance proposed methodology synthetic,nonstationary spatiotemporal modeling progression us,1/1/2020,nonstationary spatiotemporal modeling progression us,2.0,Google Scholar,abolfazl safikhani,fast transmission rate worldwide make virus important challenge year many mitigation policy impose government different regional level country state county city stop spread virus quantify effect mitigation strategy transmission recovery rate predict rate new daily case two crucial task paper propose modeling framework account policy also utilize spatial temporal information characterize pattern progression specifically piecewise susceptibleinfectedrecovere sir model develop date transmissionrecover rate change significantly define model novel datadriven algorithm design locate break point use idea fuse lasso thresholding order enhance forecasting power describe additional temporal dependence among daily number case model couple spatial smoothing covariate vector autoregressive var model propose model apply several us state county result confirm effect early detect break point close event model perform satisfactorily shortterm forecast number new daily case regional level utilize estimate spatiotemporal covariance structure finally theoretical result empirical performance propose methodology synthetic,statistical modeling,0.2139618780639761
254,254,abolfazl safikhani,fast transmission rate worldwide made virus important challenge year many mitigation policies imposed governments different regional levels country state county city stop spread virus quantifying effect mitigation strategies transmission recovery rates predicting rate new daily cases two crucial tasks paper propose modeling framework accounts policies also utilizes spatial temporal information characterize pattern progression specifically piecewise susceptibleinfectedrecovered sir model developed dates transmissionrecover rates change significantly defined model novel datadriven algorithm designed locate break points using ideas fused lasso thresholding order enhance forecasting power describe additional temporal dependence among daily number cases model coupled spatial smoothing covariates vector autoregressive var model proposed model applied several us states counties results confirm effect early detecting break points close events model performed satisfactorily shortterm forecasts number new daily cases regional levels utilizing estimated spatiotemporal covariance structures finally theoretical results empirical performance proposed methodology synthetic,nonstationary spatiotemporal modeling progression us,1/1/2020,nonstationary spatiotemporal modeling progression us,2.0,Google Scholar,abolfazl safikhani,fast transmission rate worldwide make virus important challenge year many mitigation policy impose government different regional level country state county city stop spread virus quantify effect mitigation strategy transmission recovery rate predict rate new daily case two crucial task paper propose modeling framework account policy also utilize spatial temporal information characterize pattern progression specifically piecewise susceptibleinfectedrecovere sir model develop date transmissionrecover rate change significantly define model novel datadriven algorithm design locate break point use idea fuse lasso thresholding order enhance forecasting power describe additional temporal dependence among daily number case model couple spatial smoothing covariate vector autoregressive var model propose model apply several us state county result confirm effect early detect break point close event model perform satisfactorily shortterm forecast number new daily case regional level utilize estimate spatiotemporal covariance structure finally theoretical result empirical performance propose methodology synthetic,stochastic modeling,0.2139618780639761
256,256,abolfazl safikhani,recent years change point detection high dimensional data become increasingly important many scientific fields literature develop variety separate methods designed specified models eg mean shift model vector autoregressive model graphical model paper provide unified framework structural break detection suitable large class models moreover proposed algorithm automatically achieves consistent parameter estimates change point detection process without need refitting model specifically introduce threestep procedure first step utilizes block segmentation strategy combined fused lasso based estimation criterion leads significant computational gains without compromising statistical accuracy identifying number location structural breaks procedure coupled hardthresholding exhaustive search steps consistently estimate number location break points strong guarantees proved number estimated change points rates convergence locations consistent estimates model parameters also provided numerical studies provide support theory validate competitive performance wide range models developed algorithm implemented r package lineardetect,unified framework change point detection highdimensional linear models,7/19/2022,unified framework change point detection highdimensional linear models,1.0,Google Scholar,abolfazl safikhani,recent year change point detection high dimensional datum become increasingly important many scientific field literature develop variety separate method design specify model eg mean shift model vector autoregressive model graphical model paper provide unified framework structural break detection suitable large class model moreover propose algorithm automatically achieve consistent parameter estimate change point detection process without need refit model specifically introduce threestep procedure first step utilize block segmentation strategy combine fuse lasso base estimation criterion lead significant computational gain without compromise statistical accuracy identify number location structural break procedure couple hardthresholde exhaustive search step consistently estimate number location break point strong guarantee prove number estimate change point rate convergence location consistent estimate model parameter also provide numerical study provide support theory validate competitive performance wide range model develop algorithm implement r package lineardetect,statistical modeling,0.2685191255231595
256,256,abolfazl safikhani,recent years change point detection high dimensional data become increasingly important many scientific fields literature develop variety separate methods designed specified models eg mean shift model vector autoregressive model graphical model paper provide unified framework structural break detection suitable large class models moreover proposed algorithm automatically achieves consistent parameter estimates change point detection process without need refitting model specifically introduce threestep procedure first step utilizes block segmentation strategy combined fused lasso based estimation criterion leads significant computational gains without compromising statistical accuracy identifying number location structural breaks procedure coupled hardthresholding exhaustive search steps consistently estimate number location break points strong guarantees proved number estimated change points rates convergence locations consistent estimates model parameters also provided numerical studies provide support theory validate competitive performance wide range models developed algorithm implemented r package lineardetect,unified framework change point detection highdimensional linear models,7/19/2022,unified framework change point detection highdimensional linear models,1.0,Google Scholar,abolfazl safikhani,recent year change point detection high dimensional datum become increasingly important many scientific field literature develop variety separate method design specify model eg mean shift model vector autoregressive model graphical model paper provide unified framework structural break detection suitable large class model moreover propose algorithm automatically achieve consistent parameter estimate change point detection process without need refit model specifically introduce threestep procedure first step utilize block segmentation strategy combine fuse lasso base estimation criterion lead significant computational gain without compromise statistical accuracy identify number location structural break procedure couple hardthresholde exhaustive search step consistently estimate number location break point strong guarantee prove number estimate change point rate convergence location consistent estimate model parameter also provide numerical study provide support theory validate competitive performance wide range model develop algorithm implement r package lineardetect,stochastic modeling,0.2685191255231595
260,260,abolfazl safikhani,thanks simplicity interpretable structure autoregressive processes widely used model time series data however many real time series data sets exhibit nonlinear patterns requiring nonlinear modeling threshold autoregressive tar process provides family nonlinear autoregressive time series models process dynamics specific step functions thresholding variable estimation inference lowdimensional tar models investigated highdimensional tar models received less attention article develop new framework estimating highdimensional tar models propose two different sparsityinducing penalties first penalty corresponds natural extension classical tar model highdimensional settings threshold enforced model parameters second penalty develops,penalized estimation threshold autoregressive models many components thresholds,2022/1,penalized estimation threshold autoregressive models many components thresholds,1.0,Google Scholar,abolfazl safikhani,thank simplicity interpretable structure autoregressive process widely use model time series datum however many real time series data set exhibit nonlinear pattern require nonlinear modeling threshold autoregressive tar process provide family nonlinear autoregressive time series model process dynamic specific step function thresholde variable estimation inference lowdimensional tar model investigate highdimensional tar model receive less attention article develop new framework estimate highdimensional tar model propose two different sparsityinducing penalty first penalty correspond natural extension classical tar model highdimensional setting threshold enforce model parameter second penalty develop,stochastic modeling,0.2840680980357128
