,Doc_ID,Name,descriptions,titles,date,source,citations,Location
14826,14826,aditya johri,topological insulators field effect transistors oscillations quantum interference silicon nanowires semiconductor nanowires wave functions none aharonov bohm ab oscillation quantum mechanical phenomenon reveals coupling electromagnetic potentials electron wave function affecting phase wave function quantum interference effect demonstrated magnetotransport measurement focusing low dimensional electronic states report experimental observation anomalous ab oscillation enhanced mode topological insulator bi2se3 nanowire field effect transistor fet strong surface disorder different reported ab oscillation topological insulator nanostructures surrounding gate nanowire fet gives rise tunability chemical potential introduces strong disorder surface states leading primary oscillation anomalous h e period furthermore oscillation exhibits significant dependence gate voltage preliminary explained quantization surface conduction channel experimental demonstration attractive exploration quantum phase interference electrical approaches enabling applications future information electromagnetic sensing technology abstract author copyright applied physics letters property american institute physics content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,observation control anomalous aharonov bohm oscillation enhanced mode topological insulator nanowire field effect transistors ,8/12/2019,N/A,N/A,Academic Search Complete
14827,14827,aditya johri,metal oxide semiconductors gas detectors graphene detectors internet things professional machinery equipment supplies merchant wholesalers none discriminating similar molecules remains challenging problem semiconductor gas sensors report method achieve precise gas discrimination similar chemical vapors mesitylene xylene toluene using cross reactive arrays consisting metal oxide semiconductor graphene sensors difficult identify three chemicals similar responses sensors cross reactive principal component analysis sensor response features however discrimination accuracy improved 70 single gas sensor almost 100 cross reactive sensor array precise discrimination low cost planar process make approach attractive candidate smart gas sensing future internet things applications abstract author copyright applied physics letters property american institute physics content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,precise gas discrimination cross reactive graphene metal oxide sensor arrays ,11/26/2018,N/A,N/A,Academic Search Complete
14828,14828,aditya johri,nitric oxide gas mixtures electrochemical sensors graphene sensitivity analysis density functional theory dft gas sensor hydrogen sulfide h2s internet things iot nitrogen dioxide no2 response recovery time sensitivity sulphur dioxide so2 toxic gases nox sox h2s containing gases cause numerous harmful effects human health even low gas concentrations reliable detection various gases low concentration mandatory fields industrial plants environmental monitoring air quality assurance automotive technologies paper recent advances electrochemical sensors toxic gas detections reviewed summarized focus no2 so2 h2s gas sensors recent progress detection toxic gases categorized highly explored sensing materials past decades important sensing performance parameters like sensitivity response response recovery times certain gas concentration operating temperature different sensor materials structures summarized tabulated provide thorough performance comparison novel metric sensitivity per ppm response time ratio calculated sensor order compare overall sensing performance reference found hybrid materials based sensors exhibit highest average ratio no2 gas sensing whereas gan metal oxide based sensors possess highest ratio so2 h2s gas sensing respectively recently significant research efforts made exploring new sensor materials graphene derivatives transition metal dichalcogenides tmds gan metal metal oxide nanostructures solid electrolytes organic materials detect mentioned toxic gases addition contemporary progress so2 gas sensors based zeolite paper h2s gas sensors based colorimetric metal organic framework mof structures also reviewed finally work reviewed recent first principle studies interaction gas molecules novel promising materials like arsenene borophene blue phosphorene gese monolayer germanene goal understand surface interaction mechanism abstract author copyright sensors 14248220 property mdpi content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,recent advances electrochemical sensors detecting toxic gases no2 so2 h2s ,19-Feb,N/A,N/A,Academic Search Complete
14829,14829,aditya johri,silicon nanowires field effect transistors gate array circuits photolithography performance evaluation electron mobility schottky barrier multi channel nanowire fet nanowire field effect transistor self alignment voltage tolerance abstract si nanowire field effect transistors sinw fets multiple nanowire channels different gate lengths fabricated using directed assembly approach combined standard photolithographic process electrical characteristics sinw fets containing different numbers nanowire channels measured compared multi channel sinw fets show excellent performance small subthreshold slope 75mv dec large ratio 108 good break voltage 30v good carrier mobility μ p 100cm2 v 1s 1 excellent device properties achieved using clean self alignment process improved device structure schottky barriers source drain contacts high performance multi nanowire fets attractive logic memory sensor applications copyright elsevier copyright solid state electronics property pergamon press imprint elsevier science content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,self aligned multi channel silicon nanowire field effect transistors,12-Dec,N/A,N/A,Academic Search Complete
14830,14830,aditya johri,flash memory computer storage devices dielectric devices microfabrication wire nanosilicon electric properties metals semiconductor junctions computer storage device manufacturing computer peripheral equipment manufacturing metal service centers metal merchant wholesalers flash memory nvm silicon nanowire sinw abstract three flash memory cell structures silicon nanowire channels high k dielectric stacks fabricated self aligning process characteristics reported compared paper metal sio2 hfo2 sio2 si mohos cell sio2 blocking layer two metal al2o3 hfo2 sio2 si mahos cells al2o3 hfo2 charge trapping layer compared control planar cells three operate higher speeds attributed enhanced electric field across tunneling oxide surrounding channel mahos cells al2o3 blocking layer outperform mohos cells sio2 blocking layer large memory window fast operation speed good endurance retention copyright elsevier copyright microelectronic engineering property elsevier b v content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,silicon nanowire nvm high k gate dielectric stack,9-Jul,N/A,N/A,Academic Search Complete
14831,14831,aditya johri,lead free ceramics ceramic capacitors energy storage energy density specific gravity electric breakdown bifeo3 energy storage density relaxor ferroelectric solid phase sintering work series novel lead free 1 x bi 0 83 sm 0 17 fe 0 95 sc 0 05 3 x 0 85batio 3 0 15bi mg 0 5 zr 0 5 3 1 x bsfs x bt bmz x 0 45 0 85 relaxor ceramics prepared solid phase sintering dielectric properties energy storage performances explored revealed samples dense structure pure pseudo cubic phase increase x ferroelectric hysteresis loop gradually slimmed accompanied decreasing polarization indicating enhanced relaxor behavior moreover electric breakdown strength increases linearly x due fine grain size enhanced relative density interestingly large recoverable energy density 3 2 j cm3 outstanding efficiency 92 achieved electric field 206 kv cm optimized component x 0 75 superior reported lead free ceramic systems moreover optimized ceramics 0 25bsfs 0 75 bt bmz show good thermal stability 25 100 c excellent fatigue endurance cycle number 105 energy storage performances work opens new route tailor lead free dielectric ceramics high energy storage properties abstract author copyright journal european ceramic society property elsevier b v content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,simultaneously enhanced energy storage density efficiency novel bifeo3 based lead free ceramic capacitors ,21-Jan,N/A,N/A,Academic Search Complete
14832,14832,aditya johri,field effect devices semiconductor diodes thyristors bistable devices computer storage devices computer storage device manufacturing computer peripheral equipment manufacturing semiconductor electronic component manufacturing semiconductor related device manufacturing anodes charge carrier density field effect diode fed logic gates mosfet random access memory soi sram thin capacitively coupled thyristor tcct thyristor thyristors timing static memory cell sram based field effect diode fed presented operation explained help numerical device simulations although new cell resembles thin capacitively coupled thyristor tcct sram cell concept operation nevertheless characterized significant advantages advantages derive fact thyristorlike mode operation fed gate induced whereas tcct actual built thyristor operation cell explained help suitable timing diagrams mechanisms storing 1 0 analyzed detailed numerical simulations one operation scheme cell could better termed quasi sram sequence restore pulses periodically applied cell put hold ensures stored data remain valid long cell powered high read 0 1 current margin fast write read time densely packed cells among cell advantages obtained abstract author copyright ieee transactions electron devices property ieee content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,soi fed sram cell structure operation ,15-Sep,N/A,N/A,Academic Search Complete
14833,14833,aditya johri,chalcogenides metal oxide semiconductor field effect transistors dielectrics charge transfer nanoelectronics 2d semiconductors dielectric engineering strain effect temperature effect advances two dimensional 2d transition metal dichalcogenides tmdcs based metal oxide semiconductor field effect transistor mosfet interface semiconductor channel gate dielectrics received considerable attention due significant impacts morphology charge transport devices study first principle calculations utilized investigate strain effect induced interface crystalline α al 2 3 0001 h mos 2 monolayer results indicate 1 3 nm al 2 3 induce 0 3 tensile strain mos 2 monolayer strain monotonically increases thicker dielectric layers inducing significant impact properties mos 2 addition study temperature effect indicates increasing temperature induces monotonic lattice expansion study clearly indicates dielectric engineering effectively tune properties 2d tmdcs attractive nanoelectronics abstract author copyright applied surface science property elsevier b v content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,study interfacial strain α al2o3 monolayer mos2 interface first principle calculations ,18-Jan,N/A,N/A,Academic Search Complete
14834,14834,aditya johri,electric properties silicon nanowires spectrum analysis lorentzian function ionization energy electron capture electric current measurement current measurement deep levels field effect transistor fet generation recombination g r noise gold low frequency noise lfn nickel noise silicon silicon nanowire sinw spectroscopy temperature measurement report detailed characterization electrically active deep levels doped si nanowires sinws grown using catalyst assisted vapor liquid solid vls technique temperature dependent low frequency noise lfn spectroscopy used reveal presence generation recombination related lorentzian type peaks along 1 f type noise nws ni catalyzed sinws correlated lfn spectroscopy detected electrically active deep levels ionization energies 0 42 ev n type 0 22 ev p type sinws respectively au catalyzed n p type sinws energies deep levels estimated 0 44 0 38 ev respectively values good agreement known ionization energies deep levels introduced ni au si associated trap concentrations hole electron capture cross sections also estimated paper clearly indicated presence electrically active deep levels associated unintentional incorporation catalyst atoms vls grown sinws abstract author copyright ieee transactions electron devices property ieee content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,detection deep levels doped silicon nanowires using low frequency noise spectroscopy ,13-Dec,N/A,N/A,Academic Search Complete
14835,14835,aditya johri,epitaxy pulsed laser deposition magnetic measurements thin films raman spectroscopy ferroelectric domains hexagonal ermno3 film multiferroicity raman spectrum epitaxial ermno 3 thin films grown pt coated al 2 3 substrate pulsed laser deposition structure multiferroicity ferroelectric domain properties comprehensively characterized studied xrd measurement indicated excellent epitaxy plane ermno 3 0001 pt 111 al 2 3 0001 plane ermno 3 1000 pt 11 2 al 2 3 11 2 0 structures deposited ermno 3 films exhibited spontaneous ferroelectric domains reversible polarization significant remnant polarization 1 3 μc cm2 active peak 662 cm 1 raman spectra found showing high quality ermno 3 thin films moreover magnetic measurements indicated thin film excellent anisotropic magnetic property neel temperature 53 k films grown highly hexagonal epitaxy plane ermno 3 0001 pt 111 al 2 3 0001 plane ermno 3 1000 pt 11 2 al 2 3 11 2 0 deposited ermno 3 films clearly exhibited spontaneous ferroelectric domains polarized reversibly excellent retention performance remanent polarization value 1 3 μc cm2 significant raman active peak 662 cm 1 observed films exhibited anisotropic magnetic properties neel temperature 53 k abstract author copyright journal alloys compounds property elsevier b v content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,domain structure multiferroic properties epitaxial hexagonal ermno3 films ,20-Apr,N/A,N/A,Academic Search Complete
14836,14836,alexander brodsky,angiography biomechanics computer simulation hemodynamics human anatomical models intracranial aneurysms research funding ruptured aneurysms vitro studies disease complications none background thought aneurysms evolve result progressive degradation wall response abnormal hemodynamics characterized either high low wall shear stress wss objective investigate effects two different hemodynamic pathways series cerebral aneurysms known rupture sites methods nine aneurysms rupture site could identified three dimensional images analyzed wss distribution obtained computational fluid dynamics cfd simulations internal wall stresses computed using structural wall models hemodynamic loads determined cfd models wall properties thickness stiffness modulated wss distribution increased decreased regions high low wss test possible wall degradation pathways rupture probability indices rpi calculated compare different wall models results rupture sites aligned intrasaccular flow stream downstream primary impaction zone model best explained rupture site produced higher rpi eight nine aneurysms 89 thinner stiffer walls regions abnormally high wss remaining case 11 best explained model thinner stiffer walls regions abnormally low wss conclusions aneurysm rupture seems caused localized degradation weakening wall response abnormal hemodynamics image based computational models assuming wall thinning stiffening regions abnormally high wss able explain observed rupture sites abstract author copyright journal neurointerventional surgery property bmj publishing group content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,analysis hemodynamics wall mechanics sites cerebral aneurysm rupture ,15-Jul,N/A,N/A,Academic Search Complete
14837,14837,alexander brodsky,hemodynamics medical imaging systems blood circulation hydrodynamics aneurysms vascular diseases cerebral aneurysm computational fluid dynamics rotational angiography sensitivity hemodynamic factors thought implicated progression rupture intracranial aneurysms current efforts aim study possible associations hemodynamic chars acteristics complexity stability intra aneurysmal flow patterns size location region flow impingement clinical history aneurysmal rupture however reliable methods measuring blood flow patterns vivo paper efficient methodology patient specific modeling characterization hemodynamics cerebral aneurysms medical images described sensitivity analysis hemodynamic characteristics respect variations several variables expected physiologic range conditions also presented sensitivity analysis shows although changes velocity fields observed characterization intra aneurysmal flow patterns altered mean input flow flow division viscosity model mesh resolution changed also found variable greater impact computed flow fields geometry vascular structures conclude proposed modeling pipeline clinical studies involving large numbers cerebral aneurysms feasible abstract author copyright ieee transactions medical imaging property ieee content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,efficient pipeline image based patient specific analysis cerebral aneurysm hemodynamics technique sensitivity ,5-Apr,N/A,N/A,Academic Search Complete
14838,14838,alexander brodsky,magnetic resonance imaging cerebral circulation diagnostic imaging centers cerebral blood flow computational fluid dynamics perfusion quantification bolus tracking magnetic resonance imaging mri powerful technique measuring perfusion playing increasing role investigation acute stroke however limitations reported assessing patients steno occlusive disease presence steno occlusive disease artery may cause bolus dispersion shown introduce significant errors cerebral blood flow cbf quantification bolus dispersion commonly described vascular transport function function properly characterizes dispersion unknown novel method quantify bolus dispersion errors perfusion measurements presented realistic patient specific model constructed anatomical physiologic mr data arterial blood flow pattern transport bolus contrast agent computed using finite element analysis methodology presented used also evaluate accuracy three simple vascular models methodology tested mr data two normal subjects two subjects mild carotid artery stenosis estimated cbf errors order 15 20 however presence stenosis necessarily introduce larger dispersion geometrical model also particular physiologic conditions influence degree bolus dispersion method described contribute better understanding errors introduced dispersion effects assessment validation vascular models development new methods correction dispersion errors cbf quantification copyright elsevier copyright neuroimage property academic press inc content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,estimation bolus dispersion effects perfusion mri using image based computational fluid dynamics,3-Jun,N/A,N/A,Academic Search Complete
14839,14839,alexander brodsky,hemodynamics intracranial aneurysms endothelium blood flow fluid dynamics computational fluid dynamics growth intracranial aneurysms rupture wall shear stress initiation progression cerebral aneurysms degenerative processes arterial wall driven complex interaction biological hemodynamic factors endothelial cells artery wall respond physiologically blood flow patterns normal conditions responses associated nonpathological tissue remodeling adaptation combination abnormal blood patterns genetics predisposition could lead pathological formation aneurysms review recent progress basic mechanisms aneurysm formation evolution focus role hemodynamic patterns abstract author copyright annual review fluid mechanics property annual reviews inc content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,hemodynamics cerebral aneurysms ,2009,N/A,N/A,Academic Search Complete
14840,14840,alexander levis,electromechanical devices electric generators transition metals chalcogenides band gaps building equipment contractors building equipment contractors motor generator manufacturing electrical apparatus equipment wiring supplies related equipment merchant wholesalers electrical wiring construction supplies merchant wholesalers totalizing fluid meter counting device manufacturing automatic environmental control manufacturing residential commercial appliance use electronic component manufacturing communications equipment manufacturing semiconductor electronic component manufacturing none transition metal dichalcogenides tmdcs mos2 wse2 provide two dimensional atomic crystals semiconductor band gap work present design new mechano electric generators sensors based transition metal dichalcogenide nanoribbon pn junctions heterojunctions mechano electric conversion simulated using first principle calculation output voltage mos2 nanoribbon pn junction increases strain reaching 0 036 v 1 strain 0 31 v 8 strain much larger reported results study indicates length width layer number tmdc nanoribbon pn junctions interesting different impact voltage output also results indicate doping position concentration cause small fluctuation output voltage results compared mechano electric conversion tmdc heterojunctions novel mechano electric generators sensors attractive applications future self powered wearable electronics systems abstract author copyright scientific reports property springer nature content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,novel two dimensional mechano electric generators sensors based transition metal dichalcogenides ,8/7/2015,N/A,N/A,Academic Search Complete
14841,14841,alexander levis,phase transitions molybdenum compounds monomolecular films tensile strength computational chemistry electron mobility deformation potential mobility enhancement mos 2 monolayer phase transition strain effect two dimensional materials report computational study impact tensile strain mos 2 monolayer transition direct indirect bandgap structure transition semiconductor metal phases monolayer investigated tensile strain along direction configurations x axis axis components ɛ xy ɛ x ɛ electron effective mass hole effective mass isotropic biaxial strain ɛ xy ɛ x ɛ anisotropic ɛ xy ɛ x ɛ carrier effective mass behaves differently along different directions response tensile strain addition impact strain carrier mobility studied using deformation potential theory electron mobility increases 10 times biaxial strain ɛ x ɛ 9 5 also mobility decreases monotonically increasing temperature μ 1 results important future nanotechnology based two dimensional materials abstract author copyright applied surface science property elsevier b v content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,phase transition effective mass carrier mobility mos2 monolayer tensile strain ,15-Jan,N/A,N/A,Academic Search Complete
14842,14842,alexander levis,specific heat data warehousing manganite magnetic fields ferroelectricity rare earth metals metal ore mining dymn2o5 ferrielectricity manganite multiferroicity coupling effects among spin charge lattice strongly correlated system critical next generation spintronic data storage devices however complex effects elusive difficult distinguish contributions polarization modulation tailored polarization co doping non magnetic eu sites dymn 2 5 structure specific heat magnetism ferroelectricity polycrystalline dy 1 x eu 0 24 0 76 x mn 2 5 ceramics comprehensively explored interestingly co doping cause lattice distortion dymn 2 5 ceramics orthorhombic structures independent dy3 spin order dy3 mn3 coupling suppressed increasing co doping content x spins related properties associated dy3 mn4 dy3 sub lattice progressively inhibited keep less disturbance mn3 mn4 mn3 block moreover spin coupling dy3 mn3 ions stronger magnetic field dy3 mn3 results enhance understanding ferrielectricity dymn 2 5 provide method controlling polarization multiferroic manganite coexisting 3 4 f elements abstract author copyright solid state communications property pergamon press imprint elsevier science content may copied emailed multiple sites posted listserv without copyright holder express written permission however users may print download email articles individual use abstract may abridged warranty given accuracy copy users refer original published version material full abstract copyright applies abstracts,polarization tunability multiferroic dymn2o5 influence eu co doping 3d 4f exchange ,20-Feb,N/A,N/A,Academic Search Complete
