,Name,similar_area,area_score
3,alexander brodsky,computer networks communications,0.1312318108353246
3,alexander brodsky,environmental water resources engineering,0.1265087816374307
3,alexander brodsky,electrical engineering,0.1229313385825567
4,alexander levis,stochastic modeling,0.2722213600562674
4,alexander levis,statistical modeling,0.2666138039502395
4,alexander levis,biomedical imaging devices,0.1601673243308525
4,alexander levis,design results clinical studies,0.1577876017081854
4,alexander levis,computer networks communications,0.1457328966490144
4,alexander levis,structural engineering,0.1387101828139798
4,alexander levis,visual computing,0.1345076705339977
4,alexander levis,systems engineering,0.134171007608785
4,alexander levis,theory computation,0.1321883784269131
4,alexander levis,applied probability statistics,0.1315359653089099
5,ali beheshti,stochastic modeling,0.1366062812798366
5,ali beheshti,statistical modeling,0.1361885250679717
5,ali beheshti,multiscale tribology contact mechanics,0.1308181658001455
5,ali beheshti,applied probability statistics,0.1282132929039279
5,ali beheshti,environmental water resources engineering,0.1280980780913185
5,ali beheshti,bioinformatics biostatistics computational biology,0.1218421835280454
5,ali beheshti,design results clinical studies,0.1216569311264955
5,ali beheshti,visual computing,0.1017777867746327
5,ali beheshti,systems engineering,0.0999557932563446
5,ali beheshti,biomedical imaging devices,0.0988072112946554
6,ali k raz,computer networks communications,0.2373342605346573
6,ali k raz,systems engineering,0.1494051296700685
6,ali k raz,theory computation,0.1438736683486622
6,ali k raz,biomedical imaging devices,0.1407836543198775
6,ali k raz,electrical engineering,0.1248044317491332
6,ali k raz,design results clinical studies,0.1239362738115848
6,ali k raz,artificial intelligence,0.1224806027813821
6,ali k raz,computer engineering,0.1140631263146247
6,ali k raz,environmental water resources engineering,0.1075699686430509
6,ali k raz,geotechnical engineering,0.1070906460895365
7,alok berry,education,0.0990925044111772
7,alok berry,software engineering,0.0834622326111985
7,alok berry,multiscale transport engineering,0.0669186598213577
7,alok berry,transportation,0.0611394985055648
7,alok berry,geotechnical engineering,0.0592348877759092
7,alok berry,visual computing,0.0507382568618803
7,alok berry,electrical engineering,0.050669459193814
7,alok berry,systems engineering,0.0504647332689366
7,alok berry,computer engineering,0.0494770695995293
7,alok berry,construction engineering management,0.0457815228469656
8,amarda shehu,structural engineering,0.2980205283326615
8,amarda shehu,statistical modeling,0.1402269860209918
8,amarda shehu,systems engineering,0.1398589504189863
8,amarda shehu,stochastic modeling,0.1390440198832417
8,amarda shehu,experimental understanding disease mechanisms,0.137270635178485
8,amarda shehu,autonomous systems,0.1248547958854183
8,amarda shehu,design results clinical studies,0.1237829723883804
8,amarda shehu,construction engineering management,0.1127890421863522
8,amarda shehu,applied probability statistics,0.1091212084847436
8,amarda shehu,visual computing,0.105549894190059
9,anand vidyashankar,applied probability statistics,0.14238987519412
9,anand vidyashankar,visual computing,0.1313274310247383
9,anand vidyashankar,design results clinical studies,0.1108331682141355
9,anand vidyashankar,computer networks communications,0.1107353849338713
9,anand vidyashankar,biomedical imaging devices,0.1044323077430737
9,anand vidyashankar,stochastic modeling,0.1041196181016352
9,anand vidyashankar,electrical engineering,0.1034622727704921
9,anand vidyashankar,statistical modeling,0.1003103637808437
9,anand vidyashankar,data analytics,0.098466226711796
9,anand vidyashankar,systems engineering,0.0967551565033098
10,andrew richardson,applied probability statistics,0.0957243334676602
10,andrew richardson,design results clinical studies,0.0894512386712925
10,andrew richardson,systems engineering,0.0882407466308064
10,andrew richardson,construction engineering management,0.0876758465652985
10,andrew richardson,data analytics,0.0855249937498031
10,andrew richardson,multiscale tribology contact mechanics,0.0773797562498219
10,andrew richardson,statistical modeling,0.0772009259755168
10,andrew richardson,stochastic modeling,0.0772009259755168
10,andrew richardson,software engineering,0.0764442070863689
10,andrew richardson,bioinformatics biostatistics computational biology,0.0705398259484141
11,andrzej manitius,visual computing,0.1959604750333837
11,andrzej manitius,human centered computing,0.1244786798367366
11,andrzej manitius,theory computation,0.1076706011463839
11,andrzej manitius,national security,0.0783188380753497
11,andrzej manitius,computer networks communications,0.0709755198400999
11,andrzej manitius,optimization techniques,0.0685010065916314
11,andrzej manitius,applied probability statistics,0.0645833683720626
11,andrzej manitius,computational biomedicine,0.0634600936695471
11,andrzej manitius,education,0.0626258401948866
11,andrzej manitius,software engineering,0.0586084518016369
12,angelos stavrou,data analytics,0.147981054094376
12,angelos stavrou,applied probability statistics,0.1473560544345154
12,angelos stavrou,computer networks communications,0.144677939895472
12,angelos stavrou,visual computing,0.120495190254279
12,angelos stavrou,environmental water resources engineering,0.1183232326321006
12,angelos stavrou,biomedical imaging devices,0.1006571372955098
12,angelos stavrou,design results clinical studies,0.0948617935008385
12,angelos stavrou,artificial intelligence,0.0940205899200012
12,angelos stavrou,electrical engineering,0.0914851408397573
12,angelos stavrou,multiscale transport engineering,0.0878056898392839
13,antonios anastasopoulos,statistical modeling,0.1752679753779622
13,antonios anastasopoulos,stochastic modeling,0.1731041732128022
13,antonios anastasopoulos,experimental understanding disease mechanisms,0.1477770752574172
13,antonios anastasopoulos,applied probability statistics,0.1232024294908459
13,antonios anastasopoulos,computer networks communications,0.1151105400867039
13,antonios anastasopoulos,design results clinical studies,0.0957494909961788
13,antonios anastasopoulos,theory computation,0.0938325067771769
13,antonios anastasopoulos,optimization techniques,0.0922775299613134
13,antonios anastasopoulos,visual computing,0.0895188052040123
13,antonios anastasopoulos,computer engineering,0.0720519100373282
14,ariela sofer,visual computing,0.2332937770373004
14,ariela sofer,theory computation,0.1642604787366994
14,ariela sofer,stochastic modeling,0.1502423450569339
14,ariela sofer,optimization techniques,0.1501696085672113
14,ariela sofer,systems engineering,0.1492390900630398
14,ariela sofer,statistical modeling,0.148900895547497
14,ariela sofer,electrical engineering,0.1485616095096049
14,ariela sofer,software engineering,0.1276376219103785
14,ariela sofer,design results clinical studies,0.1269354742657061
14,ariela sofer,human centered computing,0.1220802454915671
15,arthur art pyster,data analytics,0.1264279082482028
15,arthur art pyster,computer networks communications,0.1181880955945095
15,arthur art pyster,human centered computing,0.0971941029961178
15,arthur art pyster,visual computing,0.0874329993975948
15,arthur art pyster,education,0.0832444444191469
15,arthur art pyster,theory computation,0.080734080858764
15,arthur art pyster,multiscale tribology contact mechanics,0.0790174426551267
15,arthur art pyster,artificial intelligence,0.0744331447696054
15,arthur art pyster,geotechnical engineering,0.0478474376469345
15,arthur art pyster,software engineering,0.0449448415810387
16,̦zlem uzuner,computer networks communications,0.1766456390733896
16,̦zlem uzuner,artificial intelligence,0.1567140304036143
16,̦zlem uzuner,computational biomedicine,0.1474449764294059
16,̦zlem uzuner,theory computation,0.1285216386858474
16,̦zlem uzuner,design results clinical studies,0.1257634489649491
16,̦zlem uzuner,applied probability statistics,0.1218241711924242
16,̦zlem uzuner,biomedical imaging devices,0.1187172338946495
16,̦zlem uzuner,experimental understanding disease mechanisms,0.1125271766239274
16,̦zlem uzuner,data analytics,0.1103696153867856
16,̦zlem uzuner,optimization techniques,0.0949547897975984
17,ben seiyon lee,stochastic modeling,0.3156901865520845
17,ben seiyon lee,statistical modeling,0.3108520227735085
17,ben seiyon lee,bioinformatics biostatistics computational biology,0.0928349985094354
17,ben seiyon lee,biomedical imaging devices,0.0918278950474056
17,ben seiyon lee,systems engineering,0.0820287298126377
17,ben seiyon lee,visual computing,0.0796933332341594
17,ben seiyon lee,design results clinical studies,0.0794167463681365
17,ben seiyon lee,software engineering,0.0746919978160226
17,ben seiyon lee,applied probability statistics,0.0730680800027165
17,ben seiyon lee,construction engineering management,0.0702356358767701
18,bernard schmidt,visual computing,0.1387244611544569
18,bernard schmidt,software engineering,0.1014203216607651
18,bernard schmidt,computational biomedicine,0.0960889607283056
18,bernard schmidt,artificial intelligence,0.095433055718978
18,bernard schmidt,human centered computing,0.088121024316907
18,bernard schmidt,education,0.0812792267359937
18,bernard schmidt,bioinformatics biostatistics computational biology,0.0772091436482183
18,bernard schmidt,data analytics,0.0668650798037989
18,bernard schmidt,construction engineering management,0.0556320700752009
18,bernard schmidt,simulation,0.0549079775590318
19,bernd peter paris,computer networks communications,0.1723294766691701
19,bernd peter paris,environmental water resources engineering,0.1337419677632889
19,bernd peter paris,multiscale tribology contact mechanics,0.1281247849039344
19,bernd peter paris,applied probability statistics,0.1204596883579608
19,bernd peter paris,electrical engineering,0.1181789672706264
19,bernd peter paris,biomedical imaging devices,0.1137737983645048
19,bernd peter paris,construction engineering management,0.1083818657489676
19,bernd peter paris,design results clinical studies,0.1071336849613564
19,bernd peter paris,systems engineering,0.1010889541103497
19,bernd peter paris,theory computation,0.100233605143889
20,bijan jabbari,stochastic modeling,0.141697450703912
20,bijan jabbari,statistical modeling,0.1397188611666931
20,bijan jabbari,computer networks communications,0.1044611478786364
20,bijan jabbari,environmental water resources engineering,0.099259507276642
20,bijan jabbari,experimental understanding disease mechanisms,0.0959655059515091
20,bijan jabbari,applied probability statistics,0.0953249886003925
20,bijan jabbari,design results clinical studies,0.0947588950674015
20,bijan jabbari,systems engineering,0.0872138788274117
20,bijan jabbari,electrical engineering,0.0859374395877679
20,bijan jabbari,visual computing,0.0823227791029957
21,binqian yin,software engineering,0.1647705109143269
21,binqian yin,computational biomedicine,0.1486752583625131
21,binqian yin,computer engineering,0.122096572626376
21,binqian yin,visual computing,0.1001670844941266
21,binqian yin,education,0.0978138378808423
21,binqian yin,simulation,0.0892051550175078
21,binqian yin,geotechnical engineering,0.0877058019307029
21,binqian yin,bioinformatics biostatistics computational biology,0.083624201000709
21,binqian yin,electrical engineering,0.0750234484920533
21,binqian yin,structural engineering,0.066063831983505
22,bo han,experimental understanding disease mechanisms,0.1279650003218814
22,bo han,computer networks communications,0.1141151362858539
22,bo han,biomedical imaging devices,0.097042310002002
22,bo han,visual computing,0.0896318724721548
22,bo han,theory computation,0.08908972558164
22,bo han,applied probability statistics,0.0805545606397764
22,bo han,environmental water resources engineering,0.0795571268785946
22,bo han,data analytics,0.0752647172927649
22,bo han,multiscale tribology contact mechanics,0.0749024322516445
22,bo han,design results clinical studies,0.0730835523808779
23,bo liu,education,0.1825255188514278
23,bo liu,design results clinical studies,0.1005117136344948
23,bo liu,visual computing,0.0996889572558453
23,bo liu,applied probability statistics,0.0959977146836829
23,bo liu,biomedical imaging devices,0.0870715431934292
23,bo liu,systems engineering,0.0867576032427712
23,bo liu,electrical engineering,0.0839985067064877
23,bo liu,computer engineering,0.082021794364855
23,bo liu,structural engineering,0.0678031299992114
23,bo liu,autonomous systems,0.0621059003408118
24,brett hunter,biomedical imaging devices,0.1243296100972753
24,brett hunter,design results clinical studies,0.0986705865578197
24,brett hunter,data analytics,0.0832408947765033
24,brett hunter,systems engineering,0.0744329027747365
24,brett hunter,national security,0.0708626897841404
24,brett hunter,visual computing,0.0690796948587756
24,brett hunter,electrical engineering,0.0689860274328339
24,brett hunter,multiscale tribology contact mechanics,0.0665927158212026
24,brett hunter,software engineering,0.0662859766693748
24,brett hunter,applied probability statistics,0.0626087903347261
25,brian hrolenok,education,0.0997509336107632
25,brian hrolenok,computer networks communications,0.0969003166223018
25,brian hrolenok,software engineering,0.0933520056018673
25,brian hrolenok,computer engineering,0.083009707515292
25,brian hrolenok,computational biomedicine,0.0758098043578903
25,brian hrolenok,simulation,0.0758098043578903
25,brian hrolenok,statistical modeling,0.074074074074074
25,brian hrolenok,stochastic modeling,0.074074074074074
25,brian hrolenok,bioinformatics biostatistics computational biology,0.0710669054518701
25,brian hrolenok,theory computation,0.0571661950475029
26,brian mark,stochastic modeling,0.1429391763961731
26,brian mark,statistical modeling,0.1406703005803609
26,brian mark,applied probability statistics,0.1222082103163498
26,brian mark,computer networks communications,0.1132095103251704
26,brian mark,visual computing,0.1117450170078237
26,brian mark,environmental water resources engineering,0.1097714245999265
26,brian mark,experimental understanding disease mechanisms,0.1030537379072152
26,brian mark,design results clinical studies,0.1028401847925782
26,brian mark,electrical engineering,0.099318213461193
26,brian mark,systems engineering,0.0917544021212459
27,brittany johnson matthews,design results clinical studies,0.1459874477916265
27,brittany johnson matthews,visual computing,0.1431550474283507
27,brittany johnson matthews,applied probability statistics,0.1221132046790828
27,brittany johnson matthews,bioinformatics biostatistics computational biology,0.1124824259938004
27,brittany johnson matthews,electrical engineering,0.1030159706060153
27,brittany johnson matthews,multiscale tribology contact mechanics,0.1019224827598386
27,brittany johnson matthews,biomedical imaging devices,0.0962845797259381
27,brittany johnson matthews,environmental water resources engineering,0.083839450265409
27,brittany johnson matthews,systems engineering,0.080497757358179
27,brittany johnson matthews,statistical modeling,0.0799932916777416
28,burak tanyu,visual computing,0.168503502590219
28,burak tanyu,design results clinical studies,0.1561025027396147
28,burak tanyu,structural engineering,0.152809501419171
28,burak tanyu,applied probability statistics,0.1410897839373451
28,burak tanyu,biomedical imaging devices,0.1359497609639459
28,burak tanyu,environmental water resources engineering,0.124015437698901
28,burak tanyu,experimental understanding disease mechanisms,0.123230291405778
28,burak tanyu,electrical engineering,0.1178650485492774
28,burak tanyu,bioinformatics biostatistics computational biology,0.1131865097771971
28,burak tanyu,systems engineering,0.1016165821648947
29,cameron nowzari,design results clinical studies,0.1523081360684762
29,cameron nowzari,stochastic modeling,0.1480264902739725
29,cameron nowzari,statistical modeling,0.1476379693021248
29,cameron nowzari,construction engineering management,0.1291865204457355
29,cameron nowzari,applied probability statistics,0.1289526381837352
29,cameron nowzari,systems engineering,0.1255265892789807
29,cameron nowzari,computer networks communications,0.1199459073240177
29,cameron nowzari,theory computation,0.1199354345461305
29,cameron nowzari,environmental water resources engineering,0.1033528190905591
29,cameron nowzari,electrical engineering,0.1021068551498106
30,carlotta domeniconi,applied probability statistics,0.2060755492956585
30,carlotta domeniconi,design results clinical studies,0.1576160617499606
30,carlotta domeniconi,experimental understanding disease mechanisms,0.1464898478747187
30,carlotta domeniconi,statistical modeling,0.1344932990815467
30,carlotta domeniconi,stochastic modeling,0.1344932990815467
30,carlotta domeniconi,systems engineering,0.1284136822163297
30,carlotta domeniconi,visual computing,0.1247169109024659
30,carlotta domeniconi,construction engineering management,0.1246824683450551
30,carlotta domeniconi,environmental water resources engineering,0.1175857694987781
30,carlotta domeniconi,electrical engineering,0.1165847544789522
31,caroline hoemann,visual computing,0.1079254632147086
31,caroline hoemann,design results clinical studies,0.1051019914113728
31,caroline hoemann,biomedical imaging devices,0.0930955536959341
31,caroline hoemann,human centered computing,0.0903128061669796
31,caroline hoemann,humanities,0.0881092220575576
31,caroline hoemann,bioinformatics biostatistics computational biology,0.0861115373167004
31,caroline hoemann,statistical modeling,0.0839506747038086
31,caroline hoemann,stochastic modeling,0.0839506747038086
31,caroline hoemann,environmental water resources engineering,0.0816298354029702
31,caroline hoemann,multiscale tribology contact mechanics,0.0810052939133383
32,celso moller ferreira,statistical modeling,0.1408361002890499
32,celso moller ferreira,stochastic modeling,0.1382314696364123
32,celso moller ferreira,environmental water resources engineering,0.1252706936541716
32,celso moller ferreira,applied probability statistics,0.1059302098269867
32,celso moller ferreira,bioinformatics biostatistics computational biology,0.0937679115718912
32,celso moller ferreira,design results clinical studies,0.0870890044638209
32,celso moller ferreira,visual computing,0.0823851461051577
32,celso moller ferreira,computational fluid dynamics,0.0673104720488543
32,celso moller ferreira,computer networks communications,0.0634399123857259
32,celso moller ferreira,biomedical imaging devices,0.0622925351919081
33,charles white,transportation,0.082572282384477
33,charles white,education,0.0780674539304573
33,charles white,finance,0.0592348877759092
33,charles white,data analytics,0.055048188256318
33,charles white,multiscale transport engineering,0.0502096445253433
33,charles white,statistical modeling,0.0496903994999953
33,charles white,stochastic modeling,0.0496903994999953
33,charles white,artificial intelligence,0.0471404520791031
33,charles white,environmental water resources engineering,0.042640143271122
33,charles white,visual computing,0.038069349381344
34,christine alonzo yee,civilian government ngos,0.095906440948193
34,christine alonzo yee,construction engineering management,0.063154833288655
34,christine alonzo yee,geotechnical engineering,0.0612851413035895
34,christine alonzo yee,software engineering,0.0575673662503403
34,christine alonzo yee,multiscale transport engineering,0.0538493402919267
34,christine alonzo yee,electrical engineering,0.0524232438527936
34,christine alonzo yee,systems engineering,0.0522114319003159
34,christine alonzo yee,education,0.0512611601286379
34,christine alonzo yee,computer engineering,0.0511895829560073
34,christine alonzo yee,energy,0.0467496198362344
35,christopher a carr,education,0.1300325523461671
35,christopher a carr,design results clinical studies,0.0745888549061081
35,christopher a carr,visual computing,0.0616485788871742
35,christopher a carr,systems engineering,0.0551846152022388
35,christopher a carr,energy,0.0549019776707377
35,christopher a carr,autonomous systems,0.0546230993599134
35,christopher a carr,multiscale transport engineering,0.0487849666209608
35,christopher a carr,manufacturing,0.0482804549585267
35,christopher a carr,statistical modeling,0.0482804549585267
35,christopher a carr,stochastic modeling,0.0482804549585267
36,chun hung chen,applied probability statistics,0.1351254821152345
36,chun hung chen,stochastic modeling,0.1205342061308537
36,chun hung chen,statistical modeling,0.1191540434652333
36,chun hung chen,visual computing,0.1177222227584059
36,chun hung chen,biomedical imaging devices,0.1123937584023036
36,chun hung chen,systems engineering,0.1121797336414209
36,chun hung chen,electrical engineering,0.1103469308102143
36,chun hung chen,design results clinical studies,0.1037682427501182
36,chun hung chen,data analytics,0.1019317681831398
36,chun hung chen,environmental water resources engineering,0.1005373170119335
37,clifton sutton,visual computing,0.1281474221491743
37,clifton sutton,statistical modeling,0.1200881991843121
37,clifton sutton,stochastic modeling,0.1136549027994383
37,clifton sutton,applied probability statistics,0.0967862203897926
37,clifton sutton,optimization techniques,0.0884432029553107
37,clifton sutton,bioinformatics biostatistics computational biology,0.0713223366847194
37,clifton sutton,human centered computing,0.0709660567834552
37,clifton sutton,theory computation,0.0661980736684971
37,clifton sutton,computer networks communications,0.0598452918354612
37,clifton sutton,design results clinical studies,0.0588048638302317
38,colin reagle,design results clinical studies,0.1114573251335608
38,colin reagle,visual computing,0.1093212264472204
38,colin reagle,applied probability statistics,0.1072142721193638
38,colin reagle,environmental water resources engineering,0.0950333933461891
38,colin reagle,computational fluid dynamics,0.092731640634431
38,colin reagle,multiscale tribology contact mechanics,0.089656310839795
38,colin reagle,biomedical imaging devices,0.0725528075394937
38,colin reagle,bioinformatics biostatistics computational biology,0.0721958959339193
38,colin reagle,education,0.065963744368822
38,colin reagle,theory computation,0.0646488098542001
39,colleen berg,visual computing,0.1371182340382122
39,colleen berg,computational biomedicine,0.0915843766308995
39,colleen berg,human centered computing,0.0871007112618684
39,colleen berg,software engineering,0.0845825811651901
39,colleen berg,manufacturing,0.0671156055214024
39,colleen berg,simulation,0.0610562510872663
39,colleen berg,education,0.0602535987955043
39,colleen berg,bioinformatics biostatistics computational biology,0.0572363807032142
39,colleen berg,environmental water resources engineering,0.0511937752153777
39,colleen berg,nanomaterials photonics synthesis,0.035049981861639
40,craig lorie,visual computing,0.1685319407387338
40,craig lorie,education,0.1376425248185153
40,craig lorie,design results clinical studies,0.1158565052928714
40,craig lorie,human centered computing,0.1102995369666643
40,craig lorie,software engineering,0.0840084046212184
40,craig lorie,multiscale tribology contact mechanics,0.0836938448998836
40,craig lorie,computer networks communications,0.0755746898742436
40,craig lorie,computational biomedicine,0.0682220020629709
40,craig lorie,bioinformatics biostatistics computational biology,0.0682174078340648
40,craig lorie,biomedical imaging devices,0.0681261845970574
41,daigo shishika,design results clinical studies,0.1314382207025065
41,daigo shishika,systems engineering,0.1117391183934681
41,daigo shishika,construction engineering management,0.1090200756668971
41,daigo shishika,multiscale transport engineering,0.1067020726455173
41,daigo shishika,environmental water resources engineering,0.0985299423877545
41,daigo shishika,biomedical imaging devices,0.0982938354798356
41,daigo shishika,theory computation,0.0960858716672672
41,daigo shishika,applied probability statistics,0.0946167592248799
41,daigo shishika,electrical engineering,0.0936700889860233
41,daigo shishika,multiscale tribology contact mechanics,0.0924638199473487
42,damon mccoy,artificial intelligence,0.0
42,damon mccoy,autonomous systems,0.0
42,damon mccoy,computer engineering,0.0
42,damon mccoy,computer networks communications,0.0
42,damon mccoy,data analytics,0.0
42,damon mccoy,electrical engineering,0.0
42,damon mccoy,human centered computing,0.0
42,damon mccoy,software engineering,0.0
42,damon mccoy,theory computation,0.0
43,dana richards,structural engineering,0.3094613649864095
43,dana richards,experimental understanding disease mechanisms,0.1058369516687486
43,dana richards,systems engineering,0.1005878913339293
43,dana richards,autonomous systems,0.09247331871114
43,dana richards,applied probability statistics,0.0852647852630936
43,dana richards,stochastic modeling,0.0813519030326763
43,dana richards,construction engineering management,0.0763980021476274
43,dana richards,statistical modeling,0.073677195199405
43,dana richards,design results clinical studies,0.0693617917780426
43,dana richards,computational biomedicine,0.0670254450444599
44,daniel barbara,applied probability statistics,0.2098259333353692
44,daniel barbara,computer networks communications,0.1975567710589214
44,daniel barbara,design results clinical studies,0.1434124832140148
44,daniel barbara,theory computation,0.1400369424412214
44,daniel barbara,environmental water resources engineering,0.1370544045366018
44,daniel barbara,visual computing,0.1362425503503681
44,daniel barbara,statistical modeling,0.1291346945890132
44,daniel barbara,stochastic modeling,0.1289172961132741
44,daniel barbara,systems engineering,0.1272251936033783
44,daniel barbara,electrical engineering,0.1269928379585365
45,daniel garrison,education,0.0877691198082298
45,daniel garrison,humanities,0.0733235575106766
45,daniel garrison,computational biomedicine,0.066703734596507
45,daniel garrison,software engineering,0.0616041103633697
45,daniel garrison,systems engineering,0.0558726066957702
45,daniel garrison,data analytics,0.0541530361073882
45,daniel garrison,human centered computing,0.0475786068069806
45,daniel garrison,computer networks communications,0.0426304556319487
45,daniel garrison,autonomous systems,0.041478067789217
45,daniel garrison,visual computing,0.0374502943136569
46,daniel menasce,stochastic modeling,0.1997659163909299
46,daniel menasce,statistical modeling,0.1993098298238273
46,daniel menasce,computer networks communications,0.1580079333481117
46,daniel menasce,applied probability statistics,0.1300014844425454
46,daniel menasce,electrical engineering,0.1256213553086611
46,daniel menasce,biomedical imaging devices,0.12507504222065
46,daniel menasce,systems engineering,0.1228547931755752
46,daniel menasce,design results clinical studies,0.122073981808845
46,daniel menasce,theory computation,0.1153327373163993
46,daniel menasce,visual computing,0.1133874396339653
47,david s rosenblum,visual computing,0.1078095608959467
47,david s rosenblum,software engineering,0.0788186903245467
47,david s rosenblum,data analytics,0.0692854966641995
47,david s rosenblum,computational biomedicine,0.0640075106552345
47,david s rosenblum,communitybased healthcare,0.0637333872942907
47,david s rosenblum,human centered computing,0.0608739165921403
47,david s rosenblum,multiscale tribology contact mechanics,0.0577379138868329
47,david s rosenblum,education,0.0561476095784699
47,david s rosenblum,simulation,0.0533395922126954
47,david s rosenblum,computer engineering,0.0525648837568852
48,deborah goodings,education,0.1132320188728822
48,deborah goodings,visual computing,0.0999622436161598
48,deborah goodings,transportation,0.0915452714550947
48,deborah goodings,energy,0.0890227311966964
48,deborah goodings,software engineering,0.087697896827537
48,deborah goodings,geotechnical engineering,0.0875264442748321
48,deborah goodings,human centered computing,0.0804312516654263
48,deborah goodings,electrical engineering,0.0748700261464312
48,deborah goodings,computer engineering,0.0731081316734836
48,deborah goodings,data analytics,0.0674544105458592
49,diana wang,artificial intelligence,0.1692198178587606
49,diana wang,data analytics,0.1482046307260317
49,diana wang,education,0.130110641087388
49,diana wang,software engineering,0.0842982691635574
49,diana wang,multiscale tribology contact mechanics,0.0823359059589065
49,diana wang,computer networks communications,0.0777799533663137
49,diana wang,visual computing,0.0683286655535519
49,diana wang,humanities,0.0668900062090651
49,diana wang,human centered computing,0.0651059512000804
49,diana wang,multiscale transport engineering,0.0600790936205871
50,dimitrios ioannou,biomedical imaging devices,0.1544366392813624
50,dimitrios ioannou,design results clinical studies,0.1318261069140275
50,dimitrios ioannou,structural engineering,0.1100112378902619
50,dimitrios ioannou,environmental water resources engineering,0.1082028285973666
50,dimitrios ioannou,experimental understanding disease mechanisms,0.1051225388395148
50,dimitrios ioannou,systems engineering,0.0943887773967337
50,dimitrios ioannou,visual computing,0.093104587618703
50,dimitrios ioannou,multiscale tribology contact mechanics,0.0904184952025811
50,dimitrios ioannou,bioinformatics biostatistics computational biology,0.0869539826484787
50,dimitrios ioannou,applied probability statistics,0.0862611628854341
51,doaa bondok,statistical modeling,0.1248375567864718
51,doaa bondok,stochastic modeling,0.1236816534828934
51,doaa bondok,biomedical imaging devices,0.1091321449790106
51,doaa bondok,computer networks communications,0.0907259908422278
51,doaa bondok,design results clinical studies,0.0892882056208511
51,doaa bondok,visual computing,0.083243881973786
51,doaa bondok,systems engineering,0.0783911286332506
51,doaa bondok,electrical engineering,0.0689810499064063
51,doaa bondok,autonomous systems,0.0657147039742424
51,doaa bondok,environmental water resources engineering,0.0648041007367492
52,duminda wijesekera,computer networks communications,0.1955658351740521
52,duminda wijesekera,applied probability statistics,0.1764751167448671
52,duminda wijesekera,design results clinical studies,0.1337580808365363
52,duminda wijesekera,biomedical imaging devices,0.1272583116334959
52,duminda wijesekera,electrical engineering,0.1265715233095161
52,duminda wijesekera,environmental water resources engineering,0.1242157123607124
52,duminda wijesekera,visual computing,0.118736740639481
52,duminda wijesekera,statistical modeling,0.1148470131135525
52,duminda wijesekera,stochastic modeling,0.1141799443055357
52,duminda wijesekera,theory computation,0.1125709350592933
53,duoduo liao,software engineering,0.1062580454980414
53,duoduo liao,data analytics,0.1037844848810504
53,duoduo liao,human centered computing,0.0820661111248784
53,duoduo liao,computational biomedicine,0.0767027657065708
53,duoduo liao,computer engineering,0.0734890417636595
53,duoduo liao,multiscale transport engineering,0.0694189398295395
53,duoduo liao,civilian government ngos,0.0688428390821514
53,duoduo liao,education,0.0672839311886157
53,duoduo liao,geotechnical engineering,0.0628446264799876
53,duoduo liao,visual computing,0.0574188970129611
54,ebrima ceesay,transportation,0.1443034086015553
54,ebrima ceesay,energy,0.1413901961174735
54,ebrima ceesay,computer networks communications,0.1187623845165505
54,ebrima ceesay,multiscale transport engineering,0.1017060872615749
54,ebrima ceesay,human centered computing,0.0979696915435516
54,ebrima ceesay,computer engineering,0.0895735502529547
