,Category,top10,top10_scores
8,computing components,john otten,0.150603624
8,computing components,jim chen,0.148997204
8,computing components,ali k raz,0.143986754
8,computing components,ariela sofer,0.142718482
8,computing components,peter pachowicz,0.141152749
9,devices,janis terpenny,0.335549925
9,devices,ray hong,0.244656756
9,devices,robert pettit,0.234718125
9,devices,vivian genaro motti,0.218422892
9,devices,george hazelrigg,0.216684772
9,devices,parth pathak,0.213590231
9,devices,gino manzo,0.209165007
9,devices,edward huang,0.205364846
9,devices,thomas latoza,0.203843355
9,devices,weiwen jiang,0.200205214
10,subsystems,ali k raz,0.568923056
10,subsystems,matthew amissah,0.454858826
10,subsystems,john otten,0.355023473
10,subsystems,daniel menasce,0.352668938
10,subsystems,duminda wijesekera,0.323194837
10,subsystems,arthur art pyster,0.320970369
10,subsystems,hakan aydin,0.318935559
10,subsystems,alexander levis,0.310454697
10,subsystems,edward huang,0.299124519
10,subsystems,george hazelrigg,0.296186605
11,real time,jessica lin,0.334224136
11,real time,syed abbas zaidi,0.236680939
11,real time,elise miller hooks,0.235712861
11,real time,rajesh ganesan,0.218025711
11,real time,cameron nowzari,0.200320506
11,real time,alexander levis,0.196232292
11,real time,mohan venigalla,0.192155438
11,real time,leonard adelman,0.18527544
11,real time,daniel barbara,0.185192416
11,real time,abolfazl safikhani,0.182797925
12,embedded systems,janis terpenny,0.15340221
12,embedded systems,jim chen,0.14005902
12,embedded systems,amarda shehu,0.119469905
12,embedded systems,giuseppe ateniese,0.118477491
12,embedded systems,george hazelrigg,0.118191769
12,embedded systems,thomas latoza,0.115575096
12,embedded systems,ray hong,0.115245082
12,embedded systems,alexander levis,0.113331041
12,embedded systems,hadi el amine,0.112043317
12,embedded systems,daniel barbara,0.110183438
13,distributed systems,cameron nowzari,0.167343047
13,distributed systems,xuan wang,0.160068015
13,distributed systems,jim chen,0.155707837
13,distributed systems,janis terpenny,0.152891026
13,distributed systems,daniel barbara,0.140160829
13,distributed systems,amarda shehu,0.1377362
13,distributed systems,george hazelrigg,0.137391587
13,distributed systems,giuseppe ateniese,0.135443937
13,distributed systems,alexander levis,0.130495575
13,distributed systems,john shortle,0.130185243
14,cloud computing,george hazelrigg,0.138294952
14,cloud computing,jim chen,0.130777925
14,cloud computing,shahnaz kamberi,0.117590957
14,cloud computing,aditya johri,0.11583979
14,cloud computing,colin reagle,0.115742578
14,cloud computing,diana wang,0.110877395
14,cloud computing,leonard adelman,0.109830396
14,cloud computing,karla hoffman,0.103377912
14,cloud computing,john shortle,0.099025999
14,cloud computing,janis terpenny,0.098058756
15,internet things,bijan jabbari,0.332099539
15,internet things,vijay shah,0.282362013
15,internet things,sherif hashem,0.273661155
15,internet things,moinul hossain,0.26527859
15,internet things,brian mark,0.260372439
15,internet things,parth pathak,0.255647728
15,internet things,sanjeev setia,0.231528287
15,internet things,cameron nowzari,0.219206665
15,internet things,jianli pan,0.216147253
15,internet things,kai zeng,0.212218692
16,mobile,lucas henneman,0.122438184
16,mobile,kevin moran,0.116683495
16,mobile,xuesu xiao,0.099334884
16,mobile,karla hoffman,0.09713482
16,mobile,kenneth ball,0.096021285
16,mobile,lance sherry,0.09299651
16,mobile,abolfazl safikhani,0.092594283
16,mobile,celso moller ferreira,0.09019039
16,mobile,myeong lee,0.08854789
16,mobile,hemant purohit,0.08735342
17,wireless,bernd peter paris,0.250183054
17,wireless,yue wang,0.198329587
17,wireless,lei yang,0.193986312
17,wireless,kai zeng,0.180819804
17,wireless,vijay shah,0.179580392
17,wireless,duminda wijesekera,0.168139402
17,wireless,xiaonan guo,0.156263547
17,wireless,bijan jabbari,0.154617571
17,wireless,ali k raz,0.148573226
17,wireless,md tanvir arafin,0.14490411
19,next g communications networks,myeong lee,0.278106317
19,next g communications networks,daniel barbara,0.240236931
19,next g communications networks,jim chen,0.230104028
19,next g communications networks,duminda wijesekera,0.219663379
19,next g communications networks,ray hong,0.207581419
19,next g communications networks,ali k raz,0.202321282
19,next g communications networks,angelos stavrou,0.199862121
19,next g communications networks,giuseppe ateniese,0.18977662
19,next g communications networks,̦zlem uzuner,0.189159226
19,next g communications networks,alexander levis,0.187967269
20,network architecture,ali k raz,0.273751503
20,network architecture,janis terpenny,0.231753901
20,network architecture,john otten,0.229065341
20,network architecture,robert pettit,0.198791364
20,network architecture,matthew amissah,0.198227915
20,network architecture,jiayang sun,0.193845965
20,network architecture,yutao zhong,0.19218664
20,network architecture,george hazelrigg,0.191386995
20,network architecture,daniel menasce,0.186425465
20,network architecture,edward huang,0.180836016
21,biometrics,michael holland,0.22866478
21,biometrics,jonathan l auerbach,0.136224645
21,biometrics,jiayang sun,0.132409687
21,biometrics,niloofar ramezani,0.131294859
21,biometrics,brittany johnson matthews,0.127138424
21,biometrics,pramita bagchi,0.126498134
21,biometrics,tianshu feng,0.122859462
21,biometrics,jim chen,0.122458277
21,biometrics,isuru dassanayake,0.115278084
21,biometrics,viviana maggioni,0.113131936
22,cryptography,ziyu yao,0.202142402
22,cryptography,lisa luo,0.158208543
22,cryptography,thomas latoza,0.15365861
22,cryptography,holger dannenberg,0.137803324
22,cryptography,qiang zeng,0.122641221
22,cryptography,krzysztof gaj,0.119346324
22,cryptography,jens peter kaps,0.111690243
22,cryptography,shahnaz kamberi,0.099674671
22,cryptography,michael holland,0.095130299
22,cryptography,binqian yin,0.088823118
23,digital forensics analysis,burak tanyu,0.222141934
23,digital forensics analysis,daniel barbara,0.217051415
23,digital forensics analysis,jim chen,0.208604634
23,digital forensics analysis,jeff offutt,0.205212911
23,digital forensics analysis,paul ammann,0.185640126
23,digital forensics analysis,john shortle,0.184756975
23,digital forensics analysis,vasiliki ikonomidou,0.183872618
23,digital forensics analysis,ray hong,0.183580827
23,digital forensics analysis,pramita bagchi,0.182089937
23,digital forensics analysis,qiliang li,0.181646962
24,leadership,songjun luo ,0.183597018
24,leadership,duoduo liao,0.154896388
24,leadership,andrew richardson,0.151957668
24,leadership,arthur art pyster,0.131035605
24,leadership,david s rosenblum,0.100534873
24,leadership,christopher a carr,0.088696859
24,leadership,joy hughes,0.076077469
24,leadership,ray hong,0.067568419
24,leadership,f berlin,0.06681531
24,leadership,katherine russell,0.064974117
25,governance policy,hemant purohit,0.132998244
25,governance policy,jan allbeck,0.119914541
25,governance policy,kenneth strazzeri,0.108953408
25,governance policy,khondkar islam,0.095711483
25,governance policy,craig lorie,0.076853829
25,governance policy,riki morikawa,0.072986868
25,governance policy,niloofar ramezani,0.070983841
25,governance policy,aditya johri,0.068906004
25,governance policy,myeong lee,0.067803755
25,governance policy,syed abbas zaidi,0.064899064
26,operations,rajesh ganesan,0.167646043
26,operations,jim chen,0.144613099
26,operations,tokunbo fadahunsi,0.134169858
26,operations,cameron nowzari,0.13342993
26,operations,alexander brodsky,0.126665372
26,operations,daniel barbara,0.125120875
26,operations,shani ross,0.124196103
26,operations,jessica lin,0.122761746
26,operations,daniel menasce,0.122370322
26,operations,massimiliano albanese,0.119231279
27,privacy,liza wilson durant,0.094699374
27,privacy,bo han,0.071528363
27,privacy,lucas henneman,0.068766237
27,privacy,zhisheng yan,0.058912817
27,privacy,dana richards,0.051158871
27,privacy,sanmay das,0.049617372
27,privacy,emanuela marasco,0.047341193
27,privacy,jonathan l auerbach,0.039606212
27,privacy,carlotta domeniconi,0.0394668
27,privacy,vasiliki ikonomidou,0.038442508
28,system security including communications,giuseppe ateniese,0.193833019
28,system security including communications,jim chen,0.181367599
28,system security including communications,ray hong,0.175464922
28,system security including communications,myeong lee,0.173883824
28,system security including communications,daniel barbara,0.171377588
28,system security including communications,janis terpenny,0.1627083
28,system security including communications,sanmay das,0.160871075
28,system security including communications,aditya johri,0.152814665
28,system security including communications,katherine russell,0.1518478
28,system security including communications,paul ammann,0.145532717
29,cyber physical,charles white,0.1161895
29,cyber physical,ali beheshti,0.105497233
29,cyber physical,martin slawski,0.09595877
29,cyber physical,burak tanyu,0.093266772
29,cyber physical,eugene kim,0.088412634
29,cyber physical,rao v mulpuri,0.088136089
29,cyber physical,jiayang sun,0.087073842
29,cyber physical,angelos stavrou,0.079484806
29,cyber physical,william rosenberger,0.078424296
29,cyber physical,jeffrey moran,0.07814476
30,hardware,hamza mughal,0.245954929
30,hardware,shahnaz kamberi,0.239588092
30,hardware,john otten,0.210818511
30,hardware,yutao zhong,0.186704011
30,hardware,brittany johnson matthews,0.185472524
30,hardware,shvetha soundararajan,0.184105692
30,hardware,tamara maddox,0.162892592
30,hardware,binqian yin,0.160128154
30,hardware,grigory yaroslavtsev,0.149071198
30,hardware,sharon adamus,0.139443338
31,network systems,ali k raz,0.239841935
31,network systems,janis terpenny,0.191379105
31,network systems,jim chen,0.18911949
31,network systems,george hazelrigg,0.185173244
31,network systems,alexander levis,0.178707885
31,network systems,giuseppe ateniese,0.173694657
31,network systems,daniel menasce,0.173565063
31,network systems,duminda wijesekera,0.172672473
31,network systems,edward huang,0.172573024
31,network systems,daniel barbara,0.170372871
32,data fusion,jim chen,0.122339016
32,data fusion,monson hayes,0.119351564
32,data fusion,shani ross,0.111940128
32,data fusion,jinwei ye,0.108921223
32,data fusion,myeong lee,0.105973392
32,data fusion,qi wei,0.105006434
32,data fusion,yotam gingold,0.102598704
32,data fusion,giuseppe ateniese,0.101719975
32,data fusion,william rosenberger,0.100999052
32,data fusion,hadi el amine,0.099907002
33,data mining big data analysis,myeong lee,0.21080612
33,data mining big data analysis,daniel barbara,0.19195556
33,data mining big data analysis,jim chen,0.191120594
33,data mining big data analysis,giorgio ascoli,0.179610419
33,data mining big data analysis,angelos stavrou,0.175447128
33,data mining big data analysis,william rosenberger,0.175187728
33,data mining big data analysis,hadi el amine,0.173609831
33,data mining big data analysis,huzefa rangwala,0.173052071
33,data mining big data analysis,aditya johri,0.172522825
33,data mining big data analysis,john shortle,0.172253385
34,visualization,jinwei ye,0.180737746
34,visualization,monson hayes,0.155283059
34,visualization,yotam gingold,0.129872963
34,visualization,siddhartha sikdar,0.121016757
34,visualization,vasiliki ikonomidou,0.120772613
34,visualization,parag chitnis,0.107499865
34,visualization,qi wei,0.091371651
34,visualization,emanuela marasco,0.089918582
34,visualization,craig lorie,0.076673491
34,visualization,filipe veiga,0.075592895
35,devices,janis terpenny,0.335549925
35,devices,ray hong,0.244656756
35,devices,robert pettit,0.234718125
35,devices,vivian genaro motti,0.218422892
35,devices,george hazelrigg,0.216684772
35,devices,parth pathak,0.213590231
35,devices,gino manzo,0.209165007
35,devices,edward huang,0.205364846
35,devices,thomas latoza,0.203843355
35,devices,weiwen jiang,0.200205214
36,sensors small integrated systems,jim chen,0.159120267
36,sensors small integrated systems,janis terpenny,0.138851752
36,sensors small integrated systems,ray hong,0.138611503
36,sensors small integrated systems,giuseppe ateniese,0.12812664
36,sensors small integrated systems,thomas latoza,0.124999184
36,sensors small integrated systems,george hazelrigg,0.12329184
36,sensors small integrated systems,jeffrey moran,0.119678174
36,sensors small integrated systems,qiliang li,0.116110327
36,sensors small integrated systems,daniel barbara,0.115748839
36,sensors small integrated systems,aditya johri,0.111920649
37,transmission,bernd peter paris,0.15437793
37,transmission,mingkui wei,0.095614139
37,transmission,yue wang,0.09243728
37,transmission,tolga soyata,0.086128461
37,transmission,kai zeng,0.082146653
37,transmission,lei yang,0.072906611
37,transmission,martha bushong,0.072607212
37,transmission,parth pathak,0.072081245
37,transmission,hakan aydin,0.071553289
37,transmission,yariv ephraim,0.068197022
38,spectrum analysis,jim chen,0.18076788
38,spectrum analysis,daniel barbara,0.174795188
38,spectrum analysis,vasiliki ikonomidou,0.16303471
38,spectrum analysis,burak tanyu,0.158616133
38,spectrum analysis,pramita bagchi,0.155564198
38,spectrum analysis,carlotta domeniconi,0.15158439
38,spectrum analysis,john shortle,0.147946547
38,spectrum analysis,amarda shehu,0.144426386
38,spectrum analysis,parag chitnis,0.144405779
38,spectrum analysis,yotam gingold,0.140452081
39,signal processing,yariv ephraim,0.136682186
39,signal processing,vasiliki ikonomidou,0.111867213
39,signal processing,monson hayes,0.110829322
39,signal processing,rajesh ganesan,0.106120022
39,signal processing,jeffrey moran,0.103095979
39,signal processing,qiliang li,0.100352142
39,signal processing,kim blackwell,0.099380219
39,signal processing,jan allbeck,0.097055115
39,signal processing,dimitrios ioannou,0.095390302
39,signal processing,jim chen,0.093708066
40,accessible ubiquitous computing,ariela sofer,0.164293341
40,accessible ubiquitous computing,shahnaz kamberi,0.163564948
40,accessible ubiquitous computing,george hazelrigg,0.155535235
40,accessible ubiquitous computing,andrzej manitius,0.142392943
40,accessible ubiquitous computing,shvetha soundararajan,0.141619763
40,accessible ubiquitous computing,aditya johri,0.141488998
40,accessible ubiquitous computing,jim chen,0.134429758
40,accessible ubiquitous computing,craig lorie,0.130626391
40,accessible ubiquitous computing,laura kosoglu,0.123203545
40,accessible ubiquitous computing,hamza mughal,0.122977465
41,collaborative social computing,aditya johri,0.161612353
41,collaborative social computing,jim chen,0.144029623
41,collaborative social computing,andrzej manitius,0.143993606
41,collaborative social computing,joy hughes,0.14043265
41,collaborative social computing,shahnaz kamberi,0.133121616
41,collaborative social computing,pelin kurtay,0.131059517
41,collaborative social computing,myeong lee,0.128891838
41,collaborative social computing,hans hoyer,0.127608749
41,collaborative social computing,george hazelrigg,0.125728296
41,collaborative social computing,sharon adamus,0.122305323
42,online communities,john otten,0.204355973
42,online communities,joy hughes,0.196654272
42,online communities,sanjeev setia,0.155273416
42,online communities,yutao zhong,0.155126307
42,online communities,hamza mughal,0.142724806
42,online communities,giuseppe ateniese,0.133457623
42,online communities,shahnaz kamberi,0.131009231
42,online communities,bijan jabbari,0.126518134
42,online communities,myeong lee,0.126297452
42,online communities,katherine russell,0.121965854
43,world wide web,bijan jabbari,0.178152581
43,world wide web,songqing chen,0.167124464
43,world wide web,mahdi hashemi,0.160540217
43,world wide web,brian mark,0.159866707
43,world wide web,jianli pan,0.159240878
43,world wide web,sadegh torabi,0.155910502
43,world wide web,daniel menasce,0.15171278
43,world wide web,jim chen,0.150159351
43,world wide web,duminda wijesekera,0.149447478
43,world wide web,elise miller hooks,0.146637284
44,human computer interaction,jan allbeck,0.105293717
44,human computer interaction,gheorghe tecuci,0.098611681
44,human computer interaction,mihai boicu,0.094343379
44,human computer interaction,ningshi yao,0.082743426
44,human computer interaction,antonios anastasopoulos,0.078488169
44,human computer interaction,sadegh torabi,0.072574936
44,human computer interaction,ray hong,0.071057808
44,human computer interaction,ebrima ceesay,0.070581104
44,human computer interaction,mahdi hashemi,0.06923044
44,human computer interaction,yariv ephraim,0.068124937
45,software analysis,jim chen,0.178150045
45,software analysis,daniel barbara,0.16620632
45,software analysis,burak tanyu,0.163565916
45,software analysis,vasiliki ikonomidou,0.157941666
45,software analysis,shahnaz kamberi,0.156415067
45,software analysis,john shortle,0.153790408
45,software analysis,pramita bagchi,0.153370837
45,software analysis,amarda shehu,0.151648002
45,software analysis,ariela sofer,0.15025001
45,software analysis,william rosenberger,0.14849597
46,architecture,janis terpenny,0.241665987
46,architecture,shahnaz kamberi,0.207082284
46,architecture,grigory yaroslavtsev,0.166666667
46,architecture,hamza mughal,0.164991582
46,architecture,john otten,0.159099026
46,architecture,craig lorie,0.13144027
46,architecture,katherine russell,0.127125725
46,architecture,yutao zhong,0.125244858
46,architecture,joy hughes,0.124750555
46,architecture,aditya johri,0.124659388
47,construction,giuseppe ateniese,0.128184988
47,construction,yotam gingold,0.128017588
47,construction,jim chen,0.119529275
47,construction,karla hoffman,0.119444422
47,construction,alexander brodsky,0.114366819
47,construction,cameron nowzari,0.111016958
47,construction,amarda shehu,0.108756856
47,construction,carlotta domeniconi,0.10861449
47,construction,daniel barbara,0.10808493
47,construction,samuel gordon,0.107262971
48,software resilience,hamza mughal,0.178958497
48,software resilience,shahnaz kamberi,0.170973521
48,software resilience,binqian yin,0.155347127
48,software resilience,john otten,0.153392998
48,software resilience,tamara maddox,0.148152213
48,software resilience,yutao zhong,0.135847122
48,software resilience,joy hughes,0.129160476
48,software resilience,harry wechsler,0.122583309
48,software resilience,ali beheshti,0.120617508
48,software resilience,martin slawski,0.114075499
49,software testing,jeff offutt,0.403370051
49,software testing,paul ammann,0.37914021
49,software testing,burak tanyu,0.244459823
49,software testing,pramita bagchi,0.208320929
49,software testing,hadi el amine,0.176728257
49,software testing,kuo tian,0.150652574
49,software testing,mehdi amiri darehbidi,0.144134759
49,software testing,jim chen,0.143587766
49,software testing,niloofar ramezani,0.142577456
49,software testing,aditya johri,0.138001126
50,computational geometry,tamara maddox,0.162892592
50,computational geometry,john otten,0.158113883
50,computational geometry,shahnaz kamberi,0.142831363
50,computational geometry,hamza mughal,0.140545674
50,computational geometry,yutao zhong,0.140028008
50,computational geometry,yotam gingold,0.129543306
50,computational geometry,samuel gordon,0.125787269
50,computational geometry,bernard schmidt,0.123203545
50,computational geometry,joy hughes,0.11834273
50,computational geometry,jinwei ye,0.117544536
51,combinatorial algorithms,syed abbas zaidi,0.103947209
51,combinatorial algorithms,daniel barbara,0.086090538
51,combinatorial algorithms,sherif hashem,0.081493574
51,combinatorial algorithms,paul ammann,0.081193627
51,combinatorial algorithms,colleen berg,0.073521462
51,combinatorial algorithms,thanhvu nguyen,0.069357941
51,combinatorial algorithms,carlotta domeniconi,0.069022548
51,combinatorial algorithms,pelin kurtay,0.060858062
51,combinatorial algorithms,gheorghe tecuci,0.059012132
51,combinatorial algorithms,alexander levis,0.058635531
52,theory security,tokunbo fadahunsi,0.153501535
52,theory security,daniel barbara,0.127328377
52,theory security,massimiliano albanese,0.127110225
52,theory security,foteini baldimtsi,0.124914608
52,theory security,paul ammann,0.124327439
52,theory security,duminda wijesekera,0.11909491
52,theory security,md tanvir arafin,0.112513117
52,theory security,kun sun,0.111658693
52,theory security,giuseppe ateniese,0.107110053
52,theory security,alexander levis,0.106755473
53,computer graphics,yotam gingold,0.104379852
53,computer graphics,jinwei ye,0.099890251
53,computer graphics,monson hayes,0.094704589
53,computer graphics,tamara maddox,0.094046082
53,computer graphics,duoduo liao,0.092741674
53,computer graphics,binqian yin,0.092450033
53,computer graphics,john otten,0.091287093
53,computer graphics,gheorghe tecuci,0.090546176
53,computer graphics,evgenios kornaropoulos,0.088242729
53,computer graphics,grigory yaroslavtsev,0.086066297
54,computer vision pattern recognition,alexander levis,0.175300217
54,computer vision pattern recognition,abolfazl safikhani,0.175228832
54,computer vision pattern recognition,qi wei,0.168703363
54,computer vision pattern recognition,yotam gingold,0.162252026
54,computer vision pattern recognition,vadim sokolov,0.15704855
54,computer vision pattern recognition,ben seiyon lee,0.152779604
54,computer vision pattern recognition,jim chen,0.148863445
54,computer vision pattern recognition,monson hayes,0.141660243
54,computer vision pattern recognition,daniel menasce,0.14139836
54,computer vision pattern recognition,edward huang,0.140741643
55,virtual reality,nicholas rios,0.106035506
55,virtual reality,jonathan l auerbach,0.096678796
55,virtual reality,jim chen,0.079190761
55,virtual reality,brett hunter,0.076894645
55,virtual reality,dimitrios ioannou,0.073576447
55,virtual reality,nathan kathir,0.072595401
55,virtual reality,lucas henneman,0.070755263
55,virtual reality,zhisheng yan,0.064262964
55,virtual reality,kun sun,0.06286878
55,virtual reality,james baldo,0.062651919
56,analyzing healthcare records,̦zlem uzuner,0.161383533
56,analyzing healthcare records,duminda wijesekera,0.140698756
56,analyzing healthcare records,daniel barbara,0.128137692
56,analyzing healthcare records,vasiliki ikonomidou,0.127840431
56,analyzing healthcare records,paul ammann,0.124808488
56,analyzing healthcare records,jim chen,0.123123897
56,analyzing healthcare records,john shortle,0.121946507
56,analyzing healthcare records,carlotta domeniconi,0.118791119
56,analyzing healthcare records,mahdi hashemi,0.117305978
56,analyzing healthcare records,daniel menasce,0.110878743
57,analyzing human movement,jim chen,0.160670506
57,analyzing human movement,abolfazl safikhani,0.147717148
57,analyzing human movement,jan allbeck,0.12568249
57,analyzing human movement,kevin lybarger,0.123900107
57,analyzing human movement,lucas henneman,0.123436735
57,analyzing human movement,vasiliki ikonomidou,0.119395767
57,analyzing human movement,mahdi hashemi,0.11914792
57,analyzing human movement,karla hoffman,0.118201896
57,analyzing human movement,john shortle,0.107590133
57,analyzing human movement,jonathan l auerbach,0.107486057
58,collecting analyzing data wearable devices,janis terpenny,0.258095323
58,collecting analyzing data wearable devices,george hazelrigg,0.198665717
58,collecting analyzing data wearable devices,ray hong,0.191755495
58,collecting analyzing data wearable devices,vivian genaro motti,0.181739737
58,collecting analyzing data wearable devices,aditya johri,0.174125588
58,collecting analyzing data wearable devices,edward huang,0.17088657
58,collecting analyzing data wearable devices,niloofar ramezani,0.165242883
58,collecting analyzing data wearable devices,robert pettit,0.165208412
58,collecting analyzing data wearable devices,parth pathak,0.160425208
58,collecting analyzing data wearable devices,alexander levis,0.160209321
59,diagnostic medicine,̦zlem uzuner,0.133498542
59,diagnostic medicine,vasiliki ikonomidou,0.117378722
59,diagnostic medicine,daniel barbara,0.108859283
59,diagnostic medicine,jim chen,0.104112595
59,diagnostic medicine,siddhartha sikdar,0.102208562
59,diagnostic medicine,kevin lybarger,0.100725863
59,diagnostic medicine,aditya johri,0.097670179
59,diagnostic medicine,monson hayes,0.097652195
59,diagnostic medicine,carlotta domeniconi,0.095141275
59,diagnostic medicine,xuesu xiao,0.090300101
60,modeling health outcomes statistical analysis including longitudinal,abolfazl safikhani,0.239828757
60,modeling health outcomes statistical analysis including longitudinal,alexander levis,0.236879969
60,modeling health outcomes statistical analysis including longitudinal,tianshu feng,0.233501154
60,modeling health outcomes statistical analysis including longitudinal,jim chen,0.230327235
60,modeling health outcomes statistical analysis including longitudinal,vadim sokolov,0.220275579
60,modeling health outcomes statistical analysis including longitudinal,john shortle,0.21053706
60,modeling health outcomes statistical analysis including longitudinal,lily wang,0.207480913
60,modeling health outcomes statistical analysis including longitudinal,qi wei,0.206702211
60,modeling health outcomes statistical analysis including longitudinal,yotam gingold,0.204345087
60,modeling health outcomes statistical analysis including longitudinal,edward huang,0.201512014
61,time series,jessica lin,0.372878577
61,time series,elise miller hooks,0.252945135
61,time series,syed abbas zaidi,0.224719116
61,time series,rajesh ganesan,0.214770993
61,time series,cameron nowzari,0.2089377
61,time series,fei li,0.187247567
61,time series,abolfazl safikhani,0.185965041
61,time series,mohan venigalla,0.185557724
61,time series,daniel barbara,0.178319174
61,time series,leonard adelman,0.174655518
62,survival models,abolfazl safikhani,0.252070546
62,survival models,ben seiyon lee,0.246608171
62,survival models,alexander levis,0.233512946
62,survival models,vadim sokolov,0.215171695
62,survival models,qi wei,0.195541877
62,survival models,edward huang,0.190363737
62,survival models,daniel menasce,0.18897616
62,survival models,alexander brodsky,0.182995824
62,survival models,kim blackwell,0.181770641
62,survival models,syed abbas zaidi,0.18014204
63,modeling nanoparticles,abolfazl safikhani,0.323252197
63,modeling nanoparticles,ben seiyon lee,0.316773546
63,modeling nanoparticles,alexander levis,0.269718561
63,modeling nanoparticles,vadim sokolov,0.252148577
63,modeling nanoparticles,qi wei,0.24819836
63,modeling nanoparticles,tianshu feng,0.244451688
63,modeling nanoparticles,edward huang,0.22360345
63,modeling nanoparticles,lily wang,0.220339982
63,modeling nanoparticles,kim blackwell,0.21745825
63,modeling nanoparticles,ran ji,0.209640583
64,bio inspired nanoarchitectures control cell behavior,duminda wijesekera,0.221957627
64,bio inspired nanoarchitectures control cell behavior,jim chen,0.193790673
64,bio inspired nanoarchitectures control cell behavior,parth pathak,0.181270745
64,bio inspired nanoarchitectures control cell behavior,cameron nowzari,0.167722531
64,bio inspired nanoarchitectures control cell behavior,daniel barbara,0.164718073
64,bio inspired nanoarchitectures control cell behavior,mingkui wei,0.164573644
64,bio inspired nanoarchitectures control cell behavior,alexander levis,0.164042431
64,bio inspired nanoarchitectures control cell behavior,karla hoffman,0.163654457
64,bio inspired nanoarchitectures control cell behavior,ray hong,0.163600958
64,bio inspired nanoarchitectures control cell behavior,michael hieb,0.160178769
65,biomaterials regenerative medicine,̦zlem uzuner,0.104677816
65,biomaterials regenerative medicine,grigory yaroslavtsev,0.079056942
