,Name,similar_categories,category_score
13,antonios anastasopoulos,linguistics,0.426000818
13,antonios anastasopoulos,computational linguistics,0.389751146
13,antonios anastasopoulos,recycled materials geo environmental modeling,0.193288677
13,antonios anastasopoulos,network modeling,0.187801381
13,antonios anastasopoulos,computer simulation modeling,0.179978684
13,antonios anastasopoulos,modeling,0.176086689
13,antonios anastasopoulos,modeling performance,0.173910384
13,antonios anastasopoulos,musculoskeletal modeling,0.173667321
14,ariela sofer,model based systems engineering,0.256931721
14,ariela sofer,analytic hierarchy process optimization,0.218619391
14,ariela sofer,bayesian statistics,0.21785297
14,ariela sofer,bio metrics forensic science,0.212992868
14,ariela sofer,systems modeling  analysis,0.207354977
14,ariela sofer,functional electrical stimulation,0.19468843
14,ariela sofer,evidence based reasoning,0.194137206
14,ariela sofer,ubiquitous computing,0.192523877
14,ariela sofer,gpu computing,0.185442068
15,arthur art pyster,subsystems,0.320970369
15,arthur art pyster,neural networks,0.188768335
15,arthur art pyster,neuroscience,0.183449846
15,arthur art pyster,neuroinformatics computational neuroanatomy,0.149786172
15,arthur art pyster,computational neuroanatomy,0.149786172
15,arthur art pyster,wireless networks,0.147087101
15,arthur art pyster,cognitive networks,0.143909899
15,arthur art pyster,wireless communications  networks,0.139817281
15,arthur art pyster,tribology,0.139771312
15,arthur art pyster,network science,0.138984247
16,̦zlem uzuner,subsystems,0.248336055
16,̦zlem uzuner,analytic hierarchy process optimization,0.213559216
16,̦zlem uzuner,bio metrics forensic science,0.199055779
16,̦zlem uzuner,intelligence analysis,0.192814857
16,̦zlem uzuner,next g communications networks,0.189159226
16,̦zlem uzuner,neuroscience,0.185718879
16,̦zlem uzuner,intelligence strategic analysis,0.183441061
16,̦zlem uzuner,wireless communications  networks,0.180049847
16,̦zlem uzuner,network forensics,0.17243565
17,ben seiyon lee,modeling,0.316773546
17,ben seiyon lee,geometric modeling,0.30906958
17,ben seiyon lee,musculoskeletal modeling,0.308013132
17,ben seiyon lee,probabilistic modeling,0.299490007
17,ben seiyon lee,network modeling,0.287372267
17,ben seiyon lee,multi formalism modeling,0.273597278
17,ben seiyon lee,recycled materials geo environmental modeling,0.270442875
18,bernard schmidt,ai nlp programming,0.253949396
18,bernard schmidt,integer programming optimization,0.219537517
18,bernard schmidt,neuroinformatics computational neuroanatomy,0.181071492
18,bernard schmidt,computational neuroanatomy,0.181071492
18,bernard schmidt,computational neuroscience,0.167639627
18,bernard schmidt,neural interfaces,0.1600461
18,bernard schmidt,gpu computing,0.152630091
18,bernard schmidt,ubiquitous computing,0.145180176
19,bernd peter paris,wireless networks,0.273297955
19,bernd peter paris,wireless communications  networks,0.269282461
19,bernd peter paris,wireless,0.250183054
19,bernd peter paris,wireless networking,0.240655045
19,bernd peter paris,wireless optical communications,0.238823789
19,bernd peter paris,wireless communications,0.23776922
19,bernd peter paris,network forensics,0.21267646
19,bernd peter paris,google,0.211517891
19,bernd peter paris,ai ml wireless,0.209521532
19,bernd peter paris,subsystems,0.205951631
20,bijan jabbari,internet,0.478024353
20,bijan jabbari,internet measurements,0.453604676
20,bijan jabbari,internet things,0.332099539
20,bijan jabbari,internet of things,0.332099539
20,bijan jabbari,semantic web,0.224317201
20,bijan jabbari,web applications,0.209944301
20,bijan jabbari,model based systems engineering,0.1897395
20,bijan jabbari,network web security,0.189599291
20,bijan jabbari,web intelligence,0.187593085
20,bijan jabbari,world wide web,0.178152581
21,binqian yin,assistive technology,0.211829636
21,binqian yin,neural interfaces,0.184900065
21,binqian yin,bioengineering,0.184900065
21,binqian yin,information technology,0.163499643
21,binqian yin,hardware,0.160128154
21,binqian yin,software resilience,0.155347127
21,binqian yin,ai nlp programming,0.148675258
21,binqian yin,computer games technology,0.144841365
22,bo han,internet,0.264072038
22,bo han,internet measurements,0.251858184
22,bo han,internet things,0.192701513
22,bo han,internet of things,0.192701513
22,bo han,wireless communications  networks,0.162541804
22,bo han,wireless networks,0.151854995
22,bo han,wireless communications,0.150771176
22,bo han,wireless optical communications,0.149171604
22,bo han,bio metrics forensic science,0.147030523
22,bo han,network web security,0.146164007
23,bo liu,computing education research,0.189768029
23,bo liu,urban computing,0.18924453
23,bo liu,computer science education,0.188103472
23,bo liu,engineering education research,0.169915064
23,bo liu,engineering education,0.167183464
23,bo liu,integer programming optimization,0.152127766
23,bo liu,distance education,0.147931584
23,bo liu,cs education,0.146183794
23,bo liu,curricular development enhanced educational opportunities,0.13560626
24,brett hunter,devices,0.156173762
24,brett hunter,devices,0.156173762
24,brett hunter,collecting analyzing data wearable devices,0.120526106
24,brett hunter,ultrasound imaging devices,0.116325292
24,brett hunter,safety security,0.110431526
24,brett hunter,ar vr systems security,0.104764544
24,brett hunter,auction design testing,0.104120067
24,brett hunter,spatio temporal data,0.10254356
25,brian hrolenok,subsystems,0.222222222
25,brian hrolenok,computer networks architectures,0.181848242
25,brian hrolenok,neuroinformatics computational neuroanatomy,0.166666667
25,brian hrolenok,computational neuroanatomy,0.166666667
25,brian hrolenok,network architecture,0.166019415
25,brian hrolenok,neural interfaces,0.15713484
25,brian hrolenok,computational neuroscience,0.15430335
25,brian hrolenok,computer architecture,0.142133811
25,brian hrolenok,neural networks,0.140028008
25,brian hrolenok,neuroscience,0.136082763
26,brian mark,internet,0.388112083
26,brian mark,internet measurements,0.382954836
26,brian mark,internet things,0.260372439
26,brian mark,internet of things,0.260372439
26,brian mark,web applications,0.216886686
26,brian mark,model based systems engineering,0.201175627
26,brian mark,semantic web,0.192324174
26,brian mark,network web security,0.185273702
26,brian mark,analytic hierarchy process optimization,0.185168239
26,brian mark,evidence based reasoning,0.183733918
27,brittany johnson matthews,creative tools,0.29950517
27,brittany johnson matthews,analytic hierarchy process optimization,0.196878101
27,brittany johnson matthews,new clinical trial methods,0.187025536
27,brittany johnson matthews,hardware,0.185472524
27,brittany johnson matthews,bioengineering,0.177463522
27,brittany johnson matthews,diagnostic therapeutic applications ,0.176193967
27,brittany johnson matthews,information technology,0.174105247
27,brittany johnson matthews,substance use disorders,0.171352408
27,brittany johnson matthews,google,0.170367392
27,brittany johnson matthews,cryptographic hardware,0.169119164
28,burak tanyu,analytic hierarchy process optimization,0.274049359
28,burak tanyu,functional electrical stimulation,0.247302871
28,burak tanyu,software testing,0.244459823
28,burak tanyu,evidence based reasoning,0.227778986
28,burak tanyu,substance use disorders,0.226014915
28,burak tanyu,hydrology,0.222928113
28,burak tanyu,digital forensics analysis,0.222141934
28,burak tanyu,new clinical trial methods,0.221488077
28,burak tanyu,electrical based transport,0.220540067
28,burak tanyu,ultrasound imaging devices,0.218246718
29,cameron nowzari,internet measurements,0.278333306
29,cameron nowzari,internet,0.275744203
29,cameron nowzari,time series modeling,0.250762536
29,cameron nowzari,internet things,0.219206665
29,cameron nowzari,internet of things,0.219206665
29,cameron nowzari,real time embedded systems,0.21323139
29,cameron nowzari,time series,0.2089377
29,cameron nowzari,distributed control,0.202588357
29,cameron nowzari,real time,0.200320506
29,cameron nowzari,climate weather modeling remote sensing,0.193208007
30,carlotta domeniconi,bayesian statistics,0.255918973
30,carlotta domeniconi,model based systems engineering,0.22881619
30,carlotta domeniconi,statistics,0.224004368
30,carlotta domeniconi,functional electrical stimulation,0.219244657
30,carlotta domeniconi,spatial statistics,0.219066304
30,carlotta domeniconi,analytic hierarchy process optimization,0.217806197
30,carlotta domeniconi,computational statistics,0.214616167
30,carlotta domeniconi,distance computer based learning,0.212772005
30,carlotta domeniconi,systems modeling  analysis,0.203788035
31,caroline hoemann,bone,0.214166266
31,caroline hoemann,analytic hierarchy process optimization,0.139766292
31,caroline hoemann,hydraulic land surface modeling,0.139663012
31,caroline hoemann,membrane biology,0.136586238
31,caroline hoemann,articular cartilage,0.136480483
31,caroline hoemann,model based systems engineering,0.133669327
31,caroline hoemann,systems modeling  analysis,0.133145884
31,caroline hoemann,land surface modeling,0.132461465
31,caroline hoemann,air pollution modeling policy analysis,0.122389772
31,caroline hoemann,digital forensics analysis,0.119811115
32,celso moller ferreira,recycled materials geo environmental modeling,0.164982138
32,celso moller ferreira,hydraulic land surface modeling,0.157998672
32,celso moller ferreira,curricular development enhanced educational opportunities,0.151868173
32,celso moller ferreira,climate weather modeling remote sensing,0.148829472
32,celso moller ferreira,model based systems engineering,0.146125295
32,celso moller ferreira,network modeling,0.145551029
32,celso moller ferreira,hydrology,0.144006077
32,celso moller ferreira,analytic hierarchy process optimization,0.143938988
32,celso moller ferreira,land surface modeling,0.143695135
33,charles white,memory,0.143019388
33,charles white,cyber physical,0.1161895
33,charles white,computational experimental neuroplasticity memory,0.115044748
33,charles white,computer vision,0.11405319
33,charles white,memory systems,0.102486449
33,charles white,procurement economic models,0.099176941
33,charles white,computer vision pattern recognition,0.095320625
33,charles white,cyber physical systems,0.092051015
33,charles white,cyber physical system,0.092051015
33,charles white,physical layer security,0.090971765
34,christine alonzo yee,hardware support security,0.112587994
34,christine alonzo yee,decision support,0.104046104
34,christine alonzo yee,decision support systems,0.099073966
34,christine alonzo yee,acquisition decision support,0.093260303
34,christine alonzo yee,engineering education,0.070428659
34,christine alonzo yee,neural engineering,0.068980283
34,christine alonzo yee,subsystems,0.068518871
34,christine alonzo yee,power engineering,0.068518871
34,christine alonzo yee,network web security,0.066136756
35,christopher a carr,computing education research,0.136557748
35,christopher a carr,decision support systems,0.128598276
35,christopher a carr,hardware support security,0.120888202
35,christopher a carr,decision support,0.120752489
35,christopher a carr,distance education,0.111242438
35,christopher a carr,engineering education,0.11028033
35,christopher a carr,acquisition decision support,0.108234842
35,christopher a carr,computer science education,0.108069619
35,christopher a carr,basal ganglia,0.106202841
36,chun hung chen,model based systems engineering,0.174011508
36,chun hung chen,systems modeling  analysis,0.16729795
36,chun hung chen,analytic hierarchy process optimization,0.162403301
36,chun hung chen,google,0.158718707
36,chun hung chen,data mining big data analysis,0.155618708
36,chun hung chen,system level optimization applied ,0.152688607
36,chun hung chen,web applications,0.151320657
36,chun hung chen,internet measurements,0.14728242
36,chun hung chen,ultrasound imaging devices,0.146401725
36,chun hung chen,air pollution modeling policy analysis,0.144287198
37,clifton sutton,bayesian statistics,0.167037911
37,clifton sutton,high dimensional statistics,0.144513089
37,clifton sutton,systems modeling  analysis,0.141302383
37,clifton sutton,digital forensics analysis,0.140080866
37,clifton sutton,air pollution modeling policy analysis,0.125864815
37,clifton sutton,high dimensional data,0.123895737
37,clifton sutton,modeling health outcomes statistical analysis including longitudinal,0.122326497
37,clifton sutton,google,0.122232631
37,clifton sutton,high dimensional search,0.121322685
38,colin reagle,analytic hierarchy process optimization,0.175424135
38,colin reagle,large scale computing,0.164890212
38,colin reagle,high temperature tribology,0.161014295
38,colin reagle,bio metrics forensic science,0.154782903
38,colin reagle,high dimensional statistics,0.152183906
38,colin reagle,high dimensional data,0.150894393
38,colin reagle,nano scale surface engineering,0.144666171
38,colin reagle,high dimensional search,0.144589807
38,colin reagle,high temperature materials,0.14446462
38,colin reagle,google,0.143757496
39,colleen berg,bioengineering,0.189831599
39,colleen berg,gpu computing,0.150862857
39,colleen berg,classification,0.147042924
39,colleen berg,ubiquitous computing,0.143499201
39,colleen berg,neural interfaces,0.142373699
39,colleen berg,semantic computing,0.126554399
39,colleen berg,assistive technology,0.124273953
40,craig lorie,computational neuroscience,0.203660057
40,craig lorie,neuroinformatics computational neuroanatomy,0.199980003
40,craig lorie,computational neuroanatomy,0.199980003
40,craig lorie,computing education research,0.186186168
40,craig lorie,neural interfaces,0.183829381
40,craig lorie,subsystems,0.179982003
40,craig lorie,gpu computing,0.179806496
40,craig lorie,ubiquitous computing,0.171030093
41,daigo shishika,serious games,0.18259943
41,daigo shishika,bio metrics forensic science,0.182509485
41,daigo shishika,computer games technology,0.180840841
41,daigo shishika,computer game technology,0.17559796
41,daigo shishika,algorithmic game theory,0.171954395
41,daigo shishika,game theory,0.169937586
41,daigo shishika,robotics,0.155631138
41,daigo shishika,results clinical studies,0.150893366
41,daigo shishika,model based systems engineering,0.14916756
41,daigo shishika,electrical based transport,0.140333801
42,damon mccoy,cognitive systems,0
42,damon mccoy,intelligent agents,0
42,damon mccoy,knowledge representation reasoning,0
42,damon mccoy,machine learning,0
42,damon mccoy,natural language processing,0
42,damon mccoy,robotics,0
42,damon mccoy,unmanned autonomous vehicles,0
42,damon mccoy,computer architecture,0
42,damon mccoy,computing components,0
42,damon mccoy,devices,0
43,dana richards,structural stress,0.28844377
43,dana richards,structural health monitoring inspection,0.280307982
43,dana richards,dependent complex structured data ,0.220329621
43,dana richards,systems modeling  analysis,0.161217895
43,dana richards,coastal building resilience,0.160213284
43,dana richards,system level optimization applied ,0.152554622
43,dana richards,system analysis simulation,0.151885886
43,dana richards,building material properties structures,0.150535295
43,dana richards,land data assimilation systems,0.140597275
44,daniel barbara,google,0.274248177
44,daniel barbara,analytic hierarchy process optimization,0.268986416
44,daniel barbara,subsystems,0.261530366
44,daniel barbara,bio metrics forensic science,0.259640723
44,daniel barbara,bayesian statistics,0.254009815
44,daniel barbara,next g communications networks,0.240236931
44,daniel barbara,network forensics,0.237918791
44,daniel barbara,model based systems engineering,0.237457453
44,daniel barbara,evidence based reasoning,0.236359695
44,daniel barbara,computational statistics,0.23467199
45,daniel garrison,ai nlp programming,0.116731536
45,daniel garrison,community informatics,0.114980512
45,daniel garrison,networking,0.103695169
45,daniel garrison,bioengineering,0.103695169
45,daniel garrison,integer programming optimization,0.101600102
45,daniel garrison,animal group behavior,0.099627096
45,daniel garrison,land data assimilation systems,0.094595448
45,daniel garrison,clustering,0.089802651
45,daniel garrison,online communities,0.088431538
45,daniel garrison,social computing,0.08776912
46,daniel menasce,subsystems,0.352668938
46,daniel menasce,network modeling,0.269934094
46,daniel menasce,model based systems engineering,0.254365381
46,daniel menasce,procurement economic models,0.238574985
46,daniel menasce,bio metrics forensic science,0.234984413
46,daniel menasce,neuroscience,0.224553053
46,daniel menasce,network forensics,0.222651079
46,daniel menasce,neural networks,0.222154033
46,daniel menasce,recycled materials geo environmental modeling,0.222016038
46,daniel menasce,analytic hierarchy process optimization,0.221982449
47,david s rosenblum,bioengineering,0.149255579
47,david s rosenblum,neural interfaces,0.124379649
47,david s rosenblum,economics,0.109000863
47,david s rosenblum,assistive technology,0.108567458
47,david s rosenblum,gpu computing,0.105436716
47,david s rosenblum,information technology,0.100556698
47,david s rosenblum,leadership,0.100534873
48,deborah goodings,tribology,0.138493934
48,deborah goodings,computing education research,0.13839146
48,deborah goodings,bioengineering,0.13839146
48,deborah goodings,engineering education,0.131133125
48,deborah goodings,transportation engineering,0.126319882
48,deborah goodings,nanotechnology,0.125272477
48,deborah goodings,engineering education research,0.120268847
48,deborah goodings,dna nanotechnology,0.119939265
48,deborah goodings,gpu computing,0.10998238
49,diana wang,intelligence c4i  cyber,0.189193508
49,diana wang,artifiicial intelligence,0.189193508
49,diana wang,databases,0.163846384
49,diana wang,web intelligence,0.158396278
49,diana wang,ai nlp programming,0.136914794
49,diana wang,intelligence analysis,0.134056132
49,diana wang,computing education research,0.134012068
50,dimitrios ioannou,electronics,0.257043619
50,dimitrios ioannou,ultrasound imaging devices,0.186711107
50,dimitrios ioannou,devices,0.174496364
50,dimitrios ioannou,devices,0.174496364
50,dimitrios ioannou,digital forensics,0.172957964
50,dimitrios ioannou,memory,0.170217611
50,dimitrios ioannou,safety security,0.168138326
50,dimitrios ioannou,memory systems,0.166331534
50,dimitrios ioannou,analytic hierarchy process optimization,0.16601875
50,dimitrios ioannou,thermal based transport,0.165489344
51,doaa bondok,subsystems,0.183788625
51,doaa bondok,analytic hierarchy process optimization,0.161177506
51,doaa bondok,network modeling,0.159873086
51,doaa bondok,model based systems engineering,0.155031228
51,doaa bondok,ultrasound imaging devices,0.141170938
51,doaa bondok,systems modeling  analysis,0.13973232
51,doaa bondok,geometric modeling,0.139120607
51,doaa bondok,network forensics,0.138804024
51,doaa bondok,bio metrics forensic science,0.135910131
51,doaa bondok,functional electrical stimulation,0.135079138
52,duminda wijesekera,subsystems,0.323194837
52,duminda wijesekera,bio metrics forensic science,0.28007512
52,duminda wijesekera,analytic hierarchy process optimization,0.268187061
52,duminda wijesekera,evidence based reasoning,0.259310643
52,duminda wijesekera,wireless communications  networks,0.244422949
52,duminda wijesekera,network forensics,0.242737708
52,duminda wijesekera,functional electrical stimulation,0.237130495
52,duminda wijesekera,internet,0.23298967
52,duminda wijesekera,internet measurements,0.230748327
52,duminda wijesekera,wireless networks,0.229703697
53,duoduo liao,neural interfaces,0.158985727
53,duoduo liao,leadership,0.154896388
53,duoduo liao,ai nlp programming,0.108662251
53,duoduo liao,computer architecture,0.095872
53,duoduo liao,computer graphics,0.092741674
53,duoduo liao,architecture,0.092362361
53,duoduo liao,photoacoustic imaging microscopy,0.092362361
53,duoduo liao,graphics,0.091995113
54,ebrima ceesay,transportation,0.144303409
54,ebrima ceesay,transportation engineering,0.144148208
54,ebrima ceesay,energy,0.141390196
54,ebrima ceesay,ai ml wireless,0.140904409
54,ebrima ceesay,computer networks architectures,0.139539601
54,ebrima ceesay,next g communications networks,0.138441066
54,ebrima ceesay,ai nlp programming,0.137350476
54,ebrima ceesay,transportation systems,0.135043035
54,ebrima ceesay,two dimensional materials,0.133317557
54,ebrima ceesay,software maintenance,0.130915242
55,edward huang,subsystems,0.299124519
55,edward huang,model based systems engineering,0.279131368
55,edward huang,network modeling,0.267730898
55,edward huang,bio metrics forensic science,0.2441405
55,edward huang,geometric modeling,0.241711241
55,edward huang,procurement economic models,0.240903557
55,edward huang,systems modeling  analysis,0.235619222
55,edward huang,recycled materials geo environmental modeling,0.230446365
55,edward huang,modeling,0.22360345
56,elise miller hooks,time series modeling,0.276261318
56,elise miller hooks,time series,0.252945135
56,elise miller hooks,real time embedded systems,0.239036339
56,elise miller hooks,real time,0.235712861
56,elise miller hooks,bio metrics forensic science,0.229235492
56,elise miller hooks,internet,0.229001675
56,elise miller hooks,subsystems,0.222526279
56,elise miller hooks,internet measurements,0.214860139
56,elise miller hooks,internet things,0.188489073
56,elise miller hooks,internet of things,0.188489073
57,elizabeth white,computing education research,0.175164618
57,elizabeth white,engineering education,0.156692149
57,elizabeth white,engineering education research,0.152226494
57,elizabeth white,computer science education,0.142176901
57,elizabeth white,neural interfaces,0.141479115
57,elizabeth white,assistive technology,0.132314031
57,elizabeth white,distance education,0.12478355
57,elizabeth white,information technology,0.122551106
57,elizabeth white,bioengineering,0.121267813
58,emanuela marasco,subsystems,0.257017301
58,emanuela marasco,bio metrics forensic science,0.191025865
58,emanuela marasco,neuroscience,0.177991137
58,emanuela marasco,analytic hierarchy process optimization,0.177869799
58,emanuela marasco,network forensics,0.170769309
58,emanuela marasco,ultrasound imaging devices,0.166658295
58,emanuela marasco,computational neuroscience,0.163202532
58,emanuela marasco,neural networks,0.162235935
58,emanuela marasco,ultrasound,0.160042595
58,emanuela marasco,neuroinformatics computational neuroanatomy,0.156094277
59,eric osterweil,bio metrics forensic science,0.194441364
59,eric osterweil,internet,0.1913986
59,eric osterweil,subsystems,0.182595297
59,eric osterweil,internet measurements,0.182226431
59,eric osterweil,internet things,0.178770973
59,eric osterweil,internet of things,0.178770973
59,eric osterweil,network web security,0.164265197
59,eric osterweil,web applications,0.160896126
59,eric osterweil,evidence based reasoning,0.159904092
59,eric osterweil,google,0.153365615
60,eugene kim,evidence based reasoning,0.132160417
60,eugene kim,distance computer based learning,0.121514877
60,eugene kim,high dimensional data,0.105096023
60,eugene kim,electrical based transport,0.104122249
60,eugene kim,high temperature tribology,0.103235958
60,eugene kim,thermal based transport,0.098625764
60,eugene kim,bio based transport,0.096977905
60,eugene kim,physical layer security,0.094100807
60,eugene kim,land surface modeling,0.092409611
60,eugene kim,ultrasound,0.092096494
61,evgenios kornaropoulos,bayesian statistics,0.223759064
61,evgenios kornaropoulos,statistics,0.204073092
61,evgenios kornaropoulos,computational statistics,0.197469872
61,evgenios kornaropoulos,spatial statistics,0.185480657
61,evgenios kornaropoulos,google,0.168471987
61,evgenios kornaropoulos,model based systems engineering,0.165569185
61,evgenios kornaropoulos,systems modeling  analysis,0.156422777
61,evgenios kornaropoulos,distance computer based learning,0.150519238
61,evgenios kornaropoulos,operating systems,0.14930977
62,f berlin,display interaction,0.122825921
62,f berlin,entrepreneurship innovation,0.106904497
62,f berlin,high dimensional statistics,0.105644282
62,f berlin,high temperature materials,0.102792785
62,f berlin,high dimensional data,0.09953414
62,f berlin,high dimensional search,0.097982725
62,f berlin,bio metrics forensic science,0.092597317
62,f berlin,intelligence c4i  cyber,0.086795634
62,f berlin,artifiicial intelligence,0.086795634
62,f berlin,general,0.085592099
63,fei li,time series modeling,0.219996644
63,fei li,time series,0.187247567
63,fei li,real time embedded systems,0.174527896
63,fei li,real time,0.17216089
63,fei li,internet,0.167438206
63,fei li,internet measurements,0.161374392
63,fei li,model based systems engineering,0.150433826
63,fei li,procurement economic models,0.150063476
63,fei li,climate weather modeling remote sensing,0.148775002
63,fei li,spatio temporal models,0.142048188
64,filipe veiga,neural interfaces,0.170782513
64,filipe veiga,subsystems,0.138013112
64,filipe veiga,neuroinformatics computational neuroanatomy,0.138013112
64,filipe veiga,computational neuroanatomy,0.138013112
64,filipe veiga,computational neuroscience,0.127775313
64,filipe veiga,assistive technology,0.127775313
64,filipe veiga,ai nlp programming,0.125552964
64,filipe veiga,advanced manufacturing,0.118146352
64,filipe veiga,hardware,0.112687234
64,filipe veiga,ai ml wireless,0.107334698
65,foteini baldimtsi,subsystems,0.173767863
65,foteini baldimtsi,systems network security,0.172412191
65,foteini baldimtsi,network systems security,0.172412191
65,foteini baldimtsi,bio metrics forensic science,0.167665872
65,foteini baldimtsi,network web security,0.165603558
65,foteini baldimtsi,network architecture,0.163507185
65,foteini baldimtsi,network forensics,0.155078179
65,foteini baldimtsi,evidence based reasoning,0.154020895
65,foteini baldimtsi,next g communications networks,0.152056508
65,foteini baldimtsi,time series modeling,0.151771931
66,gene shuman,high dimensional data,0.156270771
66,gene shuman,high dimensional search,0.144841584
66,gene shuman,high dimensional statistics,0.142387716
66,gene shuman,high temperature tribology,0.137224146
66,gene shuman,high temperature materials,0.131840695
66,gene shuman,cs education,0.12489157
66,gene shuman,advanced manufacturing,0.119289724
