,Doc_ID,Name,descriptions,titles,date,source,citations,Location,loc
15959,15959,caroline hoemann,specialties tissue engineering biomaterials articular cartilage histology proteomics mesenchymal stem cells chitosan preclinical models innate immunityspecialties tissue engineering biomaterials articular cartilage histology proteomics mesenchymal stem cells chitosan preclinical models innate immunity featuredfeatured documentdocument bioeng ar final high spreads pdfbioeng ar final high spreads pdf annual report department bioengineering george mason university annual report department bioengineering george mason university,,,,,LinkedIn About,LinkedIn About caroline hoemann
15960,15960,charles white,engineering professor also experienced r engineering director experience consumer goods industrial materials defense r strong research professional skilled innovation management consumer products modeling simulation product innovation technical focus areas mechanics materials manufacturing processes,,,,,LinkedIn About,LinkedIn About charles white
15962,15962,chun hung chen,chun hung chen received ph degree harvard university 1994 currently professor george mason university dr chen assistant professor university pennsylvania joining gmu also professor national taiwan university electrical eng industrial eng 2011 14 dr chen best known optimal computing budget allocation ocba method initially developed ocba aims maximizes overall efficiency entire simulation optimization process recognized state art simulation optimization field dr chen received several awards best paper award ieee international conference automation science engineering ieee international conference communications ieee international conference robotics automation k tocher medal best paper journal simulation national thousand talents award china eliahu jury award harvard university dr chen author two books including best seller stochastic simulation optimization optimal computing budget allocation dr chen served editorial boards ieee transactions automatic control ieee transactions automation science engineering iie transactions asia pacific journal operational research journal simulation modeling practice theory international journal simulation process modeling journal traffic transportation engineering ieee fellow chun hung chen received ph degree harvard university 1994 currently professor george mason university dr chen assistant professor university pennsylvania joining gmu also professor national taiwan university electrical eng industrial eng 2011 14 dr chen best known optimal computing budget allocation ocba method initially developed ocba aims maximizes overall efficiency entire simulation optimization process recognized state art simulation optimization field dr chen received several awards best paper award ieee international conference automation science engineering ieee international conference communications ieee international conference robotics automation k tocher medal best paper journal simulation national thousand talents award china eliahu jury award harvard university dr chen author two books including best seller stochastic simulation optimization optimal computing budget allocation dr chen served editorial boards ieee transactions automatic control ieee transactions automation science engineering iie transactions asia pacific journal operational research journal simulation modeling practice theory international journal simulation process modeling journal traffic transportation engineering ieee fellow,,,,,LinkedIn About,LinkedIn About chun hung chen
15965,15965,craig lorie,10 years experience teaching undergraduate courses electrical computer engineering courses teach focus computer engineering computer programming teach first year fourth year level courses courses include digital circuit design computer organization embedded systems knowledgeable hardware software computing systems first love always computer programming computing systems 10 years experience teaching undergraduate courses electrical computer engineering courses teach focus computer engineering computer programming teach first year fourth year level courses courses include digital circuit design computer organization embedded systems knowledgeable hardware software computing systems first love always computer programming computing systems,,,,,LinkedIn About,LinkedIn About craig lorie
15966,15966,daigo shishika,currently assistant professor george mason university prior joining gmu post doctoral researcher university pennsylvania working prof vijay kumar research interests autonomous systems particular focus multi agent systems bio inspired robotics please find information website http shishika com,,,,,LinkedIn About,LinkedIn About daigo shishika
15970,15970,daniel menasce,expert witness software patent infringementcomputer system performance evaluationautonomic computingcapacity planningcloud computingscalability analysisanalytic models computer systemse commercesoftware performance engineeringexpert witness software patent infringementcomputer system performance evaluationautonomic computingcapacity planningcloud computingscalability analysisanalytic models computer systemse commercesoftware performance engineering,,,,,LinkedIn About,LinkedIn About daniel menasce
15976,15976,ebrima ceesay,one personal philosophies recognize everyone humanity uniqueness work together build better secure world one means end spent nearly two decades life working cybersecurity expert influencer innovative problem solver believe leveraging tech driving force grow personal evolution business profitability managed millions dollars cybersecurity portfolios delivering highest level strategy implementation support resiliency security data integrity designed implemented national cybersecurity initiatives us department homeland security department defense office director national intelligence united states air force national reconnaissance office private sector protect cyber infrastructure united states allies citizens expertisebig data digital forensics enterprise architecture learning algorithms intrusion detection risk assessment machine learning computer forensics artificial intelligence ai system architectureinformation security mastery grc technologies risk methodologies enterprise architecture soa learning algorithms disaster recovery developed first enterprise post quantum cyber security strategies capital one leidos steered establishment mission governance use information asset oversaw technical implementation executive order 12333 section 2 3 gathering information agencies within ic transformation strategy capital one serve board advocate national institute standards technology nist national cybersecurity center excellence nccoe anti phishing working group apwg mit uc berkeley boards additionally principal investigator noblis multiple data science cybersecurity r initiatives oversaw noblis cyber center excellence coe cyber r portfolio thought leadership eager remain forefront conversation author panelist dynamic speaker cybersecurity advice solutions presented computing communication workshop conference ieee international iot electronics mechatronics conference conference information sciences systems please contact ebrima katiblab com interested exploring help enterprise advance forefront cybersecurity excellence one personal philosophies recognize everyone humanity uniqueness work together build better secure world one means end spent nearly two decades life working cybersecurity expert influencer innovative problem solver believe leveraging tech driving force grow personal evolution business profitability managed millions dollars cybersecurity portfolios delivering highest level strategy implementation support resiliency security data integrity designed implemented national cybersecurity initiatives us department homeland security department defense office director national intelligence united states air force national reconnaissance office private sector protect cyber infrastructure united states allies citizens expertisebig data digital forensics enterprise architecture learning algorithms intrusion detection risk assessment machine learning computer forensics artificial intelligence ai system architectureinformation security mastery grc technologies risk methodologies enterprise architecture soa learning algorithms disaster recovery developed first enterprise post quantum cyber security strategies capital one leidos steered establishment mission governance use information asset oversaw technical implementation executive order 12333 section 2 3 gathering information agencies within ic transformation strategy capital one serve board advocate national institute standards technology nist national cybersecurity center excellence nccoe anti phishing working group apwg mit uc berkeley boards additionally principal investigator noblis multiple data science cybersecurity r initiatives oversaw noblis cyber center excellence coe cyber r portfolio thought leadership eager remain forefront conversation author panelist dynamic speaker cybersecurity advice solutions presented computing communication workshop conference ieee international iot electronics mechatronics conference conference information sciences systems please contact ebrima katiblab com interested exploring help enterprise advance forefront cybersecurity excellence,,,,,LinkedIn About,LinkedIn About ebrima ceesay
15980,15980,emanuela marasco,assistant professor department information science technology george mason university member center secure information systems instructor ait courses cyber security fundamentals applied machine learning applied biometric technologies february 2015 july 2017 adjunct professor post doctoral researcher pattern recognition biometrics university north carolina charlotte unc c department computer science member video image analysis lab vialab unc c february 2011 january 2015 post doctoral associate researcher lane department computer science electrical engineering west virginia university center identification technology citer nsf february 2011 december 2012 member probe lab supervised dr arun ross received five year degree bachelor sc computer engineering march 2006 phd computer automation engineering december 2010 university naples federico ii italy supervised prof carlo sansone research involves fingerprint liveness detection multi biometrics age gender estimation fingerprints interoperability enhancement fingerprint sensors adaptive signal processing strategies enhancing dna profiles degraded dna samples fingerprint de identification privacy enhancement pi co pi research projects funded nsf dhs invited talks computational vision geometry lab stanford university usa eecs department university california berkeley usai assistant professor department information science technology george mason university member center secure information systems instructor ait courses cyber security fundamentals applied machine learning applied biometric technologies february 2015 july 2017 adjunct professor post doctoral researcher pattern recognition biometrics university north carolina charlotte unc c department computer science member video image analysis lab vialab unc c february 2011 january 2015 post doctoral associate researcher lane department computer science electrical engineering west virginia university center identification technology citer nsf february 2011 december 2012 member probe lab supervised dr arun ross received five year degree bachelor sc computer engineering march 2006 phd computer automation engineering december 2010 university naples federico ii italy supervised prof carlo sansone research involves fingerprint liveness detection multi biometrics age gender estimation fingerprints interoperability enhancement fingerprint sensors adaptive signal processing strategies enhancing dna profiles degraded dna samples fingerprint de identification privacy enhancement pi co pi research projects funded nsf dhs invited talks computational vision geometry lab stanford university usa eecs department university california berkeley usa featuredfeatured linklink center secure information systemscenter secure information systemscsis gmu educsis gmu eduinformation systems security increasing importance government military commercial arenas center secure information systems csis provides dedicated environment encourage development expertise theoretical information systems security increasing importance government military commercial arenas center secure information systems csis provides dedicated environment encourage development expertise theoretical,,,,,LinkedIn About,LinkedIn About emanuela marasco
15982,15982,eugene kim,currently assistant professor department bioengineering george mason university current interest scholarship teaching learning sotl research specifically active team based learning engineering self efficacy diversity equity inclusion stem classrooms goal provide students best possible education classroom research evidence based teaching practices also welcome new opportunities combine research expertise synthetic biology chemical engineering student learning e g summer research programs discipline based education research dber etc received phd energy environmental chemical engineering washington university st louis summer 2020 research thesis development protein based adhesives using microbial hosts production strong underwater adhesives composite materials currently assistant professor department bioengineering george mason university current interest scholarship teaching learning sotl research specifically active team based learning engineering self efficacy diversity equity inclusion stem classrooms goal provide students best possible education classroom research evidence based teaching practices also welcome new opportunities combine research expertise synthetic biology chemical engineering student learning e g summer research programs discipline based education research dber etc received phd energy environmental chemical engineering washington university st louis summer 2020 research thesis development protein based adhesives using microbial hosts production strong underwater adhesives composite materials,,,,,LinkedIn About,LinkedIn About eugene kim
15984,15984,foteini baldimtsi,assistant professor computer science department george mason university research interests cryptography security data privacy special focus electronic cash blockchain technologies private authentication techniques received ph brown university may 2014 supervised anna lysyanskaya time brown fortunate spent semester microsoft research redmond wa working cryptography group melissa chase summer ibm research zurich working member cryptography security group 2014 2016 postdoctoral researcher bu security group boston university also research affiliation crypto sec group university athens assistant professor computer science department george mason university research interests cryptography security data privacy special focus electronic cash blockchain technologies private authentication techniques received ph brown university may 2014 supervised anna lysyanskaya time brown fortunate spent semester microsoft research redmond wa working cryptography group melissa chase summer ibm research zurich working member cryptography security group 2014 2016 postdoctoral researcher bu security group boston university also research affiliation crypto sec group university athens,,,,,LinkedIn About,LinkedIn About foteini baldimtsi
15985,15985,gene shuman,member gmu information sciences technology department faculty 30 years public sector information technology experience emphasizing application software development project management previously led consular system development support division u state department create support globally used consular applications passport visa citizen services research professional interests include data mining machine learning analytics visualization biomechanical applications software engineering project management erdos number 4,,,,,LinkedIn About,LinkedIn About gene shuman
15993,15993,harry foxwell,see http cs gmu edu hfoxwellspecialties cloud computing big data analyticssee http cs gmu edu hfoxwellspecialties cloud computing big data analytics,,,,,LinkedIn About,LinkedIn About harry foxwell
15994,15994,harry wechsler,artificial intelligence r highlights harry wechsler phd data mining machine learning computer vision pattern recognition forensics surveillance smart biometrics identity management active authentication anomaly detection cyber security denial deception interoperability data fusion performance evaluation,,,,,LinkedIn About,LinkedIn About harry wechsler
15995,15995,hemant purohit,expertise inter disciplinary research augment human capabilities work via social web mining intent mining human ai collaboration semantic computing humanitarian smart city organizations goals understanding human behavior large scale open data transform r labs organizational practice social impact problems tech4socialgoodb connect citizens organizations study cooperation engagement influence belief professional ex researcher ohio center excellence knowledge enabled computing kno e sis research intern ibm research microsoft research qcri extensively collaborated cognitive science humanitarian domain experts worked web 3 0 r projects research design execution management data analytics expertise inter disciplinary research augment human capabilities work via social web mining intent mining human ai collaboration semantic computing humanitarian smart city organizations goals understanding human behavior large scale open data transform r labs organizational practice social impact problems tech4socialgoodb connect citizens organizations study cooperation engagement influence belief professional ex researcher ohio center excellence knowledge enabled computing kno e sis research intern ibm research microsoft research qcri extensively collaborated cognitive science humanitarian domain experts worked web 3 0 r projects research design execution management data analytics featuredfeatured linklink social media web mining public services smart cities ssa talksocial media web mining public services smart cities ssa talkslideshareslidesharethis talk data science seminar ssa presents challenges methods model behavior social media web application opportunities public services talk also demonstrates depth case study mining intentional behavior talk data science seminar ssa presents challenges methods model behavior social media web application opportunities public services talk also demonstrates depth case study mining intentional behavior linklink itu telecom world 2014 young innovator hemant purohit social media coordination india usitu telecom world 2014 young innovator hemant purohit social media coordination india usyoutubeyoutubequick summary project leveraging social media coordination itu young innovator competitionquick summary project leveraging social media coordination itu young innovator competitionlinklink coordinate online social communities crisis response coordinaitonwhom coordinate online social communities crisis response coordinaitonslideshareslideshareiscram paper presentation coordinate ad hoc social media communities crisis response purohit et al kno e sis wright state uiscram paper presentation coordinate ad hoc social media communities crisis response purohit et al kno e sis wright state ulinklink ncsu invited talk leveraging social media tourism marketplace coordinationncsu invited talk leveraging social media tourism marketplace coordinationslideshareslideshareinvited talk presented hemant purohit http knoesis org researchers hemant north carolina state university workshop sustainable tourism development talk presented ways social media communities leveraged coordinate demands tourists supply services local micro entrepreneurs invited talk presented hemant purohit http knoesis org researchers hemant north carolina state university workshop sustainable tourism development talk presented ways social media communities leveraged coordinate demands tourists supply services local micro entrepreneurs linklink siam sdm 14 tutorial social media web data assist crisis response coordinationsiam sdm 14 tutorial social media web data assist crisis response coordinationslideshareslidesharetutorial describing data mining problems assist leveraging social media better crisis response coordination decision making tutorial describing data mining problems assist leveraging social media better crisis response coordination decision making,,,,,LinkedIn About,LinkedIn About hemant purohit
15997,15997,holger dannenberg,studies molecular biomedicine program university bonn bonn germany taught scientific basis medicine provided understanding disease mechanisms student interest neuroscience immunology led pursue diploma thesis studying microglia role alzheimer disease went pursue ph thesis experimental epileptology cognition research bonn germany studying neuronal ensembles neural engrams modulation acetylcholine vivo finishing ph thesis joined laboratory michael e hasselmo boston usa continued experimental computational work cholinergic role memory 2021 joined dept bioengineering interdisciplinary program neuroscience assistant professor lab investigates mechanisms functions underlying formation memory memory guided navigation focus septo hippocampal brain circuitry studies molecular biomedicine program university bonn bonn germany taught scientific basis medicine provided understanding disease mechanisms student interest neuroscience immunology led pursue diploma thesis studying microglia role alzheimer disease went pursue ph thesis experimental epileptology cognition research bonn germany studying neuronal ensembles neural engrams modulation acetylcholine vivo finishing ph thesis joined laboratory michael e hasselmo boston usa continued experimental computational work cholinergic role memory 2021 joined dept bioengineering interdisciplinary program neuroscience assistant professor lab investigates mechanisms functions underlying formation memory memory guided navigation focus septo hippocampal brain circuitry featuredfeatured postpost dannenberg lab hiring two post docs lab uses single unit recordings optogenetics fiber photometry study neural mechanisms underpinning spatial cognition please see advertisement application process hashtag hiring hashtag cognition hashtag neuroscience hashtag postdocpositionopen post doc positions 16,,,,,LinkedIn About,LinkedIn About holger dannenberg
15998,15998,huzefa rangwala,machine learning data mining high performance computing bioinformatics social network analysismachine learning data mining high performance computing bioinformatics social network analysis,,,,,LinkedIn About,LinkedIn About huzefa rangwala
15999,15999,ioulia rytikova,senior level professional 18 years education people management experience providing strategic leadership areas innovative teaching learning instructional design digital virtual based education lead development 14 corporate academic programs 15 person 10 online courses across 9 different fields largest department george mason university 100 instructors 1 900 students experienced developing inclusive programs support needs students employees diverse backgrounds stem disciplines senior level professional 18 years education people management experience providing strategic leadership areas innovative teaching learning instructional design digital virtual based education lead development 14 corporate academic programs 15 person 10 online courses across 9 different fields largest department george mason university 100 instructors 1 900 students experienced developing inclusive programs support needs students employees diverse backgrounds stem disciplines,,,,,LinkedIn About,LinkedIn About ioulia rytikova
16000,16000,irina hashmi,specialties computer science computer programming data mining machine learning evolutionary computation stochastic optimization database systems algorithms computational biology bioinformatics human genome seqeunce enhancers protein docking protein protein interactions vlsi reversible computing circuti designingspecialties computer science computer programming data mining machine learning evolutionary computation stochastic optimization database systems algorithms computational biology bioinformatics human genome seqeunce enhancers protein docking protein protein interactions vlsi reversible computing circuti designing,,,,,LinkedIn About,LinkedIn About irina hashmi
16003,16003,james baldo,specialties data analytics big data cloud architecture computing java development software engineeringspecialties data analytics big data cloud architecture computing java development software engineering,,,,,LinkedIn About,LinkedIn About james baldo
16004,16004,jan allbeck,great opportunity explore many aspects computer graphics drawn research crossroads animation artificial intelligence psychology pursuit simulating humans current research focuses creation simulation functional crowds great opportunity explore many aspects computer graphics drawn research crossroads animation artificial intelligence psychology pursuit simulating humans current research focuses creation simulation functional crowds,,,,,LinkedIn About,LinkedIn About jan allbeck
16005,16005,janis terpenny,janis terpenny professor systems engineering operations research mechanical engineering george mason university expert nsf focused manufacturing systems integration previously served dean wayne davis chair tickle college engineering university tennessee also served department head industrial manufacturing engineering penn state university iowa state university also served first technical lead advanced manufacturing enterprise ame area digital manufacturing design innovation institute dmdii development institute roadmap first strategic investment plan co founder director center e design nsf iucrc many years research focus engineering design process methods early design knowledge information design product families platforms obsolescence products systems complexity products systems design education multidisciplinary teams impacts project choice context retention success underrepresented students dr terpenny program director division undergraduate education national science foundation nsf also professor virginia tech departments engineering education mechanical engineering industrial systems engineering department mechanical industrial engineering university massachusetts amherst 9 years industry work experience ge including 2 year corporate management program date managed 16 5 million sponsored research author 180 peer reviewed journal conference publications fellow iise asme member asee aaas sme alpha pi mu tau beta pi associate editor engineering economist journal svp academics board trustees iise received numerous awards excellence teaching research service,,,,,LinkedIn About,LinkedIn About janis terpenny
16006,16006,jeff offutt,30 years experience researcher educator leader field computing teaching created many new courses graduate undergraduate level innovated numerous pedagogical techniques led research projects computing education led several efforts create new educational programs served department chair associate chair run committees collegiate levels received several awards reflecting contributions teaching research leadership research seek invent new ways build better software cheaper made highly cited contributions software engineering widely used industry 30 years experience researcher educator leader field computing teaching created many new courses graduate undergraduate level innovated numerous pedagogical techniques led research projects computing education led several efforts create new educational programs served department chair associate chair run committees collegiate levels received several awards reflecting contributions teaching research leadership research seek invent new ways build better software cheaper made highly cited contributions software engineering widely used industry,,,,,LinkedIn About,LinkedIn About jeff offutt
16007,16007,jeffrey moran,assistant professor mechanical engineering george mason university fairfax va usa research leverages microscale transport phenomena enable new solutions fundamental problems including clean energy generation storage water desalination remediation targeted drug delivery one major research focus capabilities applications active colloids micrometer size particles 50 times smaller width human hair propel liquids like tiny submarines particles show promise microscale manufacturing oil water separation even cancer treatment outside research conducted outreach activities washington c local science museums lectured general technical levels united states internationally office lab find playing jazz upright bass competing triathlon hiking shenandoah national park assistant professor mechanical engineering george mason university fairfax va usa research leverages microscale transport phenomena enable new solutions fundamental problems including clean energy generation storage water desalination remediation targeted drug delivery one major research focus capabilities applications active colloids micrometer size particles 50 times smaller width human hair propel liquids like tiny submarines particles show promise microscale manufacturing oil water separation even cancer treatment outside research conducted outreach activities washington c local science museums lectured general technical levels united states internationally office lab find playing jazz upright bass competing triathlon hiking shenandoah national park,,,,,LinkedIn About,LinkedIn About jeffrey moran
16009,16009,jessica lin,research focuses mining large multimedia datasets including time series spatiotemporal text image data research focuses mining large multimedia datasets including time series spatiotemporal text image data,,,,,LinkedIn About,LinkedIn About jessica lin
16010,16010,jianli pan,currently tenured associate professor department information science technology george mason university gmu previously associate professor department computer science university missouri st louis umsl obtained ph degree department computer science engineering washington university saint louis ph advisor prof raj jain research interests broadly cover internet things iot edge cloud computing machine learning cybersecurity blockchain smart energy buildings mobile distributed systems particularly interested solving emerging important problems intersections mentioned areas addressing real world grand challenges society faces enabling future vision smart homes campuses factories communities cities currently tenured associate professor department information science technology george mason university gmu previously associate professor department computer science university missouri st louis umsl obtained ph degree department computer science engineering washington university saint louis ph advisor prof raj jain research interests broadly cover internet things iot edge cloud computing machine learning cybersecurity blockchain smart energy buildings mobile distributed systems particularly interested solving emerging important problems intersections mentioned areas addressing real world grand challenges society faces enabling future vision smart homes campuses factories communities cities,,,,,LinkedIn About,LinkedIn About jianli pan
16012,16012,jie xu,using quantitative statistical analysis large scale data improve revenue profitability airlines financial hospitality internet e commerce retail industries 10 years experienced mathematical statistical modeling implementation c java sas sql depth knowledge stochastic simulation optimization specialties revenue management simulation forecasting risk management portfolio optimization data mining inventory management,,,,,LinkedIn About,LinkedIn About jie xu
