,Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
180,Connecting curves in higher dimensions.,Juan Cebral,Journal of Physics: A Mathematical & Theoretical,17518113,,5/30/14,47,21,1,1,96340255,10.1088/1751-8113/47/21/215101,IOP Publishing,Article,CURVES; CURVILINEAR motion; PARAMETRIC equations; CURVES on surfaces; DYNAMICAL systems; APPLIED mathematics,,"Connecting curves have been shown to organize the rotational structure of strange attractors in three-dimensional dynamical systems. We extend the description of connecting curves and their properties to higher dimensions within a special class of differential dynamical systems. The general properties of connecting curves are derived and selection rules stated. Examples are presented to illustrate these properties for dynamical systems of dimension n = 3, 4, 5. [ABSTRACT FROM AUTHOR] Copyright of Journal of Physics: A Mathematical & Theoretical is the property of IOP Publishing and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=96340255&site=ehost-live
181,Development of a statistical model for discrimination of rupture status in posterior communicating artery aneurysms.,Juan Cebral,Acta Neurochirurgica,16268,,Aug-18,160,8,1643,10,130694515,10.1007/s00701-018-3595-8,Springer Nature,Article,INTRACRANIAL aneurysm ruptures; INTRACRANIAL aneurysms; COMPUTATIONAL fluid dynamics; INTERNAL carotid artery; HEMODYNAMICS; SHEARING force; DISEASE risk factors,Cerebral aneurysm; Hemodynamics; Morphology; Posterior communicating artery; Prediction; Rupture,"Background: Intracranial aneurysms at the posterior communicating artery (PCOM) are known to have high rupture rates compared to other locations. We developed and internally validated a statistical model discriminating between ruptured and unruptured PCOM aneurysms based on hemodynamic and geometric parameters, angio-architectures, and patient age with the objective of its future use for aneurysm risk assessment.Methods: A total of 289 PCOM aneurysms in 272 patients modeled with image-based computational fluid dynamics (CFD) were used to construct statistical models using logistic group lasso regression. These models were evaluated with respect to discrimination power and goodness of fit using tenfold nested cross-validation and a split-sample approach to mimic external validation.Results: The final model retained maximum and minimum wall shear stress (WSS), mean parent artery WSS, maximum and minimum oscillatory shear index, shear concentration index, and aneurysm peak flow velocity, along with aneurysm height and width, bulge location, non-sphericity index, mean Gaussian curvature, angio-architecture type, and patient age. The corresponding area under the curve (AUC) was 0.8359. When omitting data from each of the three largest contributing hospitals in turn, and applying the corresponding model on the left-out data, the AUCs were 0.7507, 0.7081, and 0.5842, respectively.Conclusions: Statistical models based on a combination of patient age, angio-architecture, hemodynamics, and geometric characteristics can discriminate between ruptured and unruptured PCOM aneurysms with an AUC of 84%. It is important to include data from different hospitals to create models of aneurysm rupture that are valid across hospital populations. [ABSTRACT FROM AUTHOR] Copyright of Acta Neurochirurgica is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=130694515&site=ehost-live
181,Development of a statistical model for discrimination of rupture status in posterior communicating artery aneurysms.,Martin Slawski,Acta Neurochirurgica,16268,,Aug-18,160,8,1643,10,130694515,10.1007/s00701-018-3595-8,Springer Nature,Article,INTRACRANIAL aneurysm ruptures; INTRACRANIAL aneurysms; COMPUTATIONAL fluid dynamics; INTERNAL carotid artery; HEMODYNAMICS; SHEARING force; DISEASE risk factors,Cerebral aneurysm; Hemodynamics; Morphology; Posterior communicating artery; Prediction; Rupture,"Background: Intracranial aneurysms at the posterior communicating artery (PCOM) are known to have high rupture rates compared to other locations. We developed and internally validated a statistical model discriminating between ruptured and unruptured PCOM aneurysms based on hemodynamic and geometric parameters, angio-architectures, and patient age with the objective of its future use for aneurysm risk assessment.Methods: A total of 289 PCOM aneurysms in 272 patients modeled with image-based computational fluid dynamics (CFD) were used to construct statistical models using logistic group lasso regression. These models were evaluated with respect to discrimination power and goodness of fit using tenfold nested cross-validation and a split-sample approach to mimic external validation.Results: The final model retained maximum and minimum wall shear stress (WSS), mean parent artery WSS, maximum and minimum oscillatory shear index, shear concentration index, and aneurysm peak flow velocity, along with aneurysm height and width, bulge location, non-sphericity index, mean Gaussian curvature, angio-architecture type, and patient age. The corresponding area under the curve (AUC) was 0.8359. When omitting data from each of the three largest contributing hospitals in turn, and applying the corresponding model on the left-out data, the AUCs were 0.7507, 0.7081, and 0.5842, respectively.Conclusions: Statistical models based on a combination of patient age, angio-architecture, hemodynamics, and geometric characteristics can discriminate between ruptured and unruptured PCOM aneurysms with an AUC of 84%. It is important to include data from different hospitals to create models of aneurysm rupture that are valid across hospital populations. [ABSTRACT FROM AUTHOR] Copyright of Acta Neurochirurgica is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=130694515&site=ehost-live
182,Effects of changing physiologic conditions on the in vivo quantification of hemodynamic variables in cerebral aneurysms treated with flow diverting devices.,Juan Cebral,International Journal for Numerical Methods in Biomedical Engineering,20407939,,Jan-14,30,1,135,8,93524954,10.1002/cnm.2594,Wiley-Blackwell,Article,COMPUTATIONAL fluid dynamics; HEMODYNAMICS; BLOOD circulation measurement; MEDICAL radiography; ANGIOGRAPHY; INTRACRANIAL aneurysms; Diagnostic Imaging Centers,cerebral aneurysm; computational fluid dynamics; flow diversion; flow quantification; hemodynamics; X‐ray angiography; X-ray angiography,"SUMMARY Quantifying the hemodynamic environment within aneurysms and its change after deployment of flow diverting devices is important to assess the device efficacy and understand their long-term effects. The purpose of this study was to estimate deviations in the quantification of the relative change of hemodynamic variables during flow diversion treatment of cerebral aneurysms due to changing physiologic flow conditions. Computational fluid dynamics calculations were carried out on three patient-specific geometries. Three flow diverters were virtually implanted in each geometry and simulations were performed under five pulsatile flow conditions. Hemodynamic variables including aneurysm inflow rate, mean velocity, shear rate, and wall shear stress were quantified before and after stenting. Deviations in the relative change of these variables due to varying flow conditions were calculated. The results indicate that a change in the mean flow of the parent artery of approximately 30-50% can induce large deviations in the relative change of hemodynamic variables in the range of 30-80%. Thus, quantification of hemodynamic changes during flow diversion must be carried out carefully. Variations in the inflow conditions during the procedure may induce large deviations in the quantification of these changes. Copyright © 2013 John Wiley & Sons, Ltd. [ABSTRACT FROM AUTHOR] Copyright of International Journal for Numerical Methods in Biomedical Engineering is the property of John Wiley & Sons, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=93524954&site=ehost-live
183,External validation of cerebral aneurysm rupture probability model with data from two patient cohorts.,Juan Cebral,Acta Neurochirurgica,16268,,Dec-18,160,12,2425,10,133160533,10.1007/s00701-018-3712-8,Springer Nature,Article,INTRACRANIAL aneurysms; INTRACRANIAL arterial diseases; RECEIVER operating characteristic curves; COMPUTATIONAL fluid dynamics; STROKE; RUPTURED aneurysms; GOODNESS-of-fit tests,Cerebral aneurysm; Hemodynamics; Prediction; Risk factors; Rupture; Shape,"Background: For a treatment decision of unruptured cerebral aneurysms, physicians and patients need to weigh the risk of treatment against the risk of hemorrhagic stroke caused by aneurysm rupture. The aim of this study was to externally evaluate a recently developed statistical aneurysm rupture probability model, which could potentially support such treatment decisions.Methods: Segmented image data and patient information obtained from two patient cohorts including 203 patients with 249 aneurysms were used for patient-specific computational fluid dynamics simulations and subsequent evaluation of the statistical model in terms of accuracy, discrimination, and goodness of fit. The model’s performance was further compared to a similarity-based approach for rupture assessment by identifying aneurysms in the training cohort that were similar in terms of hemodynamics and shape compared to a given aneurysm from the external cohorts.Results: When applied to the external data, the model achieved a good discrimination and goodness of fit (area under the receiver operating characteristic curve AUC = 0.82), which was only slightly reduced compared to the optimism-corrected AUC in the training population (AUC = 0.84). The accuracy metrics indicated a small decrease in accuracy compared to the training data (misclassification error of 0.24 vs. 0.21). The model’s prediction accuracy was improved when combined with the similarity approach (misclassification error of 0.14).Conclusions: The model’s performance measures indicated a good generalizability for data acquired at different clinical institutions. Combining the model-based and similarity-based approach could further improve the assessment and interpretation of new cases, demonstrating its potential use for clinical risk assessment. [ABSTRACT FROM AUTHOR] Copyright of Acta Neurochirurgica is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=133160533&site=ehost-live
184,Fast numerical solutions of patient-specific blood flows in 3D arterial systems.,Juan Cebral,Communications in Numerical Methods in Engineering,10698299,,Jan-10,26,1,73,13,47267895,10.1002/cnm.1235,Wiley-Blackwell,Article,ARTERIES; THREE-dimensional imaging; DIAGNOSTIC imaging; ALGORITHMS; MEDICAL imaging systems; BIOMECHANICS; Diagnostic Imaging Centers; Other Electronic and Precision Equipment Repair and Maintenance,cerebral aneurysms; cerebral arteries; computational fluid dynamics; deflated conjugate gradients; hemodynamics,"The study of hemodynamics in arterial models constructed from patient-specific medical images requires the solution of the incompressible flow equations in geometries characterized by complex branching tubular structures. The main challenge with this kind of geometries is that the convergence rate of the pressure Poisson solver is dominated by the graph depth of the computational grid. This paper presents a deflated preconditioned conjugate gradients (DPCG) algorithm for accelerating the pressure Poisson solver. A subspace deflation technique is used to approximate the lowest eigenvalues along the tubular domains. This methodology was tested with an idealized cylindrical model and three patient-specific models of cerebral arteries and aneurysms constructed from medical images. For these cases, the number of iterations decreased by up to a factor of 16, while the total CPU time was reduced by up to 4 times when compared with the standard PCG solver. Copyright © 2009 John Wiley & Sons, Ltd. [ABSTRACT FROM AUTHOR] Copyright of Communications in Numerical Methods in Engineering is the property of John Wiley & Sons, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=47267895&site=ehost-live
185,Gene expression comparison of flow diversion and coiling in an experimental aneurysm model.,Juan Cebral,Journal of NeuroInterventional Surgery,17598478,,Dec-15,7,12,926,5,111309662,10.1136/neurintsurg-2014-011452,BMJ Publishing Group,Article,"INTRACRANIAL aneurysm surgery; AGAR; ANIMAL experimentation; CEREBRAL circulation; CHEMOKINES; COLLAGEN; ELECTROPHORESIS; FIBRONECTINS; FRACTURE fixation; GENE expression; MUSCLE proteins; NEUROSURGERY; OXIDOREDUCTASES; RABBITS; SURGICAL instruments; TUMOR necrosis factors; MATRIX metalloproteinases; Medicinal and Botanical Manufacturing; Pharmaceutical and medicine manufacturing; Poultry Processing; Fur-Bearing Animal and Rabbit Production; Medical, Dental, and Hospital Equipment and Supplies Merchant Wholesalers; Surgical Appliance and Supplies Manufacturing; Surgical and Medical Instrument Manufacturing; Other Electronic and Precision Equipment Repair and Maintenance",,"Background and purpose Mechanisms of both healing and complications, including spontaneous aneurysm rupture, remain unclear following flow diverter treatment. The aim of this study was to compare gene expression of various key molecules involved in the healing of aneurysms, between aneurysms treated with microcoils and flow diverters. Methods Saccular aneurysms were created in rabbits. Aneurysms were treated with coils (n=6) or flow diverters (n=6). Aneurysms were harvested at 4 weeks following treatment and used for gene expression and zymography experiments. Genes with a fold change of 1.2 or more were considered upregulated whereas those with a fold change of 0.8 or less were considered downregulated. Results All coil embolized aneurysms were completely occluded at follow-up. Two aneurysms were occluded and the remaining four samples were incompletely occluded in the flow diverter treated group. The following genes were expressed at lower levels in the flow diverter group compared with the coiled aneurysm group: proteinases (matrix metalloproteinases 2 and 9), cellular markers (endothelial nitric oxide synthase and smooth muscle actin), and structural proteins (collagens and fibronectin). Genes related to inflammation (tumor necrosis factor α and monocyte chemoattractant protein 1) were upregulated in flow diverter treated aneurysms compared with coil embolized aneurysms. Notably, the enzymatic activity of active matrix metalloproteinase 9 was high in aneurysms treated with flow diverters. Conclusions Our findings may provide improved understanding of rupture risk and healing following aneurysm treatment and inform development of therapies aimed at lowering rupture risk and accelerating healing. [ABSTRACT FROM AUTHOR] Copyright of Journal of NeuroInterventional Surgery is the property of BMJ Publishing Group and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=111309662&site=ehost-live
186,Hemodynamic analysis of fast and slow aneurysm occlusions by flow diversion in rabbits.,Juan Cebral,Journal of NeuroInterventional Surgery,17598478,,Dec-15,7,12,931,5,111309660,10.1136/neurintsurg-2014-011412,BMJ Publishing Group,Article,INTRACRANIAL aneurysm surgery; ANIMAL experimentation; BLOOD flow measurement; VASCULAR surgery; CEREBRAL angiography; CEREBRAL circulation; HEMODYNAMICS; INTRACRANIAL aneurysms; PROTEOLYTIC enzymes; RABBITS; Poultry Processing; Fur-Bearing Animal and Rabbit Production,,"Purpose To assess hemodynamic differences between aneurysms that occlude rapidly and those occluding in delayed fashion after flow diversion in rabbits. Methods Thirty-six elastase-induced aneurysms in rabbits were treated with flow diverting devices. Aneurysm occlusion was assessed angiographically immediately before they were sacrificed at 1 (n=6), 2 (n=4), 4 (n=8) or 8 weeks (n=18) after treatment. The aneurysms were classified into a fast occlusion group if they were completely or near completely occluded at 4 weeks or earlier and a slow occlusion group if they remained incompletely occluded at 8 weeks. The immediate post-treatment flow conditions in aneurysms of each group were quantified using subject-specific computational fluid dynamics and statistically compared. Results Nine aneurysms were classified into the fast occlusion group and six into the slow occlusion group. Aneurysms in the fast occlusion group were on average significantly smaller (fast=0.9 cm, slow=1.393 cm, p=0.024) and had smaller ostia (fast=0.144 cm2, slow=0.365 cm2, p=0.015) than aneurysms in the slow occlusion group. They also had a lower mean posttreatment inflow rate (fast=0.047 mL/s, slow=0.155 mL/s, p=0.0239), kinetic energy (fast=0.519 erg, slow=1.283 erg, p=0.0468), and velocity (fast=0.221 cm/s, slow=0.506 cm/s, p=0.0582). However, the differences in the latter two variables were only marginally significant. Conclusions Hemodynamic conditions after flow diversion treatment of cerebral aneurysms in rabbits are associated with the subsequent aneurysm occlusion time. Specifically, smaller inflow rate, kinetic energy, and velocity seem to promote faster occlusions, especially in smaller and small-necked aneurysms. These results are consistent with previous studies based on clinical series. [ABSTRACT FROM AUTHOR] Copyright of Journal of NeuroInterventional Surgery is the property of BMJ Publishing Group and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=111309660&site=ehost-live
187,Hemodynamic analysis of intracranial aneurysms with moving parent arteries: Basilar tip aneurysms.,Juan Cebral,International Journal for Numerical Methods in Biomedical Engineering,20407939,,Oct-10,26,10,1219,9,53978655,10.1002/cnm.1385,Wiley-Blackwell,Article,INTRACRANIAL aneurysm ruptures; HEMODYNAMICS; COMPUTATIONAL fluid dynamics; VERTEBROBASILAR aneurysms; ARTERIOGRAPHY,angiography; arterial wall motion; basilar artery; cerebral aneurysms; hemodynamics,"The effects of parent artery motion on the hemodynamics of basilar tip saccular aneurysms and its potential effect on aneurysm rupture were studied. The aneurysm and parent artery motions in two patients were determined from cine loops of dynamic angiographies. The oscillatory motion amplitude was quantified by registering the frames. Patient-specific computational fluid dynamics (CFD) models of both aneurysms were constructed from 3D rotational angiography images. Two CFD calculations were performed for each patient, corresponding to static and moving models. The motion estimated from the dynamic images was used to move the surface grid points in the moving model. Visualizations from the simulations were compared for wall shear stress (WSS), velocity profiles, and streamlines. In both patients, a rigid oscillation of the aneurysm and basilar artery in the anterio-posterior direction was observed and measured. The distribution of WSS was nearly identical between the models of each patient, as well as major intra-aneurysmal flow structures, inflow jets, and regions of impingement. The motion observed in pulsating intracranial vasculature does not have a major impact on intra-aneurysmal hemodynamic variables. Parent artery motion is unlikely to be a risk factor for increased risk of aneurysmal rupture. Copyright © 2010 John Wiley & Sons, Ltd. [ABSTRACT FROM AUTHOR] Copyright of International Journal for Numerical Methods in Biomedical Engineering is the property of John Wiley & Sons, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=53978655&site=ehost-live
188,Hemodynamics in growing and stable cerebral aneurysms.,Juan Cebral,Journal of NeuroInterventional Surgery,17598478,,Apr-16,8,4,407,6,114159465,10.1136/neurintsurg-2014-011339,BMJ Publishing Group,Article,BIOLOGICAL models; CEREBRAL circulation; HEMODYNAMICS; INTRACRANIAL aneurysms; SHEAR (Mechanics); PSYCHOLOGICAL stress; LOGISTIC regression analysis; THREE-dimensional imaging,,"Objective The detailed mechanisms of cerebral aneurysm evolution are poorly understood but are important for objective aneurysm evaluation and improved patient management. The purpose of this study was to identify hemodynamic conditions that may predispose aneurysms to growth. Methods A total of 33 intracranial unruptured aneurysms longitudinally followed with three-dimensional imaging were studied. Patient-specific computational fluid dynamics models were constructed and used to quantitatively characterize the hemodynamic environments of these aneurysms. Hemodynamic characteristics of growing (n=16) and stable (n=17) aneurysms were compared. Logistic regression statistical models were constructed to test the predictability of aneurysm growth by hemodynamic features. Results Growing aneurysms had significantly smaller shear rate ratios (p=0.01), higher concentration of wall shear stress (p=0.03), smaller vorticity ratios (p=0.01), and smaller viscous dissipation ratios (p=0.01) than stable aneurysms. They also tended to have larger areas under low wall shear stress (p=0.06) and larger aspect ratios (p=0.18), but these trends were not significant. Mean wall shear stress was not significantly different between growing and stable aneurysms. Logistic regression models based on hemodynamic variables were able to discriminate between growing and stable aneurysms with a high degree of accuracy (94-100%). Conclusions Growing aneurysms tend to have complex intrasaccular flow patterns that induce non-uniform wall shear stress distributions with areas of concentrated high wall shear stress and large areas of low wall shear stress. Statistical models based on hemodynamic features seem capable of discriminating between growing and stable aneurysms. [ABSTRACT FROM AUTHOR] Copyright of Journal of NeuroInterventional Surgery is the property of BMJ Publishing Group and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=114159465&site=ehost-live
189,Hemodynamics in two tandem aneurysms treated with flow diverters.,Juan Cebral,International Journal for Numerical Methods in Biomedical Engineering,20407939,,Apr-14,30,4,517,8,95322584,10.1002/cnm.2614,Wiley-Blackwell,Article,HEMODYNAMICS; ANEURYSMS; TANDEM mass spectrometers; FUSION reactor divertors; ANGIOGRAPHY,cerebral aneurysms; flow diverters; hemodynamics,"SUMMARY The purpose of this study was to investigate whether the occlusion time of cerebral aneurysms treated with flow diverters depends on the hemodynamic conditions created immediately after treatment. A case study of a pair of tandem intracranial aneurysms that were treated with flow-diverting devices and occluded at different times was carried out. A patient-specific computational fluid dynamics model was constructed from 3D rotational angiography images. Blood flow simulations were carried out under pulsatile physiologic conditions, and hemodynamic variables before and after deployment of the flow-diverting devices were quantified and compared. The flow-diverting devices reduced aneurysm inflow rates, intra-aneurysmal flow velocities, shear rates, and wall shear stresses. The flow patterns after flow modulation by the flow diverters were smoother and with less swirling. The reductions in hemodynamic quantities depended on the aneurysm and parent artery and were larger in the aneurysm that occluded faster. The results of this case study suggest that the larger the reduction in the hemodynamic variables considered, the shorter the time it takes for the aneurysm to thrombose. This result can help us better define the goal of these interventions. Copyright © 2013 John Wiley & Sons, Ltd. [ABSTRACT FROM AUTHOR] Copyright of International Journal for Numerical Methods in Biomedical Engineering is the property of John Wiley & Sons, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=95322584&site=ehost-live
190,Image‐based modeling of blood flow in cerebral aneurysms treated with intrasaccular flow diverting devices.,Juan Cebral,International Journal for Numerical Methods in Biomedical Engineering,20407939,,Jun-19,35,6,N.PAG,1,136997892,10.1002/cnm.3202,Wiley-Blackwell,Article,INTRACRANIAL aneurysms; CEREBRAL circulation; HEMODYNAMICS,cerebral aneurysms; computational hemodynamics; flow diversion; intrasaccular flow diverter,"Modeling the flow dynamics in cerebral aneurysms after the implantation of intrasaccular devices is important for understanding the relationship between flow conditions created immediately posttreatment and the subsequent outcomes. This information, ideally available a priori based on computational modeling prior to implantation, is valuable to identify which aneurysms will occlude immediately and which aneurysms will likely remain patent and would benefit from a different procedure or device. In this report, a methodology for modeling the hemodynamics in intracranial aneurysms treated with intrasaccular flow diverting devices is described. This approach combines an image‐guided, virtual device deployment within patient‐specific vascular models with an immersed boundary method on adaptive unstructured grids. A partial mesh refinement strategy that reduces the number of mesh elements near the aneurysm dome where the flow conditions are largely stagnant was compared with the full refinement strategy that refines the mesh everywhere around the device wires. The results indicate that using the partial mesh refinement approach is adequate for analyzing the posttreatment hemodynamics, at a reduced computational cost. The results obtained on a series of four cerebral aneurysms treated with different intrasaccular devices were in good qualitative agreement with angiographic observations. Promising results were obtained relating posttreatment flow conditions and outcomes of treatments with intrasaccular devices, which need to be confirmed on larger series. [ABSTRACT FROM AUTHOR] Copyright of International Journal for Numerical Methods in Biomedical Engineering is the property of John Wiley & Sons, Inc. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=136997892&site=ehost-live
191,Patient-specific flow analysis of brain aneurysms at a single location: comparison of hemodynamic characteristics in small aneurysms.,Juan Cebral,Medical & Biological Engineering & Computing,1400118,,Nov-08,46,11,1113,8,35261178,10.1007/s11517-008-0400-5,Springer Nature,Article,ANEURYSMS; BRAIN diseases; HEMODYNAMICS; BLOOD circulation; VASCULAR diseases,Brain aneurysm; Flow analysis; Hemodynamics,"The purpose of this study is to examine and compare the hemodynamic characteristics of small aneurysms at the same anatomical location. Six internal carotid artery-ophthalmic artery aneurysms smaller than 10 mm were selected. Image-based computational fluid dynamics (CFD) techniques were used to simulate aneurysm hemodynamics. Flow velocity and wall shear stress (WSS) were also quantitatively compared, both in absolute value and relative value using the parent artery as a baseline. We found that flow properties were similar in ruptured and unruptured small aneurysms. However, the WSS was lower at the aneurysm site in unruptured aneurysms and higher in ruptured aneurysms ( P < 0.05). Hemodynamic analyses at a single location with similar size enabled us to directly compare the hemodynamics and clinical presentation of brain aneurysms. The results suggest that the WSS in an aneurysm sac can be an important hemodynamic parameter related to the mechanism of brain aneurysm growth and rupture. [ABSTRACT FROM AUTHOR] Copyright of Medical & Biological Engineering & Computing is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=35261178&site=ehost-live
192,Patient-specific hemodynamic analysis of small internal carotid artery-ophthalmic artery aneurysms,Juan Cebral,Surgical Neurology,903019,,Nov-09,72,5,444,7,45638735,10.1016/j.surneu.2008.12.013,Elsevier B.V.,Article,INTRACRANIAL aneurysm ruptures; BRAIN disease treatment; VASCULAR diseases; CAROTID artery diseases; HEMODYNAMICS; STANDARD deviations; COMPUTATIONAL fluid dynamics,Cerebral aneurysm; computational fluid dynamics ( CFD ); Flow analysis; Hemodynamics; internal carotid artery-ophthalmic artery ( ICA-Oph ); standard deviation ( SD ); Wall shear stress; wall shear stress ( WSS ),"Abstract: Background: Prophylactic treatment of unruptured small brain aneurysms is still controversial due to the low risk of rupture. Distinguishing which small aneurysms are at risk for rupture has become important for treatment. Previous studies have indicated a variety of hemodynamic properties that may influence aneurysm rupture. This study uses hemodynamic principles to evaluate these in the context of ruptured and unruptured small aneurysms in a single location. Methods: Eight small internal carotid artery-ophthalmic artery (ICA-Oph) aneurysms (<10 mm) were selected from the University of California, Los Angeles, database. We analyzed rupture-related hemodynamic characteristics including flow patterns, wall shear stress (WSS), and flow impingement using previously developed patient-specific computational fluid dynamics software. Results: Most ruptured aneurysms had complicated flow patterns in the aneurysm domes, but all of the unruptured cases showed a simple vortex. A reduction in flow velocity between the parent artery and the aneurysm sac was found in all the cases. Inside the aneurysms, the highest flow velocities were found either at the apex or neck. We also observed a trend of higher and more inhomogeneous WSS distribution within ruptured aneurysms (10.66 ± 5.99 Pa) in comparison with the unruptured ones (6.31 ± 6.47 Pa) (P < .01). Conclusion: A comparison of hemodynamic properties between ruptured and unruptured small ICA-Oph aneurysms found that some hemodynamic properties vary between small aneurysms although they are similar in size and share the same anatomical location. In particular, WSS may be a useful hemodynamic factor for studying small aneurysm rupture. [Copyright &y& Elsevier] Copyright of Surgical Neurology is the property of Elsevier B.V. and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=45638735&site=ehost-live
