,Article Title,Author,Journal Title,ISSN,ISBN,Publication Date,Volume,Issue,First Page,Page Count,Accession Number,DOI,Publisher,Doctype,Subjects,Keywords,Abstract,PLink
219,A Coordinate Optimization Approach for Concurrent Design.,Edward Huang,IEEE Transactions on Automatic Control,00189286,,Jul2019,64,7,2913,8.0,137234542,10.1109/TAC.2018.2872196,IEEE,Article,COORDINATES; CHARGE coupled devices; NEW product development; INFORMATION design; INFORMATION sharing; Marketing Consulting Services,Charge coupled devices; Concurrent design (CCD); Convergence; Elevators; Information management; Linear programming; nonlinear programing; Optimization; Task analysis,"In concurrent design (CCD), multiple design teams execute their tasks simultaneously and then exchange information to update their designs. The process then iterates until the termination criterion is met. When properly controlled and executed, CCD can be an effective method to shorten the time in product development for complex and large-scale projects thanks to its parallel nature. In this note, we propose a coordinate optimization framework to model and control team coordination through information sharing in CCD. It can be shown that under a certain convexity assumption, CCD converges to a globally optimal design if the information sharing intensity is smaller than a certain threshold. Numerical experiments substantiate the theoretical results. [ABSTRACT FROM AUTHOR] Copyright of IEEE Transactions on Automatic Control is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=137234542&site=ehost-live
219,A Coordinate Optimization Approach for Concurrent Design.,Jie Xu,IEEE Transactions on Automatic Control,00189286,,Jul2019,64,7,2913,8.0,137234542,10.1109/TAC.2018.2872196,IEEE,Article,COORDINATES; CHARGE coupled devices; NEW product development; INFORMATION design; INFORMATION sharing; Marketing Consulting Services,Charge coupled devices; Concurrent design (CCD); Convergence; Elevators; Information management; Linear programming; nonlinear programing; Optimization; Task analysis,"In concurrent design (CCD), multiple design teams execute their tasks simultaneously and then exchange information to update their designs. The process then iterates until the termination criterion is met. When properly controlled and executed, CCD can be an effective method to shorten the time in product development for complex and large-scale projects thanks to its parallel nature. In this note, we propose a coordinate optimization framework to model and control team coordination through information sharing in CCD. It can be shown that under a certain convexity assumption, CCD converges to a globally optimal design if the information sharing intensity is smaller than a certain threshold. Numerical experiments substantiate the theoretical results. [ABSTRACT FROM AUTHOR] Copyright of IEEE Transactions on Automatic Control is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=137234542&site=ehost-live
219,A Coordinate Optimization Approach for Concurrent Design.,Chun-Hung Chen,IEEE Transactions on Automatic Control,00189286,,Jul2019,64,7,2913,8.0,137234542,10.1109/TAC.2018.2872196,IEEE,Article,COORDINATES; CHARGE coupled devices; NEW product development; INFORMATION design; INFORMATION sharing; Marketing Consulting Services,Charge coupled devices; Concurrent design (CCD); Convergence; Elevators; Information management; Linear programming; nonlinear programing; Optimization; Task analysis,"In concurrent design (CCD), multiple design teams execute their tasks simultaneously and then exchange information to update their designs. The process then iterates until the termination criterion is met. When properly controlled and executed, CCD can be an effective method to shorten the time in product development for complex and large-scale projects thanks to its parallel nature. In this note, we propose a coordinate optimization framework to model and control team coordination through information sharing in CCD. It can be shown that under a certain convexity assumption, CCD converges to a globally optimal design if the information sharing intensity is smaller than a certain threshold. Numerical experiments substantiate the theoretical results. [ABSTRACT FROM AUTHOR] Copyright of IEEE Transactions on Automatic Control is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=137234542&site=ehost-live
220,Advances in simulation optimization and its applications.,Chun-Hung Chen,IIE Transactions,0740817X,,Jul2013,45,7,683,2.0,86887348,10.1080/0740817X.2013.778709,Taylor & Francis Ltd,Article,SIMULATION methods & models; MATHEMATICAL optimization; MATHEMATICAL variables; PARALLEL algorithms; MATHEMATICAL bounds; PROBLEM solving,,,http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=86887348&site=ehost-live
221,Efficient Splitting Simulation for Blackout Analysis.,Chun-Hung Chen,IEEE Transactions on Power Systems,08858950,,Jul2015,30,4,1775,9.0,103304575,10.1109/TPWRS.2014.2359920,IEEE,Article,ELECTRIC lines; ELECTRIC power failures; SIMULATION methods & models; ELECTRIC power distribution grids; ELECTRIC networks; Power and Communication Line and Related Structures Construction; Site Preparation Contractors,Analytical models; Blackout; cascading failure; Computational modeling; Numerical models; Power grids; Power system faults; Power system protection; rare-event probability; Resource management; stochastic simulation,"The analysis of severe blackouts has become an essential part of transmission grid planning and operation. This may include evaluation of rare-event probabilities, which can be difficult to estimate. While simulation offers flexibility to model large complex systems, efficiency remains a big concern when estimating very small probabilities. This paper presents an effective simulation technique to evaluate rare-event probabilities associated with cascading blackouts in an electric grid. We test our technique on an IEEE 118-bus electric network and show that it can dramatically improve simulation efficiency. We also demonstrate that the proposed technique can effectively locate vulnerable links. These are links whose failures lead to the highest probabilities of a blackout event. [ABSTRACT FROM PUBLISHER] Copyright of IEEE Transactions on Power Systems is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=103304575&site=ehost-live
221,Efficient Splitting Simulation for Blackout Analysis.,John Shortle,IEEE Transactions on Power Systems,08858950,,Jul2015,30,4,1775,9.0,103304575,10.1109/TPWRS.2014.2359920,IEEE,Article,ELECTRIC lines; ELECTRIC power failures; SIMULATION methods & models; ELECTRIC power distribution grids; ELECTRIC networks; Power and Communication Line and Related Structures Construction; Site Preparation Contractors,Analytical models; Blackout; cascading failure; Computational modeling; Numerical models; Power grids; Power system faults; Power system protection; rare-event probability; Resource management; stochastic simulation,"The analysis of severe blackouts has become an essential part of transmission grid planning and operation. This may include evaluation of rare-event probabilities, which can be difficult to estimate. While simulation offers flexibility to model large complex systems, efficiency remains a big concern when estimating very small probabilities. This paper presents an effective simulation technique to evaluate rare-event probabilities associated with cascading blackouts in an electric grid. We test our technique on an IEEE 118-bus electric network and show that it can dramatically improve simulation efficiency. We also demonstrate that the proposed technique can effectively locate vulnerable links. These are links whose failures lead to the highest probabilities of a blackout event. [ABSTRACT FROM PUBLISHER] Copyright of IEEE Transactions on Power Systems is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=103304575&site=ehost-live
222,GO-POLARS: A Steerable Stochastic Search on the Strength of Hyperspherical Coordinates.,Chun-Hung Chen,IEEE Transactions on Automatic Control,00189286,,Dec2017,62,12,6458,8.0,126586035,10.1109/TAC.2017.2657330,IEEE,Article,STOCHASTIC analysis; SEARCH algorithms; HYPERSPHERICAL method; FINITE element method; SIMULATED annealing,Algorithm design and analysis; Approximation algorithms; Convergence; GO-POLARS; gradient; hyperspherical coordinate; Jacobian matrices; Partitioning algorithms; polar coordinate; Probability density function; random search; Stochastic processes,"Search algorithms for optimizing a complex problem are mainly categorized as gradient-driven and stochastic search, each with its advantages and shortcomings. A newly developed algorithm, GO-POLARS, is proposed with a hyperspherical coordinate framework, which could perturb a given direction with well-controlled variation. It designs a steerable stochastic search algorithm that explores toward a promising direction, such as the gradient, at any desired levels. In this note, we provide an analytical study on the hyperspherical coordinates and the corresponding random distributions and, thus, prove the local convergence property of the GO-POLARS. Extensive numerical experiments are illustrated to show its advantages compared to conventional search algorithms. [ABSTRACT FROM PUBLISHER] Copyright of IEEE Transactions on Automatic Control is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=126586035&site=ehost-live
223,Improving Analytic Hierarchy Process Expert Allocation Using Optimal Computing Budget Allocation.,Edward Huang,"IEEE Transactions on Systems, Man & Cybernetics. Systems",21682216,,Aug2016,46,8,1140,8.0,116872521,10.1109/TSMC.2015.2478754,IEEE,Article,ANALYTIC hierarchy process; DECISION making; NUMERICAL analysis,Aircraft; Analytic hierarchy process; Analytic hierarchy process (AHP); Analytical models; Convergence; multicriteria decision making; optimal computing budget allocation (OCBA); Reliability; Resource management,"The analytic hierarchy process (AHP) has been widely applied to multicriteria decision making problems. The AHP aids decision makers to determine the priorities of multiple criteria, and make reasonable decisions. In the AHP, evaluating candidate alternatives requires multiple experts’ evaluations to avoid personal subjectivity. Although having more experts can improve selection quality, inviting more experts also results in higher recruitment cost and longer evaluation time. In this paper, we introduce the idea of optimal computing budget allocation (OCBA) and propose a method, named the AHP_OCBA method, to improve the efficiency of expert allocation. The proposed method optimizes the allocation of experts to maximize the probability of correctly selecting the best alternative in the AHP. This method also can minimize the required number of experts to meet the probability of correct selection. An illustrative example is provided to indicate the implementation of the AHP_OCBA method. We show the improvement of the proposed method compared to proportional and equal allocation rules in the numerical result. [ABSTRACT FROM AUTHOR] Copyright of IEEE Transactions on Systems, Man & Cybernetics. Systems is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=116872521&site=ehost-live
223,Improving Analytic Hierarchy Process Expert Allocation Using Optimal Computing Budget Allocation.,Chun-Hung Chen,"IEEE Transactions on Systems, Man & Cybernetics. Systems",21682216,,Aug2016,46,8,1140,8.0,116872521,10.1109/TSMC.2015.2478754,IEEE,Article,ANALYTIC hierarchy process; DECISION making; NUMERICAL analysis,Aircraft; Analytic hierarchy process; Analytic hierarchy process (AHP); Analytical models; Convergence; multicriteria decision making; optimal computing budget allocation (OCBA); Reliability; Resource management,"The analytic hierarchy process (AHP) has been widely applied to multicriteria decision making problems. The AHP aids decision makers to determine the priorities of multiple criteria, and make reasonable decisions. In the AHP, evaluating candidate alternatives requires multiple experts’ evaluations to avoid personal subjectivity. Although having more experts can improve selection quality, inviting more experts also results in higher recruitment cost and longer evaluation time. In this paper, we introduce the idea of optimal computing budget allocation (OCBA) and propose a method, named the AHP_OCBA method, to improve the efficiency of expert allocation. The proposed method optimizes the allocation of experts to maximize the probability of correctly selecting the best alternative in the AHP. This method also can minimize the required number of experts to meet the probability of correct selection. An illustrative example is provided to indicate the implementation of the AHP_OCBA method. We show the improvement of the proposed method compared to proportional and equal allocation rules in the numerical result. [ABSTRACT FROM AUTHOR] Copyright of IEEE Transactions on Systems, Man & Cybernetics. Systems is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=116872521&site=ehost-live
224,Optimal Computing Budget Allocation for regression with gradient information.,Jie Xu,Automatica,00051098,,Dec2021,134,,N.PAG,1.0,153175918,10.1016/j.automatica.2021.109927,Elsevier B.V.,Article,STOCHASTIC systems; REGRESSION analysis,Computing budget allocation; Gradient information; Quadratic model; Simulation optimization; Stochastic systems,"We consider the problem of optimizing the performance of a stochastic system, e.g., a discrete-event system, where the system performance is evaluated using stochastic simulations. Our objective is to allocate simulation budget to maximize the probability of correct selection (PCS) of the best design, where both system performance and gradient information can be obtained simultaneously via simulation. The objective function is assumed to be quadratic, or can be approximated by a quadratic regression model. The main contribution of our work is to utilize gradient information to enhance the efficiency of traditional Optimal Computing Budget Allocation (OCBA). We develop near-optimal rules that determine design points where simulations should be run and the number of runs allocated to each point. Our numerical experiments demonstrate that the proposed approach performs much better than other existing ranking and selection methods, even in cases where derivative information is very noisy and its simulation cost is high. [ABSTRACT FROM AUTHOR] Copyright of Automatica is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=153175918&site=ehost-live
224,Optimal Computing Budget Allocation for regression with gradient information.,Chun-Hung Chen,Automatica,00051098,,Dec2021,134,,N.PAG,1.0,153175918,10.1016/j.automatica.2021.109927,Elsevier B.V.,Article,STOCHASTIC systems; REGRESSION analysis,Computing budget allocation; Gradient information; Quadratic model; Simulation optimization; Stochastic systems,"We consider the problem of optimizing the performance of a stochastic system, e.g., a discrete-event system, where the system performance is evaluated using stochastic simulations. Our objective is to allocate simulation budget to maximize the probability of correct selection (PCS) of the best design, where both system performance and gradient information can be obtained simultaneously via simulation. The objective function is assumed to be quadratic, or can be approximated by a quadratic regression model. The main contribution of our work is to utilize gradient information to enhance the efficiency of traditional Optimal Computing Budget Allocation (OCBA). We develop near-optimal rules that determine design points where simulations should be run and the number of runs allocated to each point. Our numerical experiments demonstrate that the proposed approach performs much better than other existing ranking and selection methods, even in cases where derivative information is very noisy and its simulation cost is high. [ABSTRACT FROM AUTHOR] Copyright of Automatica is the property of Pergamon Press - An Imprint of Elsevier Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=153175918&site=ehost-live
226,A Model for Understanding How Virtual Reality Aids Complex Conceptual Learning.,Jim Chen,PRESENCE: Teleoperators & Virtual Environments,10547460,,Jun99,8,3,293,24.0,2025604,10.1162/105474699566242,MIT Press,Article,VIRTUAL reality; LEARNING; TECHNOLOGICAL innovations,,"Designers and evaluators of immersive virtual reality systems have many ideas concerning how virtual reality can facilitate learning. However, we have little information concerning which of virtual reality's features provide the most leverage for enhancing understanding or how to customize those affordances for different learning environments. In part, this reflects the truly complex nature of learning. Features of a learning environment do not act in isolation; other factors such as the concepts or skills to be learned, individual characteristics, the learning experience, and the interaction experience all play a role in shaping the learning process and its outcomes. Through Project ScienceSpace, we have been trying to identify, use, and evaluate immersive virtual reality's affordances as a means to facilitate the mastery of complex, abstract concepts. In doing so, we are beginning to understand the interplay between virtual reality's features and other important factors in shaping the learning process and learning outcomes for this type of material. In this paper, we present a general model that describes how we think these factors work together and discuss some of the lessons we are learning about virtual reality's affordances in the context of this model for complex conceptual learning. [ABSTRACT FROM AUTHOR] Copyright of PRESENCE: Teleoperators & Virtual Environments is the property of MIT Press and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=2025604&site=ehost-live
230,Low-rank representation with graph regularization for subspace clustering.,Jim Chen,"Soft Computing - A Fusion of Foundations, Methodologies & Applications",14327643,,Mar2017,21,6,1569,13.0,121658578,10.1007/s00500-015-1869-0,Springer Nature,Article,SUBSPACES (Mathematics); MATHEMATICAL regularization; ROBUST control; LAPLACIAN matrices; ALGORITHMS,Graph regularization; Low-dimensional subspace; Low-rank representation; Matrix completion; Matrix recovery; Subspace clustering,"In this paper, we propose a low-rank representation method that incorporates graph regularization for robust subspace clustering. We make the assumption that high-dimensional data can be approximated as the union of low-dimensional subspaces of unknown dimension. The proposed method extends the low-rank representation algorithm by incorporating graph regularization with a discriminative dictionary. Existing low-rank representation methods for subspace clustering use noisy data as the dictionary. The proposed technique, however, takes advantage of the discriminative dictionary to seek the lowest-rank representation by virtue of matrix recovery and completion techniques. Moreover, the discriminative dictionary is further used to construct a graph Laplacian to separate the low-rank representation of high-dimensional data. The proposed algorithm can recover the low-dimensional subspace structure from high-dimensional observations (which are often corrupted by gross errors). Simultaneously, the samples are clustered into their corresponding underlying subspaces. Extensive experimental results on benchmark databases demonstrate the efficiency and effectiveness of the proposed algorithm for subspace clustering. [ABSTRACT FROM AUTHOR] Copyright of Soft Computing - A Fusion of Foundations, Methodologies & Applications is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=121658578&site=ehost-live
233,Robust object tracking using enhanced random ferns.,Jim Chen,Visual Computer,01782789,,Apr2014,30,4,351,8.0,94942098,10.1007/s00371-013-0860-y,Springer Nature,Article,OBJECT tracking (Computer vision); COMPUTER vision; KERNEL operating systems; KERNEL functions; COMPLEX variables,Enhanced random ferns; Hidden classes; Object tracking; On-line clustering,"This paper presents a method to address the problem of long-term robust object tracking in unconstrained environments. An enhanced random fern is proposed and integrated into our tracking framework as the object detector, whose main idea is to exploit the potential distribution properties of feature vectors which are here called hidden classes by on-line clustering of feature space for each leaf-node of ferns. The kernel density estimation technique is then used to evaluate unlabeled samples based on the hidden classes which are set as the data points of the kernel function. Experimental results on challenging real-world video sequences demonstrate the effectiveness and robustness of our approach. Comparisons with several state-of-the-art approaches are provided. [ABSTRACT FROM AUTHOR] Copyright of Visual Computer is the property of Springer Nature and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=94942098&site=ehost-live
235,"ACM/Springer Mobile Networks and Applications (MONET) Special Issue on 'Collaborative Computing: Networking, Applications and Worksharing'.",Songqing Chen,Mobile Networks & Applications,1383469X,,Aug2012,17,4,506,2.0,77569103,10.1007/s11036-012-0369-z,Springer Nature,Editorial,WIRELESS communications -- Congresses; ROUTING (Computer network management); COMPUTER network resources; SENSOR networks; NETWORK routing protocols; CONFERENCES & conventions; Convention and Trade Show Organizers; Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing; Wireless Telecommunications Carriers (except Satellite),,"Information about the 6th International Conference on Collaborative Computing: Networking, Applications and Worksharing (CollaborateCom) is presented. One paper described two broadcast authentication schemes such as key pool scheme and key chain scheme. Another paper introduced an analytical framework needed in the assessment of cooperative transmissions in sensor networks. Third paper focused on the development of utility-based routing scheme (UDR).",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=77569103&site=ehost-live
236,An Application-Level Data Transparent Authentication Scheme without Communication Overhead.,Songqing Chen,IEEE Transactions on Computers,00189340,,Jul2010,59,7,943,12.0,51197325,10.1109/TC.2010.80,IEEE,Article,BANDWIDTHS; AUTHENTICATION (Law); BROADBAND communication systems; WIRELESS communications; PROTOTYPES; Wired Telecommunications Carriers; Wireless Telecommunications Carriers (except Satellite); Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,authentication; covert channel; DaTA; data transparent; timing correlation,"With abundant aggregate network bandwidth, continuous data streams are commonly used in scientific and commercial applications. Correspondingly, there is an increasing demand of authenticating these data streams. Existing strategies explore data stream authentication by using message authentication codes (MACs) on a certain number of data packets (a data block) to generate a message digest, then either embedding the digest into the original data, or sending the digest out-of-band to the receiver. Embedding approaches inevitably change the original data, which is not acceptable under some circumstances (e.g., when sensitive information is included in the data). Sending the digest out-of-band incurs additional communication overhead, which consumes more critical resources (e.g., power in wireless devices for receiving information) besides network bandwidth. In this paper, we propose a novel strategy, DaTA, which effectively authenticates data streams by selectively adjusting some interpacket delay. This authentication scheme requires no change to the original data and no additional communication overhead. Modeling-based analysis and experiments conducted on an implemented prototype system in an LAN and over the Internet show that our proposed scheme is efficient and practical. [ABSTRACT FROM AUTHOR] Copyright of IEEE Transactions on Computers is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=51197325&site=ehost-live
236,An Application-Level Data Transparent Authentication Scheme without Communication Overhead.,Xinyuan Wang,IEEE Transactions on Computers,00189340,,Jul2010,59,7,943,12.0,51197325,10.1109/TC.2010.80,IEEE,Article,BANDWIDTHS; AUTHENTICATION (Law); BROADBAND communication systems; WIRELESS communications; PROTOTYPES; Wired Telecommunications Carriers; Wireless Telecommunications Carriers (except Satellite); Radio and Television Broadcasting and Wireless Communications Equipment Manufacturing,authentication; covert channel; DaTA; data transparent; timing correlation,"With abundant aggregate network bandwidth, continuous data streams are commonly used in scientific and commercial applications. Correspondingly, there is an increasing demand of authenticating these data streams. Existing strategies explore data stream authentication by using message authentication codes (MACs) on a certain number of data packets (a data block) to generate a message digest, then either embedding the digest into the original data, or sending the digest out-of-band to the receiver. Embedding approaches inevitably change the original data, which is not acceptable under some circumstances (e.g., when sensitive information is included in the data). Sending the digest out-of-band incurs additional communication overhead, which consumes more critical resources (e.g., power in wireless devices for receiving information) besides network bandwidth. In this paper, we propose a novel strategy, DaTA, which effectively authenticates data streams by selectively adjusting some interpacket delay. This authentication scheme requires no change to the original data and no additional communication overhead. Modeling-based analysis and experiments conducted on an implemented prototype system in an LAN and over the Internet show that our proposed scheme is efficient and practical. [ABSTRACT FROM AUTHOR] Copyright of IEEE Transactions on Computers is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=51197325&site=ehost-live
237,Developing Subdomain Allocation Algorithms Based on Spatial and Communicational Constraints to Accelerate Dust Storm Simulation.,Songqing Chen,PLoS ONE,19326203,,4/4/2016,11,4,1,33.0,114208716,10.1371/journal.pone.0152250,Public Library of Science,Article,DUST storms; ALGORITHMS; COMPUTER simulation; PREDICTION models; HIGH performance computing; LINEAR programming,Algebra; Algorithms; Applied mathematics; Computer and information sciences; Computing methods; Data visualization; Dust; Graphs; Infographics; Linear programming; Materials by structure; Materials science; Mathematical and statistical techniques; Mathematical functions; Mathematics; Optimization; Physical sciences; Polynomials; Research and analysis methods; Research Article; Simulation and modeling,"Dust storm has serious disastrous impacts on environment, human health, and assets. The developments and applications of dust storm models have contributed significantly to better understand and predict the distribution, intensity and structure of dust storms. However, dust storm simulation is a data and computing intensive process. To improve the computing performance, high performance computing has been widely adopted by dividing the entire study area into multiple subdomains and allocating each subdomain on different computing nodes in a parallel fashion. Inappropriate allocation may introduce imbalanced task loads and unnecessary communications among computing nodes. Therefore, allocation is a key factor that may impact the efficiency of parallel process. An allocation algorithm is expected to consider the computing cost and communication cost for each computing node to minimize total execution time and reduce overall communication cost for the entire simulation. This research introduces three algorithms to optimize the allocation by considering the spatial and communicational constraints: 1) an Integer Linear Programming (ILP) based algorithm from combinational optimization perspective; 2) a K-Means and Kernighan-Lin combined heuristic algorithm (K&K) integrating geometric and coordinate-free methods by merging local and global partitioning; 3) an automatic seeded region growing based geometric and local partitioning algorithm (ASRG). The performance and effectiveness of the three algorithms are compared based on different factors. Further, we adopt the K&K algorithm as the demonstrated algorithm for the experiment of dust model simulation with the non-hydrostatic mesoscale model (NMM-dust) and compared the performance with the MPI default sequential allocation. The results demonstrate that K&K method significantly improves the simulation performance with better subdomain allocation. This method can also be adopted for other relevant atmospheric and numerical modeling. [ABSTRACT FROM AUTHOR] Copyright of PLoS ONE is the property of Public Library of Science and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=114208716&site=ehost-live
238,Measurement and Analysis of an Internet Streaming Service to Mobile Devices.,Fei Li,IEEE Transactions on Parallel & Distributed Systems,10459219,,Nov2013,24,11,2240,11.0,90678082,10.1109/TPDS.2012.324,IEEE,Article,"STREAMING video & television; STREAMING audio; CLOUD computing; MOBILE communication systems software; CACHE memory; TRANSCODING; STREAMING technology; Wireless Telecommunications Carriers (except Satellite); Data Processing, Hosting, and Related Services; Internet Publishing and Broadcasting and Web Search Portals",Cloud computing; heterogeneity; Internet mobile streaming; Mobile communication; Mobile handsets; popularity; Servers; Streaming media; transcoding; Video codecs,"Receiving Internet streaming services on various mobile devices is getting increasingly popular, and cloud platforms have also been gradually employed for delivering streaming services to mobile devices. While a number of studies have been conducted at the client side to understand and characterize Internet mobile streaming delivery, little is known about the server side, particularly for the recent cloud-based Internet mobile streaming delivery. In this work, we aim to investigate the Internet mobile streaming service at the server side. For this purpose, we have collected a 4-month server-side log on the cloud (with 1,002 TB delivered video traffic) from a top Internet mobile streaming service provider serving worldwide mobile users. Through trace analysis, we find that 1) a major challenge for providing Internet mobile streaming services is rooted from the mobile device hardware and software heterogeneity. In this workload, we find over 3,400 different hardware models with more than 100 different screen resolutions running 14 different mobile OS and three audio codecs and four video codecs. 2) To deal with the device heterogeneity, CPU-intensive transcoding is used on the cloud to customize the video to the appropriate versions at runtime for different devices. A video clip could be transcoded into more than 40 different versions to serve requests from different devices. 3) Compared to videos in traditional Internet streaming, mobile streaming videos are typically of much smaller size (a median of 1.68 MBytes) and shorter duration (a median of 2.7 minutes). Furthermore, the daily mobile user accesses are more skewed following a Zipf-like distribution but users' interests also quickly shift. Considering the huge demand of CPU cycles for online transcoding, we further examine server-side caching to reduce the total CPU cycle demand from the cloud. We show that a policy considering different versions of a video altogether outperforms other intuitive ones when the cache size is limited. [ABSTRACT FROM AUTHOR] Copyright of IEEE Transactions on Parallel & Distributed Systems is the property of IEEE and its content may not be copied or emailed to multiple sites or posted to a listserv without the copyright holder's express written permission. However, users may print, download, or email articles for individual use. This abstract may be abridged. No warranty is given about the accuracy of the copy. Users should refer to the original published version of the material for the full abstract. (Copyright applies to all Abstracts.)",http://mutex.gmu.edu/login?url=https://search.ebscohost.com/login.aspx?direct=true&db=a9h&AN=90678082&site=ehost-live
